–	barrennig verr
👜	dilhad, sacʼh, sacʼh-dorn
👝	godellig, sacʼh
🛍️	sacʼh, seier kabas
🎒	sacʼh, sacʼh-kein, sacʼh-skol
🩴	sandalenn, soledenn, solenn, tong
👟	botez, botez sport
🥾	bale, botez, botez bale, kampiñ
👠	botez, skarpin
👑	dilhad, kurunenn, tog
🎩	dilhad, tog, tog moull uhel
🎓️	dilhad, tog, tok skol-veur
🧢	dilhad, kasketenn amerikan, tog
🪖	arme, soudard, tokarn, tokarn soudard
⛑️	sikourer, tokarn, tokarn sikourer
📿	chapeled, greunenn, merkenn, paterenn, pedenn, relijion
💄	gwezeladoù, ruz-muzelloù
💍	diamant, gwalenn
💎	diamant, maen prizius
🔇	didrouz, mut, son
📢	son, uhelgomzer
📣	korn-mouezh, megafon
📯	korn, korn ar paotr-marc’h, paotr-marc’h
🔔	kloc’h
🎼	kevrollenn, skrid-sonerezh, sonerezh
🎵	notenn, notenn sonerezh, sonerezh
🎶	notenn, notennoù, notennoù sonerezh, sonerezh
🎙️	mikro, mikrofon, mikrofon studio, sonerezh, studio
🎤	mikro, mikrofon, sonerezh
🎧️	selaouelloù
📻️	skingomzer, video
🎷	benveg, saksofon, sonerezh
🪗	akordeoñs, benveg, sonerezh
🎸	benveg, gitar, sonerezh
🎹	benveg, klavier, klavier sonerezh, sonerezh
🎺	benveg, sonerezh, trompilh
🎻	benveg, biolin, sonerezh, violoñs
🪕	banjo, benveg, sonerezh
🥁	benveg, sonerezh, taboulin, toumperezh
🪘	benveg, djembe, sonerezh
📱	hezoug, pellgomz, pellgomzer, pellgomzer hezoug
📲	bir, hezoug, pellgomz, pellgomzer, pellgomzer hezoug gant bir
☎️	pellgomz, pellgomzer
📞	pellgomz, pellgomzer, yevenn, yevenn bellgomz
📟️	galver
📠	fax, pelleiler
🔋	pil
🔌	lugell, lugell dredan, sankell, sankell dredan, tredan
💻️	PC, urzhiataer, urzhiataer hezoug
🖥️	urzhiataer, urzhiataer burev
🖨️	moullerez, urzhiataer
⌨️	klavier, urzhiataer
🖱️	logodenn, logodenn urzhiataer, urzhiataer
💽	pladenn, pladenn urzhiater, urzhiater
💾	pladennig, urzhiater
💿️	CD, pladenn, urzhiater
📀	DVD, pladenn, urzhiater
🧮	boulaoueg, jediñ
🎥	kamera, sinema
🎞️	film, kocʼhenn, sinema
📽️	film, lucʼhvanner, sinema, video
🎬️	film, klek
📺️	skinwel, video
📷️	lucʼhskeudennerez, video
📸	lucʼheder, lucʼhskeudennerez, lucʼhskeudennerez gant lucʼheder, video
📹️	kamenroller, video
📼	kasedig-video, video
🔍	gwerenn, gwerenn-greskiñ a-gleiz
🔎	gwerenn, gwerenn-greskiñ a-zehoù
🕯️	goulaouenn, gouloù
💡	klogorenn, tredan
🔦	etev-goulaouiñ, tredan
🏮	lampig ruz, letern, ruz, tavarn
🪔	diya, eoul, lamp
📔	golo, karned, karned gant golo kinklet, levr
📕	levr, levr serr, serr
📖	digor, levr, levr digor
📗	gwer, levr, levr gwer
📘	glas, levr, levr glas
📙	levr, levr orañjez, orañjez
📚️	levr, levrioù
📓	karned
📒	karned, marilh
📃	pajenn, pajenn rollet
📜	paperenn, parchenn
📄	pajenn, teul
📰	journal, kazetenn
🗞	journal, kazetenn, kazetenn rollet
📑	merk, sinedoù
🔖	merk, merk-pajenn
🏷️	tikedenn
💰️	dollar, moneiz, sacʼh, sacʼhad moneiz
🪙	aour, arcʼhant, moneiz, pezh, pezh moneiz
💴	arcʼhant, bilhed, bilhed e yenoù, moneiz, unanenn, yen
💵	arcʼhant, bilhed, bilhed e dollaroù, dollar, moneiz, unanenn
💶	arcʼhant, bilhed, bilhed en euroioù, euro, moneiz, unanenn
💷	arcʼhant, bilhed, bilhed e lurioù, lur, moneiz, unanenn
💸	arcʼhant, bilhed, moneiz, moneiz o nijal, nij
💳️	arcʼhant, bank, kartenn, kartenn-vank, moneiz
🧾	prouenn, skrid-degemer
💹	grafik, kreskiñ, krommenn, krommenn kreskiñ ar yen, moneiz, yen
✉️	golo, golo-lizher, lizher
📧	golo, golo-lizher, lizher, postel
📦️	boest, pakad
📮	boest, boest-lizheroù ar post, lizheroù, post
🗳️	boest, mouezharcʼh, mouezhiañ, votiñ
✏️	kreion
✒️	du, pluenn, stilo, stilo pluenn du
🖋️	pluenn, stilo, stilo pluenn
🖊️	boulbluenn, stilo
🖌️	barr-livañ, livañ
🖍️	kreion, kreion pastel, pastel
📝	kreion, notennoù personel
💼	sakochenn
📁	kleurenn, teuliad
📂	digor, kleurenn, kleurenn digor, teuliad
🗂️	dispartier, renkañ
📅	deiziad, deiziadur
📆	deiziadur, deiziadur efemerid
🗒️	blocʼh-notennoù, blocʼh-notennoù gant troellennoù, troellennoù
🗓️	deiziadur, deiziadur gant troellennoù
📇	chomlecʼhioù, karned, karned chomlecʼhioù
📈	diagramm, grafik, kreskiñ, krommenn, krommenn kreskiñ
📉	diagramm, digreskiñ, grafik, krommenn, krommenn digreskiñ
📊	barrennoù, diagramm, diagramm barrennoù, grafik
📌	dafar, tach-meud
📍	dafar, tach-meud ront
📎	dafar, strobell
🖇️	dafar, strobelloù
📏	dafar, reolenn
📐	dafar, skouer
✂️	dafar, sizailhoù
🗑️	kest, kest ar paper, paper
🔒️	kadranas, kadranas serr, serr
🔓️	digor, kadranas, kadranas digor
🔏	kadranas, kadranas serr gant stilo, serr, stilo
🔐	alcʼhwez, kadranas, kadranas serr gant alcʼhwez, serr
🔑	alcʼhwez, ger-tremen
🗝️	alcʼhwez, alcʼhwez kozh, kozh
🔨	benveg, morzhol
🪓	benveg, boucʼhal, boucʼhalig, koad
⛏️	benveg, pigell
⚒️	benveg, morzhol, morzhol ha pig, pig
🛠️	alcʼhwez, benveg, morzhol, morzhol hag alcʼhwez plat
🗡️	arm, badalenn, kontell
⚔️	arm, kleze, klezeier, klezeier kroaziet
💣️	bombezenn, tresadenn
🪃	Aostralia, boumerang
🏹	gwareg, gwareg ha saezh, gwareger, saezh
🛡️	arm, skoed
🪚	benveg, heskenn
🔧	alcʼhwez plat, benveg
🪛	benveg, biñs, troer-biñsoù
🔩	biñs, biñs ha kraouenn, kraouenn
⚙️	benveg, rod dantek
🗜️	benveg, serjant
⚖️	balañs, mentel, pouezerez
🔗	ailhedenn, lagadenn, mailh, mailhon, mell
⛓️	chadenn, chadennoù
🪝	higennañ, krog
🧰	boest, boest-ostilhoù, ostilhoù
🧲	gwarell, houarn-marcʼh, magnetek
🪜	skabell, skeul
⚗️	benveg, kimiezh, lambig
🧪	kimiezh, kimiour, pibenn amprou
🧫	bevoniezh, bevoniour, boest, boest Petri
🧬	TDN, bevoniour
🔬	benveg, mikroskop, skiant
🔭	benveg, skiant, teleskop
📡	loarell, stign, stign loarell
💉	mezegiezh, strinkell
🩸	gwad, medisinerezh, mezegiezh, takenn, takenn wad
💊	medisinerezh, mezegiezh, pilulenn
🩹	bandenn, lienad, lienad-peg, lienenn, sparadrap
🩺	doktor, medisinerezh, mezegiezh, stetoskop
🚪	dor
🛗	pignerez, saverez
🪞	melezour
🪟	framm, gweled, prenestr, stern, treuzwelus
🛏️	gwele, kousket, leti
🛋️	gourvezvank, gourvezvank ha lamp, kleuzeur, lamp, leti
🪑	azezenn, kador
🚽	privezioù
🪠	mandoz, plomer, privezioù
🚿	dour, strinkerez
🛁	dour, kibell
🪤	logod, logotouer
🪒	aotenn, aotenniñ
🧴	boutailhad, boutailhad golcʼhad, champouenn, golcʼhad
🧷	gwiadennoù, lienoù, spilhenn-alcʼhwez, trezenn
🧹	naetaat, skubellenn
🧺	paner, piknik
🧻	paper privezioù, roll paper
🪣	kelorn, sailh
🧼	kibellañ, soavon
🪥	broust, broust-dent, dent, sal-dour, yecʼhederezh
🧽	naetaat, spoueenn
🧯	mouger-tan, tan, tan-gwall
🛒	karrigell, paner
🚬	butunat, sigaretenn
⚰️	charke, marv
🪦	bered, bez, maen-bez, maen-kañv, maen-koun, maen-sav
⚱️	jarl, jarl-kañv, ludu, marv
🧿	amuzetez, amuzetez nazar, drougaviz, gwall lagad, nazar, tilsam
🗿	delwenn, moai
🏧	arcʼhant, arlun bilhedaouer, bank, bilhedaouer
🚮	arlun pod-lastez, pod-lastez, poubelenn
🚰	dour, dour mat da evañ, evañ
♿️	arouez kador-ruilh, kador-ruilh, moned
🚹️	WC, golcʼhiri, paotred, privezioù, privezioù paotred
🚺️	WC, golcʼhiri, mercʼhed, privezioù, privezioù mercʼhed
🚻	WC, golcʼhiri, privezioù
🚼️	arouez babig, babig
🚾	WC, golcʼhiri, privezioù
🛂	kontroll, kontroll paseporzhioù, paseporzh
🛃	maltouterezh
🛄	adtapout, adtapout bagajoù, bagajoù
🛅	bagajoù, fizlecʼh
⚠️	diwall
🚸	bugale o treuziñ, bugel, tremenerezh
⛔️	berzet, difennet, tu, tu berzet
🚫	berzet, difennet, tu
🚳	beloioù, beloioù difennet, berzet, difennet
🚭️	arabat butunat, berzet, butunat, difennet
🚯	arabat lakaat lastez, lastez
🚱	dour, dour fall da evañ, evañ
🚷	berzet, difennet, difennet dʼar gerzhourien, kerzhourien
☢️	arouez, skinoberiek
☣️	arouez, riskl, riskl bevoniel
🛐	azeuliñ, lec’h azeuliñ, relijion
⚛️	arouez an atom, atom, dizoue
🕉️	hindou, om, relijion
✡️	relijion, steredenn David, yuzev
☸️	boudaat, relijion, rod an dharma
☯️	relijion, tao, yang, yin, yin yang
✝️	kristen, kroaz latin, relijion
☦️	kristen, kroaz ortodoks, relijion
☪️	islam, muzulman, relijion, steredenn ha kreskenn
☮️	arouez ar peocʼh, peocʼh
🕎	menorah, relijion
🔯	chañs, steredenn, steredenn cʼhwecʼh brecʼh
♈️	Ari, Tourz, an Tourz, zodiak
♉️	Tarv, Tau, an Tarv, zodiak
♊️	Gem, Gevelled, ar Gevelled, zodiak
♋️	Cnc, Krank, ar Cʼhrank, zodiak
♌️	Leo, Leon, al Leon, zodiak
♍️	Gwercʼhez, Vir, ar Wercʼhez, zodiak
♎️	Balañsoù, Lib, ar Balañsoù, zodiak
♏️	Krug, Sco, ar Grug, zodiak
♐️	Saezhataer, Sgr, ar Saezhataer, zodiak
♑️	Cap, Gavr, ar Cʼhavr, zodiak
♒️	Aqr, Skuilher-dour, ar Skuilher-dour, zodiak
♓️	Pesked, Psc, ar Pesked, zodiak
⛎	Naeretaer, Oph, zodiak
🔀	bir, bouton, bouton lenn mell-divell, lenn mell-divell
🔁	bir, bouton, bouton lenn en-dro, lenn en-dro
▶	bouton, bouton lenn, lenn
🎦	film, kamera, sinema
📳	froumer, hezoug, mod froumer, pellgomzer
📴	hezoug, lazhet, pellgomzer, pellgomzer lazhet
♀️	arouez, arouez ar mercʼhed, mercʼhed
♂️	arouez, arouez ar paotred, paotred
⚧️	arouez, arouez treuzjener, treuzjener
✖️	arouezenn, beskroaz, liesaat, matematikoù, ×
➕	+, arouezenn, matematikoù, mui
➖	-, arouezenn, matematikoù, nemet
➗	arouezenn, matematikoù, rannañ, ÷
♾️	anfin, arouezenn, matematikoù
‼️	!, !!, pik-estlamm, pik-estlamm doubl
⁉️	!, !?, ?, estlamm, goulenn, pik-goulenn estlamm, poentadur
❓️	?, goulenn, pik-goulenn, pik-goulenn ruz, poentadur, ruz
❔	?, goulenn, gwenn, pik-goulenn, pik-goulenn gwenn, poentadur
❕	!, estlamm, gwenn, pik-estlamm, pik-estlamm gwenn, poentadur
❗️	!, estlamm, pik-estlamm, pik-estlamm ruz, poentadur, ruz
⚕️	medisinerezh, mezegiezh, naerwialenn
♻️	adaozañ, arouez adaozañ
⚜	flourdiliz
🔱	bag, benveg, eor, lestr, tridant
📛	anv, badj, badj-anv
🔰	Japan, arouez, arouez japanat evit an deraouidi, deraouad
⭕️	kelcʼh, kelcʼh ruz, o, ruz
✅	ask, bouton askañ, ✓
☑️	ask, log asket, ✓
✔️	ask, ✓
❌	kroaz, ×
❎	bouton kroaz, kroaz, ×
➰	boukl
➿	boukl, boukl doubl
〽️	arouez, pebeilad
✳️	*, steredennig, steredennig eizh brecʼh
✴️	*, steredenn, steredenn eizh brecʼh
❇️	*, strinkad
©️	c, copyright
®️	merk marilhet, r
™️	merk kenwerzhel marilhet, tm
🔠	ABCD, bizskriv, bizskriv pennlizherennoù latin, latin, lizherennoù, pennlizherennoù
🔡	abcd, bizskriv, bizskriv lizherennoù bihan latin, latin, lizherennoù, lizherennoù bihan
🔢	1234, bizskriv, bizskriv niveroù, niveroù
🔣	arouezioù, bizskriv, bizskriv arouezioù
🔤	abc, bizskriv, bizskriv lizherennoù latin, latin, lizherennoù
🅰️	A, a, bouton A, bouton A (rumm-gwad), rumm-gwad
🆎	AB, ab, bouton AB, bouton AB (rumm-gwad), rumm-gwad
🅱️	B, b, bouton B, bouton B (rumm-gwad), rumm-gwad
🆑	CL, bouton Diverkañ, cl
🆒	COOL, bouton Cool, cool
🆓	FREE, bouton Digoust, free
ℹ️	i, titouroù
🆔	ID, bouton Anaouder, id
Ⓜ️	M, M kelcʼhiet, kelcʼh, m
🆕	NEW, bouton Nevez, new
🅾️	O, bouton O, bouton O (rumm-gwad), o, rumm-gwad
🆗	OK, bouton OK, ok
🅿️	P, bouton P, parklecʼh
🆘	SOS, bouton SOS, sos
🆚	VS, bouton VS, versus, vs
🈁	amañ, bouton, bouton "amañ" e japaneg, japaneg
🈚	bouton "digoust" e japaneg
🈲	bouton "difennet" e japaneg
㊗️	bouton "gourcʼhemennoù" e japaneg
🟥	karrez, karrez ruz, ruz
🟧	karrez, karrez orañjez, orañjez
🟨	karrez, karrez melen, melen
🟩	gwer, karrez, karrez gwer
🟦	glas, karrez, karrez glas
🟪	karrez, karrez limestra, limestra
🟫	gell, karrez, karrez gell
⬛️	bras, karrez, karrez bras du
⬜️	gwenn, karrez, karrez bras gwenn
◼️	etre, karrez, karrez etre du
◻️	gwenn, karrez, karrez etre gwenn
▪️	du, karrez, karrez bihan du
▫️	gwenn, karrez, karrez bihan gwenn
🔶	orañjez, romb, romb bras orañjez
🔷	glas, romb, romb bras glas
🔸	orañjez, romb, romb bihan orañjez
🔹	glas, romb, romb bihan glas
🔘	bouton radio
🚩	banniel, banniel tricʼhornek
🎌	banniel, bannieloù kroaziet
🏴	banniel, banniel du
🏳️	banniel, banniel gwenn
🏳‍🌈	banniel, banniel kanevedenn
🏳‍⚧	banniel, banniel treuzjener
🏴‍☠	banniel, banniel ar vorlaeron
🇦🇨	banniel, banniel : Enez Ascension
🇦🇩	banniel, banniel : Andorra
🇦🇪	banniel, banniel : Emirelezhioù Arab Unanet
🇦🇫	banniel, banniel : Afghanistan
🇦🇬	banniel, banniel : Antigua ha Barbuda
🇦🇮	banniel, banniel : Anguilla
🇦🇱	banniel, banniel : Albania
🇦🇲	banniel, banniel : Armenia
🇦🇴	banniel, banniel : Angola
🇦🇶	banniel, banniel : Antarktika
🇦🇷	banniel, banniel : Arcʼhantina
🇦🇸	banniel, banniel : Samoa Amerikan
🇦🇹	banniel, banniel : Aostria
🇦🇺	banniel, banniel : Aostralia
🇦🇼	banniel, banniel : Aruba
🇦🇽	banniel, banniel : Inizi Åland
🇦🇿	banniel, banniel : Azerbaidjan
🇧🇦	banniel, banniel : Bosnia ha Herzegovina
🇧🇧	banniel, banniel : Barbados
🇧🇩	banniel, banniel : Bangladesh
🇧🇪	banniel, banniel : Belgia
🇧🇫	banniel, banniel : Burkina Faso
🇧🇬	banniel, banniel : Bulgaria
🇧🇭	banniel, banniel : Bahrein
🇧🇮	banniel, banniel : Burundi
🇧🇯	banniel, banniel : Benin
🇧🇱	banniel, banniel : Saint Barthélemy
🇧🇲	banniel, banniel : Bermuda
🇧🇳	banniel, banniel : Brunei
🇧🇴	banniel, banniel : Bolivia
🇧🇶	banniel, banniel : Karib Nederlandat
🇧🇷	banniel, banniel : Brazil
🇧🇸	banniel, banniel : Bahamas
🇧🇹	banniel, banniel : Bhoutan
🇧🇻	banniel, banniel : Enez Bouvet
🇧🇼	banniel, banniel : Botswana
🇧🇾	banniel, banniel : Belarus
🇧🇿	banniel, banniel : Belize
🇨🇦	banniel, banniel : Kanada
🇨🇨	banniel, banniel : Inizi Kokoz
🇨🇩	banniel, banniel : Kongo - Kinshasa
🇨🇫	banniel, banniel : Republik Kreizafrikan
🇨🇬	banniel, banniel : Kongo - Brazzaville
🇨🇭	banniel, banniel : Suis
🇨🇮	banniel, banniel : Aod an Olifant
🇨🇰	banniel, banniel : Inizi Cook
🇨🇱	banniel, banniel : Chile
🇨🇲	banniel, banniel : Kameroun
🇨🇳	banniel, banniel : Sina
🇨🇴	banniel, banniel : Kolombia
🇨🇵	banniel, banniel : Enez Clipperton
🇨🇷	banniel, banniel : Costa Rica
🇨🇺	banniel, banniel : Kuba
🇨🇻	banniel, banniel : Kab-Glas
🇨🇼	banniel, banniel : Curaçao
🇨🇽	banniel, banniel : Enez Christmas
🇨🇾	banniel, banniel : Kiprenez
🇨🇿	banniel, banniel : Tchekia
🇩🇪	banniel, banniel : Alamagn
🇩🇬	banniel, banniel : Diego Garcia
🇩🇯	banniel, banniel : Djibouti
🇩🇰	banniel, banniel : Danmark
🇩🇲	banniel, banniel : Dominica
🇩🇴	banniel, banniel : Republik Dominikan
🇩🇿	banniel, banniel : Aljeria
🇪🇦	banniel, banniel : Ceuta ha Melilla
🇪🇨	banniel, banniel : Ecuador
🇪🇪	banniel, banniel : Estonia
🇪🇬	banniel, banniel : Egipt
🇪🇭	banniel, banniel : Sahara ar Cʼhornôg
🇪🇷	banniel, banniel : Eritrea
🇪🇸	banniel, banniel : Spagn
🇪🇹	banniel, banniel : Etiopia
🇪🇺	banniel, banniel : Unaniezh Europa
🇫🇮	banniel, banniel : Finland
🇫🇯	banniel, banniel : Fidji
🇫🇰	banniel, banniel : Inizi Falkland
🇫🇲	banniel, banniel : Mikronezia
🇫🇴	banniel, banniel : Inizi Faero
🇫🇷	banniel, banniel : Frañs
🇬🇦	banniel, banniel : Gabon
🇬🇧	banniel, banniel : Rouantelezh-Unanet
🇬🇩	banniel, banniel : Grenada
🇬🇪	banniel, banniel : Jorjia
🇬🇫	banniel, banniel : Gwiana cʼhall
🇬🇬	banniel, banniel : Gwernenez
🇬🇭	banniel, banniel : Ghana
🇬🇮	banniel, banniel : Jibraltar
🇬🇱	banniel, banniel : Greunland
🇬🇲	banniel, banniel : Gambia
🇬🇳	banniel, banniel : Ginea
🇬🇵	banniel, banniel : Gwadeloup
🇬🇶	banniel, banniel : Ginea ar Cʼheheder
🇬🇷	banniel, banniel : Gres
🇬🇸	banniel, banniel : Inizi Georgia ar Su hag Inizi Sandwich ar Su
🇬🇹	banniel, banniel : Guatemala
🇬🇺	banniel, banniel : Guam
🇬🇼	banniel, banniel : Ginea-Bissau
🇬🇾	banniel, banniel : Guyana
🇭🇰	banniel, banniel : Hong Kong RMD Sina
🇭🇲	banniel, banniel : Inizi Heard ha McDonald
🇭🇳	banniel, banniel : Honduras
🇭🇷	banniel, banniel : Kroatia
🇭🇹	banniel, banniel : Haiti
🇭🇺	banniel, banniel : Hungaria
🇮🇨	banniel, banniel : Inizi Kanariez
🇮🇩	banniel, banniel : Indonezia
🇮🇪	banniel, banniel : Iwerzhon
🇮🇱	banniel, banniel : Israel
🇮🇲	banniel, banniel : Enez Vanav
🇮🇳	banniel, banniel : India
🇮🇴	banniel, banniel : Tiriad breizhveurat Meurvor Indez
🇮🇶	banniel, banniel : Iraq
🇮🇷	banniel, banniel : Iran
🇮🇸	banniel, banniel : Island
🇮🇹	banniel, banniel : Italia
🇯🇪	banniel, banniel : Jerzenez
🇯🇲	banniel, banniel : Jamaika
🇯🇴	banniel, banniel : Jordania
🇯🇵	banniel, banniel : Japan
🇰🇪	banniel, banniel : Kenya
🇰🇬	banniel, banniel : Kyrgyzstan
🇰🇭	banniel, banniel : Kambodja
🇰🇮	banniel, banniel : Kiribati
🇰🇲	banniel, banniel : Komorez
🇰🇳	banniel, banniel : Saint Kitts ha Nevis
🇰🇵	banniel, banniel : Korea an Norzh
🇰🇷	banniel, banniel : Korea ar Su
🇰🇼	banniel, banniel : Koweit
🇰🇾	banniel, banniel : Inizi Cayman
🇰🇿	banniel, banniel : Kazakstan
🇱🇦	banniel, banniel : Laos
🇱🇧	banniel, banniel : Liban
🇱🇨	banniel, banniel : Saint Lucia
🇱🇮	banniel, banniel : Liechtenstein
🇱🇰	banniel, banniel : Sri Lanka
🇱🇷	banniel, banniel : Liberia
🇱🇸	banniel, banniel : Lesotho
🇱🇹	banniel, banniel : Lituania
🇱🇺	banniel, banniel : Luksembourg
🇱🇻	banniel, banniel : Latvia
🇱🇾	banniel, banniel : Libia
🇲🇦	banniel, banniel : Maroko
🇲🇨	banniel, banniel : Monaco
🇲🇩	banniel, banniel : Moldova
🇲🇪	banniel, banniel : Montenegro
🇲🇫	banniel, banniel : Saint Martin
🇲🇬	banniel, banniel : Madagaskar
🇲🇭	banniel, banniel : Inizi Marshall
🇲🇰	banniel, banniel : Makedonia an Norzh
🇲🇱	banniel, banniel : Mali
🇲🇲	banniel, banniel : Myanmar (Birmania)
🇲🇳	banniel, banniel : Mongolia
🇲🇴	banniel, banniel : Macau RMD Sina
🇲🇵	banniel, banniel : Inizi Mariana an Norzh
🇲🇶	banniel, banniel : Martinik
🇲🇷	banniel, banniel : Maouritania
🇲🇸	banniel, banniel : Montserrat
🇲🇹	banniel, banniel : Malta
🇲🇺	banniel, banniel : Moris
🇲🇻	banniel, banniel : Maldivez
🇲🇼	banniel, banniel : Malawi
🇲🇽	banniel, banniel : Mecʼhiko
🇲🇾	banniel, banniel : Malaysia
🇲🇿	banniel, banniel : Mozambik
🇳🇦	banniel, banniel : Namibia
🇳🇨	banniel, banniel : Kaledonia Nevez
🇳🇪	banniel, banniel : Niger
🇳🇫	banniel, banniel : Enez Norfolk
🇳🇬	banniel, banniel : Nigeria
🇳🇮	banniel, banniel : Nicaragua
🇳🇱	banniel, banniel : Izelvroioù
🇳🇴	banniel, banniel : Norvegia
🇳🇵	banniel, banniel : Nepal
🇳🇷	banniel, banniel : Nauru
🇳🇺	banniel, banniel : Niue
🇳🇿	banniel, banniel : Zeland-Nevez
🇴🇲	banniel, banniel : Oman
🇵🇦	banniel, banniel : Panamá
🇵🇪	banniel, banniel : Perou
🇵🇫	banniel, banniel : Polinezia Cʼhall
🇵🇬	banniel, banniel : Papoua Ginea-Nevez
🇵🇭	banniel, banniel : Filipinez
🇵🇰	banniel, banniel : Pakistan
🇵🇱	banniel, banniel : Polonia
🇵🇲	banniel, banniel : Sant-Pêr-ha-Mikelon
🇵🇳	banniel, banniel : Enez Pitcairn
🇵🇷	banniel, banniel : Puerto Rico
🇵🇸	banniel, banniel : Tiriadoù Palestina
🇵🇹	banniel, banniel : Portugal
🇵🇼	banniel, banniel : Palau
🇵🇾	banniel, banniel : Paraguay
🇶🇦	banniel, banniel : Qatar
🇷🇪	banniel, banniel : Ar Reünion
🇷🇴	banniel, banniel : Roumania
🇷🇸	banniel, banniel : Serbia
🇷🇺	banniel, banniel : Rusia
🇷🇼	banniel, banniel : Rwanda
🇸🇦	banniel, banniel : Arabia Saoudat
🇸🇧	banniel, banniel : Inizi Salomon
🇸🇨	banniel, banniel : Sechelez
🇸🇩	banniel, banniel : Soudan
🇸🇪	banniel, banniel : Sveden
🇸🇬	banniel, banniel : Singapour
🇸🇭	banniel, banniel : Saint-Helena
🇸🇮	banniel, banniel : Slovenia
🇸🇯	banniel, banniel : Svalbard
🇸🇰	banniel, banniel : Slovakia
🇸🇱	banniel, banniel : Sierra Leone
🇸🇲	banniel, banniel : San Marino
🇸🇳	banniel, banniel : Senegal
🇸🇴	banniel, banniel : Somalia
🇸🇷	banniel, banniel : Surinam
🇸🇸	banniel, banniel : Susoudan
🇸🇹	banniel, banniel : São Tomé ha Príncipe
🇸🇻	banniel, banniel : Salvador
🇸🇽	banniel, banniel : Sint Maarten
🇸🇾	banniel, banniel : Siria
🇸🇿	banniel, banniel : Eswatini
🇹🇦	banniel, banniel : Tristan da Cunha
🇹🇨	banniel, banniel : Inizi Turks ha Caicos
🇹🇩	banniel, banniel : Tchad
🇹🇫	banniel, banniel : Douaroù aostral Frañs
🇹🇬	banniel, banniel : Togo
🇹🇭	banniel, banniel : Thailand
🇹🇯	banniel, banniel : Tadjikistan
🇹🇰	banniel, banniel : Tokelau
🇹🇱	banniel, banniel : Timor-Leste
🇹🇲	banniel, banniel : Turkmenistan
🇹🇳	banniel, banniel : Tunizia
🇹🇴	banniel, banniel : Tonga
🇹🇷	banniel, banniel : Turkia
🇹🇹	banniel, banniel : Trinidad ha Tobago
🇹🇻	banniel, banniel : Tuvalu
🇹🇼	banniel, banniel : Taiwan
🇹🇿	banniel, banniel : Tanzania
🇺🇦	banniel, banniel : Ukraina
🇺🇬	banniel, banniel : Ouganda
🇺🇲	banniel, banniel : Inizi diabell ar Stadoù-Unanet
🇺🇳	banniel, banniel : Broadoù unanet
🇺🇸	banniel, banniel : Stadoù-Unanet
🇺🇾	banniel, banniel : Uruguay
🇺🇿	banniel, banniel : Ouzbekistan
🇻🇦	banniel, banniel : Vatikan
🇻🇨	banniel, banniel : Sant Visant hag ar Grenadinez
🇻🇪	banniel, banniel : Venezuela
🇻🇬	banniel, banniel : Inizi Gwercʼh Breizh-Veur
🇻🇮	banniel, banniel : Inizi Gwercʼh ar Stadoù-Unanet
🇻🇳	banniel, banniel : Viêt Nam
🇻🇺	banniel, banniel : Vanuatu
🇼🇫	banniel, banniel : Wallis ha Futuna
🇼🇸	banniel, banniel : Samoa
🇽🇰	banniel, banniel : Kosovo
🇾🇪	banniel, banniel : Yemen
🇾🇹	banniel, banniel : Mayotte
🇿🇦	banniel, banniel : Suafrika
🇿🇲	banniel, banniel : Zambia
🇿🇼	banniel, banniel : Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	banniel, banniel : Bro-Saoz
🏴󠁧󠁢󠁳󠁣󠁴󠁿	banniel, banniel : Skos
🏴󠁧󠁢󠁷󠁬󠁳󠁿	banniel, banniel : Kembre
¤	moneiz dianav
$	USD, dollar, moneiz, peso
£	EGP, GBP, lur, moneiz
¥	CNY, JPY, moneiz, yen, yuan
֏	dram Armenia
؋	afghani Afghanistan
৳	taka Bangladesh
฿	baht Thailand
៛	riel Kambodja
₡	colón Costa Rica
₦	naira Nigeria
₧	peseta Spagn
₩	KPW, KRW, moneiz, won
₪	shekel nevez Israel
₫	dong Viêt Nam
€	EUR, euro, moneiz
₭	kip Laos
₮	tugrik Mongolia
₱	moneiz, peso
₲	guarani Paraguay
₴	hryvnia Ukraina
₵	cedi Ghana
₸	tenge Kazakstan
₹	India, moneiz, roupi
₺	lur Turkia
₼	manat Azerbaidjan
₽	moneiz, roubl
₾	lari Jorjia
µ	arouez mikro, muzul
