–	barrennig verr
👩‍👩‍👧‍👧	bugel, familh, familh : maouez, maouez, placʼh, placʼh, mamm, maouez, placʼh, tad
👨‍👦	bugel, familh, familh : gwaz, paotr, gwaz, mamm, paotr, tad
👨‍👦‍👦	bugel, familh, familh : gwaz, paotr, paotr, gwaz, mamm, paotr, tad
👨‍👧	bugel, familh, familh : gwaz, placʼh, gwaz, mamm, placʼh, tad
👨‍👧‍👦	bugel, familh, familh : gwaz, placʼh, paotr, gwaz, mamm, paotr, placʼh, tad
👨‍👧‍👧	bugel, familh, familh : gwaz, placʼh, placʼh, gwaz, mamm, placʼh, tad
👩‍👦	bugel, familh, familh : maouez, paotr, mamm, maouez, paotr, tad
👩‍👦‍👦	bugel, familh, familh : maouez, paotr, paotr, mamm, maouez, paotr, tad
👩‍👧	bugel, familh, familh : maouez, placʼh, mamm, maouez, placʼh, tad
👩‍👧‍👦	bugel, familh, familh : maouez, placʼh, paotr, mamm, maouez, paotr, placʼh, tad
👩‍👧‍👧	bugel, familh, familh : maouez, placʼh, placʼh, mamm, maouez, placʼh, tad
🦰	blev, blev ruz
🦱	blev, blev rodellek
🦳	blev, blev gwenn
🦲	blev, moal
🐵	marmouz, penn, penn marmouz
🐒	loen, marmouz
🦍	gorilh, loen
🦧	loen, orangoutan
🐶	ki, penn, penn ki
🐕️	ki, loen
🦮	dall, ki-heñchañ
🐩	ki, ki rodellek
🐺	bleiz, penn
🦊	louarn, penn
🦝	loen, rakoun
🐱	kazh, penn, penn kazh
🐈️	kazh, loen
🐈‍⬛	dichañs, du, kazh, kazh du
🦁	leon, penn
🐯	penn, penn tigr, tigr
🐅	tigr
🐆	loupard
🐴	marcʼh, penn, penn marcʼh
🐎	loen, marcʼh
🦄	penn, unkorneg
🦓	loen, roudenneg
🦌	karv, loen
🦬	bizon, loen
🐮	buocʼh, penn, penn buocʼh
🐂	ejen, loen
🐃	bual, loen
🐄	buocʼh, loen
🐷	mocʼh, penn, penn mocʼh
🐖	loen, pemocʼh
🐗	hocʼh gouez, loen
🐽	loen, moj, pemocʼh
🐏	loen, tourz
🐑	dañvad, loen
🐐	gavr, loen
🐪	dremedal, loen
🐫	kañval, loen
🦙	lama, loen
🦒	jirafenn, loen
🐘	loen, olifant
🦣	mamout, stilhonoù
🦏	frikorneg, loen
🦛	dourvarc’h, loen
🐭	logodenn, penn, penn logodenn
🐁	loen, logodenn
🐀	loen, razh
🐹	hamster, penn
🐰	lapin, penn, penn lapin
🐇	lapin, loen
🐿️	gwiñver, loen
🦫	avank, stankell
🦔	heureuchin, loen
🦇	loen, logodenn-zall
🐻	arzh, penn, penn arzh
🐻‍❄	arzh, arzh gwenn, gwenn
🐨	koala, loen
🐼	panda, penn
🦥	lezireg, loen
🦦	dourgi, loen
🦨	loen, skoñs
🦘	Aostralia, kangourou, loen
🦡	brocʼh, loen
🐾	loucʼhad, loucʼhadoù pavioù, pav
🦃	evn, kog-Spagn
🐔	evn, yar
🐓	evn, kilhog
🐤	evn, poñsin
🐦️	evn, loen
🐧	evn, god
🕊️	evn, koulm, peocʼh
🦅	erer, evn
🦆	evn, houad
🦢	alarcʼh, evn
🦉	evn, kaouenn
🦤	Moris, dodo
🪶	evn, pluenn
🦩	evn, flammeg, loen, trovanel
🦚	evn, loen, paun
🦜	evn, loen, peroked
🐸	loen, penn, ran
🐊	krokodil, loen
🐢	baot, loen
🦎	glazard, loen
🐍	loen, naer
🐲	dragon, penn, penn dragon
🐉	dragon, loen
