_	Unterstrich
🙏🏾	Gebet, beten, betende Hände, bitten, danken, grüssen, mitteldunkle Hautfarbe
🙏🏿	Gebet, beten, betende Hände, bitten, danken, dunkle Hautfarbe, grüssen
🦶	Fuss, Kick, stampfen
🦶🏻	Fuss, Fuss: helle Hautfarbe, Kick, helle Hautfarbe, stampfen
🦶🏼	Fuss, Fuss: mittelhelle Hautfarbe, Kick, mittelhelle Hautfarbe, stampfen
🦶🏽	Fuss, Fuss: mittlere Hautfarbe, Kick, mittlere Hautfarbe, stampfen
🦶🏾	Fuss, Fuss: mitteldunkle Hautfarbe, Kick, mitteldunkle Hautfarbe, stampfen
🦶🏿	Fuss, Fuss: dunkle Hautfarbe, Kick, dunkle Hautfarbe, stampfen
🫦	Angst, Auf Lippe beissen, besorgt, flirtend, nervös, unbehaglich, ängstlich
🧑‍🦳	Mensch, Person, Person: weisses Haar, erwachsene Person, geschlechtsneutral, ohne eindeutiges Geschlecht, weisses Haar
🧑🏻‍🦳	Mensch, Person, Person: helle Hautfarbe, weisses Haar, erwachsene Person, geschlechtsneutral, helle Hautfarbe, ohne eindeutiges Geschlecht, weisses Haar
🧑🏼‍🦳	Mensch, Person, Person: mittelhelle Hautfarbe, weisses Haar, erwachsene Person, geschlechtsneutral, mittelhelle Hautfarbe, ohne eindeutiges Geschlecht, weisses Haar
🧑🏽‍🦳	Mensch, Person, Person: mittlere Hautfarbe, weisses Haar, erwachsene Person, geschlechtsneutral, mittlere Hautfarbe, ohne eindeutiges Geschlecht, weisses Haar
🧑🏾‍🦳	Mensch, Person, Person: mitteldunkle Hautfarbe, weisses Haar, erwachsene Person, geschlechtsneutral, mitteldunkle Hautfarbe, ohne eindeutiges Geschlecht, weisses Haar
🧑🏿‍🦳	Mensch, Person, Person: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, erwachsene Person, geschlechtsneutral, ohne eindeutiges Geschlecht, weisses Haar
👨‍🦳	Mann, Mann: weisses Haar, weisses Haar
👨🏻‍🦳	Mann, Mann: helle Hautfarbe, weisses Haar, helle Hautfarbe, weisses Haar
👨🏼‍🦳	Mann, Mann: mittelhelle Hautfarbe, weisses Haar, mittelhelle Hautfarbe, weisses Haar
👨🏽‍🦳	Mann, Mann: mittlere Hautfarbe, weisses Haar, mittlere Hautfarbe, weisses Haar
👨🏾‍🦳	Mann, Mann: mitteldunkle Hautfarbe, weisses Haar, mitteldunkle Hautfarbe, weisses Haar
👨🏿‍🦳	Mann, Mann: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, weisses Haar
👩‍🦳	Frau, Frau: weisses Haar, weisses Haar
👩🏻‍🦳	Frau, Frau: helle Hautfarbe, weisses Haar, helle Hautfarbe, weisses Haar
👩🏼‍🦳	Frau, Frau: mittelhelle Hautfarbe, weisses Haar, mittelhelle Hautfarbe, weisses Haar
👩🏽‍🦳	Frau, Frau: mittlere Hautfarbe, weisses Haar, mittlere Hautfarbe, weisses Haar
👩🏾‍🦳	Frau, Frau: mitteldunkle Hautfarbe, weisses Haar, mitteldunkle Hautfarbe, weisses Haar
👩🏿‍🦳	Frau, Frau: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, weisses Haar
🧑‍🔧	Mechaniker(in)
🧑🏻‍🔧	Mechaniker(in), helle Hautfarbe
🧑🏼‍🔧	Mechaniker(in), mittelhelle Hautfarbe
🧑🏽‍🔧	Mechaniker(in), mittlere Hautfarbe
🧑🏾‍🔧	Mechaniker(in), mitteldunkle Hautfarbe
🧑🏿‍🔧	Mechaniker(in), dunkle Hautfarbe
🧑‍🏭	Fabrikarbeiter(in)
🧑🏻‍🏭	Fabrikarbeiter(in), helle Hautfarbe
🧑🏼‍🏭	Fabrikarbeiter(in), mittelhelle Hautfarbe
🧑🏽‍🏭	Fabrikarbeiter(in), mittlere Hautfarbe
🧑🏾‍🏭	Fabrikarbeiter(in), mitteldunkle Hautfarbe
🧑🏿‍🏭	Fabrikarbeiter(in), dunkle Hautfarbe
🧑‍💼	Architekt, Business, Büroangestellte(r), Manager
🧑🏻‍💼	Architekt, Business, Büroangestellte(r), Manager, helle Hautfarbe
🧑🏼‍💼	Architekt, Business, Büroangestellte(r), Manager, mittelhelle Hautfarbe
🧑🏽‍💼	Architekt, Business, Büroangestellte(r), Manager, mittlere Hautfarbe
🧑🏾‍💼	Architekt, Business, Büroangestellte(r), Manager, mitteldunkle Hautfarbe
🧑🏿‍💼	Architekt, Business, Büroangestellte(r), Manager, dunkle Hautfarbe
🧑‍🔬	Wissenschaftler(in)
🧑🏻‍🔬	Wissenschaftler(in), helle Hautfarbe
🧑🏼‍🔬	Wissenschaftler(in), mittelhelle Hautfarbe
🧑🏽‍🔬	Wissenschaftler(in), mittlere Hautfarbe
🧑🏾‍🔬	Wissenschaftler(in), mitteldunkle Hautfarbe
🧑🏿‍🔬	Wissenschaftler(in), dunkle Hautfarbe
🎅	Samichlaus, Weihnachten, Weihnachtsmann
