،	arabic, arabic comma, comma
👨🏿‍🦰	adult, dark skin, man, man: dark skin, red hair, red hair
👨🏻‍🦱	Fair skin, adult, curly hair, man, man: Fair skin, curly hair
👨🏼‍🦱	adult, curly hair, man, man: medium-fair skin, curly hair, medium-fair skin
👨🏽‍🦱	adult, curly hair, man, man: medium skin, curly hair, medium skin
👨🏾‍🦱	adult, curly hair, man, man: medium-dark skin, curly hair, medium-dark skin
👨🏿‍🦱	adult, curly hair, dark skin, man, man: dark skin, curly hair
👨🏻‍🦳	Fair skin, adult, man, man: Fair skin, white hair, white hair
👨🏼‍🦳	adult, man, man: medium-fair skin, white hair, medium-fair skin, white hair
👨🏽‍🦳	adult, man, man: medium skin, white hair, medium skin, white hair
👨🏾‍🦳	adult, man, man: medium-dark skin, white hair, medium-dark skin, white hair
👨🏿‍🦳	adult, dark skin, man, man: dark skin, white hair, white hair
👨🏻‍🦲	Fair skin, adult, bald, man, man: Fair skin, bald
👨🏼‍🦲	adult, bald, man, man: medium-fair skin, bald, medium-fair skin
👨🏽‍🦲	adult, bald, man, man: medium skin, bald, medium skin
👨🏾‍🦲	adult, bald, man, man: medium-dark skin, bald, medium-dark skin
👨🏿‍🦲	adult, bald, dark skin, man, man: dark skin, bald
👩🏻	Fair skin, adult, woman, woman: Fair skin
👩🏼	adult, medium-fair skin, woman, woman: medium-fair skin
👩🏽	adult, medium skin, woman, woman: medium skin
👩🏾	adult, medium-dark skin, woman, woman: medium-dark skin
👩🏿	adult, dark skin, woman, woman: dark skin
🧔🏻‍♀	Fair skin, beard, woman, woman: Fair skin, beard, woman: beard
🧔🏼‍♀	beard, medium-fair skin, woman, woman: beard, woman: medium-fair skin, beard
🧔🏽‍♀	beard, medium skin, woman, woman: beard, woman: medium skin, beard
🧔🏾‍♀	beard, medium-dark skin, woman, woman: beard, woman: medium-dark skin, beard
🧔🏿‍♀	beard, dark skin, woman, woman: beard, woman: dark skin, beard
👱‍♀	blond-hair wali woman, blonde, hair, woman, woman: blond hair
👱🏻‍♀	Fair skin, blond hair, blond-hair wali woman, blonde, hair, woman, woman: Fair skin, blond hair, woman: blond hair
👱🏼‍♀	blond hair, blond-hair wali woman, blonde, hair, medium-fair skin, woman, woman: blond hair, woman: medium-fair skin, blond hair
👱🏽‍♀	blond hair, blond-hair wali woman, blonde, hair, medium skin, woman, woman: blond hair, woman: medium skin, blond hair
👱🏾‍♀	blond hair, blond-hair wali woman, blonde, hair, medium-dark skin, woman, woman: blond hair, woman: medium-dark skin, blond hair
👱🏿‍♀	blond hair, blond-hair wali woman, blonde, dark skin, hair, woman, woman: blond hair, woman: dark skin, blond hair
👩🏻‍❤‍💋‍👨🏻	Fair skin, couple, kiss, kiss: woman, man, Fair skin, man, woman
👩🏻‍❤‍💋‍👨🏼	Fair skin, couple, kiss, kiss: woman, man, Fair skin, medium-fair skin, man, medium-fair skin, woman
👩🏻‍❤‍💋‍👨🏽	Fair skin, couple, kiss, kiss: woman, man, Fair skin, medium skin, man, medium skin, woman
👩🏻‍❤‍💋‍👨🏾	Fair skin, couple, kiss, kiss: woman, man, Fair skin, medium-dark skin, man, medium-dark skin, woman
👩🏻‍❤‍💋‍👨🏿	Fair skin, couple, dark skin, kiss, kiss: woman, man, Fair skin, dark skin, man, woman
👩🏼‍❤‍💋‍👨🏻	Fair skin, couple, kiss, kiss: woman, man, medium-fair skin, Fair skin, man, medium-fair skin, woman
👩🏼‍❤‍💋‍👨🏼	couple, kiss, kiss: woman, man, medium-fair skin, man, medium-fair skin, woman
👩🏼‍❤‍💋‍👨🏽	couple, kiss, kiss: woman, man, medium-fair skin, medium skin, man, medium skin, medium-fair skin, woman
👩🏼‍❤‍💋‍👨🏾	couple, kiss, kiss: woman, man, medium-fair skin, medium-dark skin, man, medium-dark skin, medium-fair skin, woman
👩🏼‍❤‍💋‍👨🏿	couple, dark skin, kiss, kiss: woman, man, medium-fair skin, dark skin, man, medium-fair skin, woman
👩🏽‍❤‍💋‍👨🏻	Fair skin, couple, kiss, kiss: woman, man, medium skin, Fair skin, man, medium skin, woman
👩🏽‍❤‍💋‍👨🏼	couple, kiss, kiss: woman, man, medium skin, medium-fair skin, man, medium skin, medium-fair skin, woman
👩🏽‍❤‍💋‍👨🏽	couple, kiss, kiss: woman, man, medium skin, man, medium skin, woman
👩🏽‍❤‍💋‍👨🏾	couple, kiss, kiss: woman, man, medium skin, medium-dark skin, man, medium skin, medium-dark skin, woman
👩🏽‍❤‍💋‍👨🏿	couple, dark skin, kiss, kiss: woman, man, medium skin, dark skin, man, medium skin, woman
👩🏾‍❤‍💋‍👨🏻	Fair skin, couple, kiss, kiss: woman, man, medium-dark skin, Fair skin, man, medium-dark skin, woman
👩🏾‍❤‍💋‍👨🏼	couple, kiss, kiss: woman, man, medium-dark skin, medium-fair skin, man, medium-dark skin, medium-fair skin, woman
👩🏾‍❤‍💋‍👨🏽	couple, kiss, kiss: woman, man, medium-dark skin, medium skin, man, medium skin, medium-dark skin, woman
👩🏾‍❤‍💋‍👨🏾	couple, kiss, kiss: woman, man, medium-dark skin, man, medium-dark skin, woman
👩🏾‍❤‍💋‍👨🏿	couple, dark skin, kiss, kiss: woman, man, medium-dark skin, dark skin, man, medium-dark skin, woman
👩🏿‍❤‍💋‍👨🏻	Fair skin, couple, dark skin, kiss, kiss: woman, man, dark skin, Fair skin, man, woman
👩🏿‍❤‍💋‍👨🏼	couple, dark skin, kiss, kiss: woman, man, dark skin, medium-fair skin, man, medium-fair skin, woman
👩🏿‍❤‍💋‍👨🏽	couple, dark skin, kiss, kiss: woman, man, dark skin, medium skin, man, medium skin, woman
👩🏿‍❤‍💋‍👨🏾	couple, dark skin, kiss, kiss: woman, man, dark skin, medium-dark skin, man, medium-dark skin, woman
👩🏿‍❤‍💋‍👨🏿	couple, dark skin, kiss, kiss: woman, man, dark skin, man, woman
👩🏻‍❤‍💋‍👩🏻	Fair skin, couple, kiss, kiss: woman, woman, Fair skin, woman
👩🏻‍❤‍💋‍👩🏼	Fair skin, couple, kiss, kiss: woman, woman, Fair skin, medium-fair skin, medium-fair skin, woman
👩🏻‍❤‍💋‍👩🏽	Fair skin, couple, kiss, kiss: woman, woman, Fair skin, medium skin, medium skin, woman
👩🏻‍❤‍💋‍👩🏾	Fair skin, couple, kiss, kiss: woman, woman, Fair skin, medium-dark skin, medium-dark skin, woman
👩🏻‍❤‍💋‍👩🏿	Fair skin, couple, dark skin, kiss, kiss: woman, woman, Fair skin, dark skin, woman
👩🏼‍❤‍💋‍👩🏻	Fair skin, couple, kiss, kiss: woman, woman, medium-fair skin, Fair skin, medium-fair skin, woman
👩🏼‍❤‍💋‍👩🏼	couple, kiss, kiss: woman, woman, medium-fair skin, medium-fair skin, woman
👩🏼‍❤‍💋‍👩🏽	couple, kiss, kiss: woman, woman, medium-fair skin, medium skin, medium skin, medium-fair skin, woman
👩🏼‍❤‍💋‍👩🏾	couple, kiss, kiss: woman, woman, medium-fair skin, medium-dark skin, medium-dark skin, medium-fair skin, woman
👩🏼‍❤‍💋‍👩🏿	couple, dark skin, kiss, kiss: woman, woman, medium-fair skin, dark skin, medium-fair skin, woman
👩🏽‍❤‍💋‍👩🏻	Fair skin, couple, kiss, kiss: woman, woman, medium skin, Fair skin, medium skin, woman
👩🏽‍❤‍💋‍👩🏼	couple, kiss, kiss: woman, woman, medium skin, medium-fair skin, medium skin, medium-fair skin, woman
👩🏽‍❤‍💋‍👩🏽	couple, kiss, kiss: woman, woman, medium skin, medium skin, woman
👩🏽‍❤‍💋‍👩🏾	couple, kiss, kiss: woman, woman, medium skin, medium-dark skin, medium skin, medium-dark skin, woman
👩🏽‍❤‍💋‍👩🏿	couple, dark skin, kiss, kiss: woman, woman, medium skin, dark skin, medium skin, woman
👩🏾‍❤‍💋‍👩🏻	Fair skin, couple, kiss, kiss: woman, woman, medium-dark skin, Fair skin, medium-dark skin, woman
👩🏾‍❤‍💋‍👩🏼	couple, kiss, kiss: woman, woman, medium-dark skin, medium-fair skin, medium-dark skin, medium-fair skin, woman
👩🏾‍❤‍💋‍👩🏽	couple, kiss, kiss: woman, woman, medium-dark skin, medium skin, medium skin, medium-dark skin, woman
👩🏾‍❤‍💋‍👩🏾	couple, kiss, kiss: woman, woman, medium-dark skin, medium-dark skin, woman
👩🏾‍❤‍💋‍👩🏿	couple, dark skin, kiss, kiss: woman, woman, medium-dark skin, dark skin, medium-dark skin, woman
👩🏿‍❤‍💋‍👩🏻	Fair skin, couple, dark skin, kiss, kiss: woman, woman, dark skin, Fair skin, woman
👩🏿‍❤‍💋‍👩🏼	couple, dark skin, kiss, kiss: woman, woman, dark skin, medium-fair skin, medium-fair skin, woman
👩🏿‍❤‍💋‍👩🏽	couple, dark skin, kiss, kiss: woman, woman, dark skin, medium skin, medium skin, woman
👩🏿‍❤‍💋‍👩🏾	couple, dark skin, kiss, kiss: woman, woman, dark skin, medium-dark skin, medium-dark skin, woman
👩🏿‍❤‍💋‍👩🏿	couple, dark skin, kiss, kiss: woman, woman, dark skin, woman
👩🏻‍❤‍👨🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, Fair skin, love, man, woman
👩🏻‍❤‍👨🏼	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, Fair skin, medium-fair skin, love, man, medium-fair skin, woman
👩🏻‍❤‍👨🏽	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, Fair skin, medium skin, love, man, medium skin, woman
👩🏻‍❤‍👨🏾	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, Fair skin, medium-dark skin, love, man, medium-dark skin, woman
👩🏻‍❤‍👨🏿	Fair skin, couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, Fair skin, dark skin, love, man, woman
👩🏼‍❤‍👨🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-fair skin, Fair skin, love, man, medium-fair skin, woman
👩🏼‍❤‍👨🏼	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-fair skin, love, man, medium-fair skin, woman
👩🏼‍❤‍👨🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-fair skin, medium skin, love, man, medium skin, medium-fair skin, woman
👩🏼‍❤‍👨🏾	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-fair skin, medium-dark skin, love, man, medium-dark skin, medium-fair skin, woman
👩🏼‍❤‍👨🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-fair skin, dark skin, love, man, medium-fair skin, woman
👩🏽‍❤‍👨🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium skin, Fair skin, love, man, medium skin, woman
👩🏽‍❤‍👨🏼	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium skin, medium-fair skin, love, man, medium skin, medium-fair skin, woman
👩🏽‍❤‍👨🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium skin, love, man, medium skin, woman
👩🏽‍❤‍👨🏾	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium skin, medium-dark skin, love, man, medium skin, medium-dark skin, woman
👩🏽‍❤‍👨🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium skin, dark skin, love, man, medium skin, woman
👩🏾‍❤‍👨🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-dark skin, Fair skin, love, man, medium-dark skin, woman
👩🏾‍❤‍👨🏼	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-dark skin, medium-fair skin, love, man, medium-dark skin, medium-fair skin, woman
👩🏾‍❤‍👨🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-dark skin, medium skin, love, man, medium skin, medium-dark skin, woman
👩🏾‍❤‍👨🏾	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-dark skin, love, man, medium-dark skin, woman
👩🏾‍❤‍👨🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, medium-dark skin, dark skin, love, man, medium-dark skin, woman
👩🏿‍❤‍👨🏻	Fair skin, couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, dark skin, Fair skin, love, man, woman
👩🏿‍❤‍👨🏼	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, dark skin, medium-fair skin, love, man, medium-fair skin, woman
👩🏿‍❤‍👨🏽	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, dark skin, medium skin, love, man, medium skin, woman
👩🏿‍❤‍👨🏾	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, dark skin, medium-dark skin, love, man, medium-dark skin, woman
👩🏿‍❤‍👨🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, man, dark skin, love, man, woman
👩🏻‍❤‍👩🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, Fair skin, love, woman
👩🏻‍❤‍👩🏼	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, Fair skin, medium-fair skin, love, medium-fair skin, woman
👩🏻‍❤‍👩🏽	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, Fair skin, medium skin, love, medium skin, woman
👩🏻‍❤‍👩🏾	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, Fair skin, medium-dark skin, love, medium-dark skin, woman
👩🏻‍❤‍👩🏿	Fair skin, couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, Fair skin, dark skin, love, woman
👩🏼‍❤‍👩🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-fair skin, Fair skin, love, medium-fair skin, woman
👩🏼‍❤‍👩🏼	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-fair skin, love, medium-fair skin, woman
👩🏼‍❤‍👩🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-fair skin, medium skin, love, medium skin, medium-fair skin, woman
👩🏼‍❤‍👩🏾	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-fair skin, medium-dark skin, love, medium-dark skin, medium-fair skin, woman
👩🏼‍❤‍👩🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-fair skin, dark skin, love, medium-fair skin, woman
👩🏽‍❤‍👩🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium skin, Fair skin, love, medium skin, woman
👩🏽‍❤‍👩🏼	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium skin, medium-fair skin, love, medium skin, medium-fair skin, woman
👩🏽‍❤‍👩🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium skin, love, medium skin, woman
👩🏽‍❤‍👩🏾	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium skin, medium-dark skin, love, medium skin, medium-dark skin, woman
👩🏽‍❤‍👩🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium skin, dark skin, love, medium skin, woman
👩🏾‍❤‍👩🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-dark skin, Fair skin, love, medium-dark skin, woman
👩🏾‍❤‍👩🏼	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-dark skin, medium-fair skin, love, medium-dark skin, medium-fair skin, woman
👩🏾‍❤‍👩🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-dark skin, medium skin, love, medium skin, medium-dark skin, woman
👩🏾‍❤‍👩🏾	couple, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-dark skin, love, medium-dark skin, woman
👩🏾‍❤‍👩🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, medium-dark skin, dark skin, love, medium-dark skin, woman
👩🏿‍❤‍👩🏻	Fair skin, couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, dark skin, Fair skin, love, woman
👩🏿‍❤‍👩🏼	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, dark skin, medium-fair skin, love, medium-fair skin, woman
👩🏿‍❤‍👩🏽	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, dark skin, medium skin, love, medium skin, woman
👩🏿‍❤‍👩🏾	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, dark skin, medium-dark skin, love, medium-dark skin, woman
👩🏿‍❤‍👩🏿	couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: woman, woman, dark skin, love, woman
👩🏻‍🦰	Fair skin, adult, red hair, woman, woman: Fair skin, red hair
👩🏼‍🦰	adult, medium-fair skin, red hair, woman, woman: medium-fair skin, red hair
👩🏽‍🦰	adult, medium skin, red hair, woman, woman: medium skin, red hair
👩🏾‍🦰	adult, medium-dark skin, red hair, woman, woman: medium-dark skin, red hair
👩🏿‍🦰	adult, dark skin, red hair, woman, woman: dark skin, red hair
👩🏻‍🦱	Fair skin, adult, curly hair, woman, woman: Fair skin, curly hair
👩🏼‍🦱	adult, curly hair, medium-fair skin, woman, woman: medium-fair skin, curly hair
👩🏽‍🦱	adult, curly hair, medium skin, woman, woman: medium skin, curly hair
👩🏾‍🦱	adult, curly hair, medium-dark skin, woman, woman: medium-dark skin, curly hair
👩🏿‍🦱	adult, curly hair, dark skin, woman, woman: dark skin, curly hair
👩🏻‍🦳	Fair skin, adult, white hair, woman, woman: Fair skin, white hair
👩🏼‍🦳	adult, medium-fair skin, white hair, woman, woman: medium-fair skin, white hair
👩🏽‍🦳	adult, medium skin, white hair, woman, woman: medium skin, white hair
👩🏾‍🦳	adult, medium-dark skin, white hair, woman, woman: medium-dark skin, white hair
👩🏿‍🦳	adult, dark skin, white hair, woman, woman: dark skin, white hair
👩🏻‍🦲	Fair skin, adult, bald, woman, woman: Fair skin, bald
👩🏼‍🦲	adult, bald, medium-fair skin, woman, woman: medium-fair skin, bald
👩🏽‍🦲	adult, bald, medium skin, woman, woman: medium skin, bald
👩🏾‍🦲	adult, bald, medium-dark skin, woman, woman: medium-dark skin, bald
👩🏿‍🦲	adult, bald, dark skin, woman, woman: dark skin, bald
🧓🏻	Fair skin, adult, gender-neutral, old, older person, older person: Fair skin, unspecified gender
🧓🏼	adult, gender-neutral, medium-fair skin, old, older person, older person: medium-fair skin, unspecified gender
🧓🏽	adult, gender-neutral, medium skin, old, older person, older person: medium skin, unspecified gender
🧓🏾	adult, gender-neutral, medium-dark skin, old, older person, older person: medium-dark skin, unspecified gender
🧓🏿	adult, dark skin, gender-neutral, old, older person, older person: dark skin, unspecified gender
👴🏻	Fair skin, adult, man, old, old man: Fair skin
👴🏼	adult, man, medium-fair skin, old, old man: medium-fair skin
👴🏽	adult, man, medium skin, old, old man: medium skin
👴🏾	adult, man, medium-dark skin, old, old man: medium-dark skin
👴🏿	adult, dark skin, man, old, old man: dark skin
👵🏻	Fair skin, adult, old, old woman: Fair skin, woman
👵🏼	adult, medium-fair skin, old, old woman: medium-fair skin, woman
👵🏽	adult, medium skin, old, old woman: medium skin, woman
👵🏾	adult, medium-dark skin, old, old woman: medium-dark skin, woman
👵🏿	adult, dark skin, old, old woman: dark skin, woman
🙍	frown, frown karta person, gesture
🙍🏻	Fair skin, frown, frown karta person, frown karta person: Fair skin, gesture
🙍🏼	frown, frown karta person, frown karta person: medium-fair skin, gesture, medium-fair skin
🙍🏽	frown, frown karta person, frown karta person: medium skin, gesture, medium skin
🙍🏾	frown, frown karta person, frown karta person: medium-dark skin, gesture, medium-dark skin
🙍🏿	dark skin, frown, frown karta person, frown karta person: dark skin, gesture
🙍‍♂	frown karta aadmi, frowning, gesture, man
🙍🏻‍♂	Fair skin, frown karta aadmi, frown karta aadmi: Fair skin, frowning, gesture, man
🙍🏼‍♂	frown karta aadmi, frown karta aadmi: medium-fair skin, frowning, gesture, man, medium-fair skin
🙍🏽‍♂	frown karta aadmi, frown karta aadmi: medium skin, frowning, gesture, man, medium skin
🙍🏾‍♂	frown karta aadmi, frown karta aadmi: medium-dark skin, frowning, gesture, man, medium-dark skin
🙍🏿‍♂	dark skin, frown karta aadmi, frown karta aadmi: dark skin, frowning, gesture, man
🙍‍♀	frown karti mahila, frowning, gesture, woman
🙍🏻‍♀	Fair skin, frown karti mahila, frown karti mahila: Fair skin, frowning, gesture, woman
🙍🏼‍♀	frown karti mahila, frown karti mahila: medium-fair skin, frowning, gesture, medium-fair skin, woman
🙍🏽‍♀	frown karti mahila, frown karti mahila: medium skin, frowning, gesture, medium skin, woman
🙍🏾‍♀	frown karti mahila, frown karti mahila: medium-dark skin, frowning, gesture, medium-dark skin, woman
🙍🏿‍♀	dark skin, frown karti mahila, frown karti mahila: dark skin, frowning, gesture, woman
🙎	gesture, pout banaata vyakti, pouting
🙎🏻	Fair skin, gesture, pout banaata vyakti, pout banaata vyakti: Fair skin, pouting
🙎🏼	gesture, medium-fair skin, pout banaata vyakti, pout banaata vyakti: medium-fair skin, pouting
🙎🏽	gesture, medium skin, pout banaata vyakti, pout banaata vyakti: medium skin, pouting
🙎🏾	gesture, medium-dark skin, pout banaata vyakti, pout banaata vyakti: medium-dark skin, pouting
🙎🏿	dark skin, gesture, pout banaata vyakti, pout banaata vyakti: dark skin, pouting
🙎‍♂	gesture, man, pout banaata aadmi, pouting
🙎🏻‍♂	Fair skin, gesture, man, pout banaata aadmi, pout banaata aadmi: Fair skin, pouting
🙎🏼‍♂	gesture, man, medium-fair skin, pout banaata aadmi, pout banaata aadmi: medium-fair skin, pouting
🙎🏽‍♂	gesture, man, medium skin, pout banaata aadmi, pout banaata aadmi: medium skin, pouting
🙎🏾‍♂	gesture, man, medium-dark skin, pout banaata aadmi, pout banaata aadmi: medium-dark skin, pouting
🙎🏿‍♂	dark skin, gesture, man, pout banaata aadmi, pout banaata aadmi: dark skin, pouting
🙎‍♀	gesture, pout banaati mahila, pouting, woman
🙎🏻‍♀	Fair skin, gesture, pout banaati mahila, pout banaati mahila: Fair skin, pouting, woman
🙎🏼‍♀	gesture, medium-fair skin, pout banaati mahila, pout banaati mahila: medium-fair skin, pouting, woman
🙎🏽‍♀	gesture, medium skin, pout banaati mahila, pout banaati mahila: medium skin, pouting, woman
🙎🏾‍♀	gesture, medium-dark skin, pout banaati mahila, pout banaati mahila: medium-dark skin, pouting, woman
🙎🏿‍♀	dark skin, gesture, pout banaati mahila, pout banaati mahila: dark skin, pouting, woman
🙅	NO kaa gesture deta vyakti, forbidden, gesture, hand, prohibited
🙅🏻	Fair skin, NO kaa gesture deta vyakti, NO kaa gesture deta vyakti: Fair skin, forbidden, gesture, hand, prohibited
🙅🏼	NO kaa gesture deta vyakti, NO kaa gesture deta vyakti: medium-fair skin, forbidden, gesture, hand, medium-fair skin, prohibited
🙅🏽	NO kaa gesture deta vyakti, NO kaa gesture deta vyakti: medium skin, forbidden, gesture, hand, medium skin, prohibited
🙅🏾	NO kaa gesture deta vyakti, NO kaa gesture deta vyakti: medium-dark skin, forbidden, gesture, hand, medium-dark skin, prohibited
🙅🏿	NO kaa gesture deta vyakti, NO kaa gesture deta vyakti: dark skin, dark skin, forbidden, gesture, hand, prohibited
🙅‍♂	NO kaa gesture deta aadmi, forbidden, gesture, hand, man, prohibited
🙅🏻‍♂	Fair skin, NO kaa gesture deta aadmi, NO kaa gesture deta aadmi: Fair skin, forbidden, gesture, hand, man, prohibited
🙅🏼‍♂	NO kaa gesture deta aadmi, NO kaa gesture deta aadmi: medium-fair skin, forbidden, gesture, hand, man, medium-fair skin, prohibited
🙅🏽‍♂	NO kaa gesture deta aadmi, NO kaa gesture deta aadmi: medium skin, forbidden, gesture, hand, man, medium skin, prohibited
🙅🏾‍♂	NO kaa gesture deta aadmi, NO kaa gesture deta aadmi: medium-dark skin, forbidden, gesture, hand, man, medium-dark skin, prohibited
🙅🏿‍♂	NO kaa gesture deta aadmi, NO kaa gesture deta aadmi: dark skin, dark skin, forbidden, gesture, hand, man, prohibited
🙅‍♀	NO kaa gesture deti mahila, forbidden, gesture, hand, prohibited, woman
🙅🏻‍♀	Fair skin, NO kaa gesture deti mahila, NO kaa gesture deti mahila: Fair skin, forbidden, gesture, hand, prohibited, woman
🙅🏼‍♀	NO kaa gesture deti mahila, NO kaa gesture deti mahila: medium-fair skin, forbidden, gesture, hand, medium-fair skin, prohibited, woman
🙅🏽‍♀	NO kaa gesture deti mahila, NO kaa gesture deti mahila: medium skin, forbidden, gesture, hand, medium skin, prohibited, woman
🙅🏾‍♀	NO kaa gesture deti mahila, NO kaa gesture deti mahila: medium-dark skin, forbidden, gesture, hand, medium-dark skin, prohibited, woman
🙅🏿‍♀	NO kaa gesture deti mahila, NO kaa gesture deti mahila: dark skin, dark skin, forbidden, gesture, hand, prohibited, woman
🙆	OK, OK kaa gesture deta vyakti, gesture, hand
🙆🏻	Fair skin, OK, OK kaa gesture deta vyakti, OK kaa gesture deta vyakti: Fair skin, gesture, hand
🙆🏼	OK, OK kaa gesture deta vyakti, OK kaa gesture deta vyakti: medium-fair skin, gesture, hand, medium-fair skin
🙆🏽	OK, OK kaa gesture deta vyakti, OK kaa gesture deta vyakti: medium skin, gesture, hand, medium skin
🙆🏾	OK, OK kaa gesture deta vyakti, OK kaa gesture deta vyakti: medium-dark skin, gesture, hand, medium-dark skin
🙆🏿	OK, OK kaa gesture deta vyakti, OK kaa gesture deta vyakti: dark skin, dark skin, gesture, hand
🙆‍♂	OK, OK kaa gesture deta aadmi, gesture, hand, man
🙆🏻‍♂	Fair skin, OK, OK kaa gesture deta aadmi, OK kaa gesture deta aadmi: Fair skin, gesture, hand, man
🙆🏼‍♂	OK, OK kaa gesture deta aadmi, OK kaa gesture deta aadmi: medium-fair skin, gesture, hand, man, medium-fair skin
🙆🏽‍♂	OK, OK kaa gesture deta aadmi, OK kaa gesture deta aadmi: medium skin, gesture, hand, man, medium skin
🙆🏾‍♂	OK, OK kaa gesture deta aadmi, OK kaa gesture deta aadmi: medium-dark skin, gesture, hand, man, medium-dark skin
🙆🏿‍♂	OK, OK kaa gesture deta aadmi, OK kaa gesture deta aadmi: dark skin, dark skin, gesture, hand, man
🙆‍♀	OK, OK kaa gesture deti mahila, gesture, hand, woman
🙆🏻‍♀	Fair skin, OK, OK kaa gesture deti mahila, OK kaa gesture deti mahila: Fair skin, gesture, hand, woman
🙆🏼‍♀	OK, OK kaa gesture deti mahila, OK kaa gesture deti mahila: medium-fair skin, gesture, hand, medium-fair skin, woman
🙆🏽‍♀	OK, OK kaa gesture deti mahila, OK kaa gesture deti mahila: medium skin, gesture, hand, medium skin, woman
🙆🏾‍♀	OK, OK kaa gesture deti mahila, OK kaa gesture deti mahila: medium-dark skin, gesture, hand, medium-dark skin, woman
🙆🏿‍♀	OK, OK kaa gesture deti mahila, OK kaa gesture deti mahila: dark skin, dark skin, gesture, hand, woman
💁	hand, help, information, information desk kaa vyakti, sassy, tipping
💁🏻	Fair skin, hand, help, information, information desk kaa vyakti, information desk kaa vyakti: Fair skin, sassy, tipping
💁🏼	hand, help, information, information desk kaa vyakti, information desk kaa vyakti: medium-fair skin, medium-fair skin, sassy, tipping
💁🏽	hand, help, information, information desk kaa vyakti, information desk kaa vyakti: medium skin, medium skin, sassy, tipping
💁🏾	hand, help, information, information desk kaa vyakti, information desk kaa vyakti: medium-dark skin, medium-dark skin, sassy, tipping
💁🏿	dark skin, hand, help, information, information desk kaa vyakti, information desk kaa vyakti: dark skin, sassy, tipping
