،	arabic, arabic comma, comma
😋	delicious, face, food enjoy karta face, savouring, smile, yum
😛	face, tongue, tongue dikhaata face
😜	eye, face, joke, tongue, tongue dikhaata winking face, wink
😝	eye, face, horrible, taste, tongue, tongue nikaalta squinting face
🤗	face, hug, hug karta smiling face, hugging, open hands, smiling face
🤭	mouth par haath wala face, whoops
🫢	amazement, awe, disbelief, embarrass, khuli aankhein aur mouth par haath wala face, scared, surprise
🫣	captivated, fingers ke beech se jhaankta face, jhaankna, stare
🤨	distrust, raised eyebrow wala face, skeptic
😶	bina mouth wala face, face, mouth, quiet, silent
😶‍🌫	absentminded, baadlon mein face, baadlon mein head, fog mein face
🙄	eyeroll, eyes, face, rolling, rolling eyes wala face
😷	cold, doctor, face, mask, medical mask wala face, sick
🤒	face, ill, sick, thermometer, thermometer wala face
🤕	bandage, face, head-bandage wala face, hurt, injury
🤢	face, nauseated face, vomit
😵	crossed-out eyes, crossed-out eyes wala face, dead, face, knocked out
😵‍💫	dizzy, hypnotized, spiral, spiral eyes wala face, trouble, whoa
😎	bright, cool, face, sun, sunglasses, sunglasses wala face
🧐	face, face with monocle, monocle, monocle pehne face, stuffy
🫤	diagonal mouth wala face, disappointed, meh, skeptical, unsure
😮	face, mouth, open, open mouth wala face, sympathy
🥹	Aansoon rokta face, angry, cry, proud, resist, sad
😦	face, frown, mouth, open, open mouth wala frowning face
😧	dukhi, dukhi face, face
😰	blue, cold, face, rushed, sweat, sweating wala anxious face
😥	disappointed, face, relieved, sad lekin relieved face, whew
😭	cry, face, loudly rone wala face, sad, sob, tear
😱	dar se scream karta face, face, fear, munch, scared, scream
😖	Hairaan face, confounded, face
😓	cold, face, sweat, sweating wala udaas face
😤	face, nose se steam nkalti dikhaane wala face, triumph, won
🤬	mouth par symbols wala face, shapath
😈	face, fairy tale, fantasy, horns, horns wala smiling face, smile
👿	demon, devil, face, fantasy, horns wala angry face, imp
☠️	crossbones, death, face, monster, skull, skull aur crossbones
😸	cat, eye, face, grin, smile, smiling eyes wali grinning cat
😹	cat, face, joy, khushi ke aansoon bahaati cat kaa face, tear
😻	cat, eye, face, heart, heart-eyes wali smiling cat, love, smile
😼	cat, cat with wry smile, face, ironic, smile, wry, wry smile wali cat
💘	arrow, arrow wala heart, cupid
💝	ribbon, ribbon wala heart, valentine
💗	excited, grow karta hua heart, growing, nervous, pulse
💕	do hearts, love
💟	heart, heart ki decoration
❣️	exclamation, exclamation sign wala heart, mark, punctuation
💦	comic, splashing, sweat, sweating ke droplets
👁‍🗨	balloon, bubble, eye, speech, speech bubble mein eye, witness
👋	hand, wave, wave karta haath, waving
👋🏻	Fair skin, hand, wave, wave karta haath, wave karta haath: Fair skin, waving
👋🏼	hand, medium-fair skin, wave, wave karta haath, wave karta haath: medium-fair skin, waving
👋🏽	hand, medium skin, wave, wave karta haath, wave karta haath: medium skin, waving
👋🏾	hand, medium-dark skin, wave, wave karta haath, wave karta haath: medium-dark skin, waving
👋🏿	dark skin, hand, wave, wave karta haath, wave karta haath: dark skin, waving
🤚	backhand, raised, uthe huye haath ki back side
