¬	negatzione
👦🏽	giòvanu, pedde de colore mèdiu, pitzinnu, pitzinnu: pedde de colore mèdiu, pitzocu
👦🏾	giòvanu, pedde bastante iscura, pitzinnu, pitzinnu: pedde bastante iscura, pitzocu
👦🏿	giòvanu, pedde iscura, pitzinnu, pitzinnu: pedde iscura, pitzocu
👧	giòvana, pitzinna, pitzoca, vìrgine, zodìacu
👧🏻	giòvana, pedde crara, pitzinna, pitzinna: pedde crara, pitzoca, vìrgine, zodìacu
👧🏼	giòvana, pedde bastante crara, pitzinna, pitzinna: pedde bastante crara, pitzoca, vìrgine, zodìacu
👧🏽	giòvana, pedde de colore mèdiu, pitzinna, pitzinna: pedde de colore mèdiu, pitzoca, vìrgine, zodìacu
👧🏾	giòvana, pedde bastante iscura, pitzinna, pitzinna: pedde bastante iscura, pitzoca, vìrgine, zodìacu
👧🏿	giòvana, pedde iscura, pitzinna, pitzinna: pedde iscura, pitzoca, vìrgine, zodìacu
🧑	adulta, adultu, manna, mannu, persone
🧑🏻	adulta, adultu, manna, mannu, pedde crara, persone, persone: pedde crara
🧑🏼	adulta, adultu, manna, mannu, pedde bastante crara, persone, persone: pedde bastante crara
🧑🏽	adulta, adultu, manna, mannu, pedde de colore mèdiu, persone, persone: pedde de colore mèdiu
🧑🏾	adulta, adultu, manna, mannu, pedde bastante iscura, persone, persone: pedde bastante iscura
🧑🏿	adulta, adultu, manna, mannu, pedde iscura, persone, persone: pedde iscura
👱	brunda, brundu, persone brunda, pilos brundos
👱🏻	brunda, brundu, pedde crara, persone brunda, persone brunda: pedde crara, pilos brundos
👱🏼	brunda, brundu, pedde bastante crara, persone brunda, persone brunda: pedde bastante crara, pilos brundos
👱🏽	brunda, brundu, pedde de colore mèdiu, persone brunda, persone brunda: pedde de colore mèdiu, pilos brundos
👱🏾	brunda, brundu, pedde bastante iscura, persone brunda, persone brunda: pedde bastante iscura, pilos brundos
👱🏿	brunda, brundu, pedde iscura, persone brunda, persone brunda: pedde iscura, pilos brundos
🧑🏻‍❤‍💋‍🧑🏼	basu, basu: persone, persone, pedde crara e pedde bastante crara, croba, còpia, pedde bastante crara, pedde crara, persone
🧑🏻‍❤‍💋‍🧑🏽	basu, basu: persone, persone, pedde crara e pedde de colore mèdiu, croba, còpia, pedde crara, pedde de colore mèdiu, persone
🧑🏻‍❤‍💋‍🧑🏾	basu, basu: persone, persone, pedde crara e pedde bastante iscura, croba, còpia, pedde bastante iscura, pedde crara, persone
🧑🏻‍❤‍💋‍🧑🏿	basu, basu: persone, persone, pedde crara e pedde iscura, croba, còpia, pedde crara, pedde iscura, persone
🧑🏼‍❤‍💋‍🧑🏻	basu, basu: persone, persone, pedde bastante crara e pedde crara, croba, còpia, pedde bastante crara, pedde crara, persone
🧑🏼‍❤‍💋‍🧑🏽	basu, basu: persone, persone, pedde bastante crara e pedde de colore mèdiu, croba, còpia, pedde bastante crara, pedde de colore mèdiu, persone
🧑🏼‍❤‍💋‍🧑🏾	basu, basu: persone, persone, pedde bastante crara e pedde bastante iscura, croba, còpia, pedde bastante crara, pedde bastante iscura, persone
🧑🏼‍❤‍💋‍🧑🏿	basu, basu: persone, persone, pedde bastante crara e pedde iscura, croba, còpia, pedde bastante crara, pedde iscura, persone
🧑🏽‍❤‍💋‍🧑🏻	basu, basu: persone, persone, pedde de colore mèdiu e pedde crara, croba, còpia, pedde crara, pedde de colore mèdiu, persone
🧑🏽‍❤‍💋‍🧑🏼	basu, basu: persone, persone, pedde de colore mèdiu e pedde bastante crara, croba, còpia, pedde bastante crara, pedde de colore mèdiu, persone
🧑🏽‍❤‍💋‍🧑🏾	basu, basu: persone, persone, pedde de colore mèdiu e pedde bastante iscura, croba, còpia, pedde bastante iscura, pedde de colore mèdiu, persone
🧑🏽‍❤‍💋‍🧑🏿	basu, basu: persone, persone, pedde de colore mèdiu e pedde iscura, croba, còpia, pedde de colore mèdiu, pedde iscura, persone
🧑🏾‍❤‍💋‍🧑🏻	basu, basu: persone, persone, pedde bastante iscura e pedde crara, croba, còpia, pedde bastante iscura, pedde crara, persone
🧑🏾‍❤‍💋‍🧑🏼	basu, basu: persone, persone, pedde bastante iscura e pedde bastante crara, croba, còpia, pedde bastante crara, pedde bastante iscura, persone
🧑🏾‍❤‍💋‍🧑🏽	basu, basu: persone, persone, pedde bastante iscura e pedde de colore mèdiu, croba, còpia, pedde bastante iscura, pedde de colore mèdiu, persone
🧑🏾‍❤‍💋‍🧑🏿	basu, basu: persone, persone, pedde bastante iscura e pedde iscura, croba, còpia, pedde bastante iscura, pedde iscura, persone
🧑🏿‍❤‍💋‍🧑🏻	basu, basu: persone, persone, pedde iscura e pedde crara, croba, còpia, pedde crara, pedde iscura, persone
🧑🏿‍❤‍💋‍🧑🏼	basu, basu: persone, persone, pedde iscura e pedde bastante crara, croba, còpia, pedde bastante crara, pedde iscura, persone
🧑🏿‍❤‍💋‍🧑🏽	basu, basu: persone, persone, pedde iscura e pedde de colore mèdiu, croba, còpia, pedde de colore mèdiu, pedde iscura, persone
🧑🏿‍❤‍💋‍🧑🏾	basu, basu: persone, persone, pedde iscura e pedde bastante iscura, croba, còpia, pedde bastante iscura, pedde iscura, persone
🧑‍🦰	adulta, adultu, manna, mannu, persone, persone: pilos rujos, pilos rujos
🧑🏻‍🦰	adulta, adultu, manna, mannu, pedde crara, persone, persone: pedde crara e pilos rujos, pilos rujos
🧑🏼‍🦰	adulta, adultu, manna, mannu, pedde bastante crara, persone, persone: pedde bastante crara e pilos rujos, pilos rujos
🧑🏽‍🦰	adulta, adultu, manna, mannu, pedde de colore mèdiu, persone, persone: pedde de colore mèdiu e pilos rujos, pilos rujos
🧑🏾‍🦰	adulta, adultu, manna, mannu, pedde bastante iscura, persone, persone: pedde bastante iscura e pilos rujos, pilos rujos
🧑🏿‍🦰	adulta, adultu, manna, mannu, pedde iscura, persone, persone: pedde iscura e pilos rujos, pilos rujos
🧑‍🦱	adulta, adultu, manna, mannu, persone, persone: pilos aneddados, pilos aneddados
🧑🏻‍🦱	adulta, adultu, manna, mannu, pedde crara, persone, persone: pedde crara e pilos aneddados, pilos aneddados
🧑🏼‍🦱	adulta, adultu, manna, mannu, pedde bastante crara, persone, persone: pedde bastante crara e pilos aneddados, pilos aneddados
🧑🏽‍🦱	adulta, adultu, manna, mannu, pedde de colore mèdiu, persone, persone: pedde de colore mèdiu e pilos aneddados, pilos aneddados
🧑🏾‍🦱	adulta, adultu, manna, mannu, pedde bastante iscura, persone, persone: pedde bastante iscura e pilos aneddados, pilos aneddados
🧑🏿‍🦱	adulta, adultu, manna, mannu, pedde iscura, persone, persone: pedde iscura e pilos aneddados, pilos aneddados
🧑‍🦳	adulta, adultu, manna, mannu, persone, persone: pilos biancos, pilos biancos
🧑🏻‍🦳	adulta, adultu, manna, mannu, pedde crara, persone, persone: pedde crara e pilos biancos, pilos biancos
🧑🏼‍🦳	adulta, adultu, manna, mannu, pedde bastante crara, persone, persone: pedde bastante crara e pilos biancos, pilos biancos
🧑🏽‍🦳	adulta, adultu, manna, mannu, pedde de colore mèdiu, persone, persone: pedde de colore mèdiu e pilos biancos, pilos biancos
🧑🏾‍🦳	adulta, adultu, manna, mannu, pedde bastante iscura, persone, persone: pedde bastante iscura e pilos biancos, pilos biancos
🧑🏿‍🦳	adulta, adultu, manna, mannu, pedde iscura, persone, persone: pedde iscura e pilos biancos, pilos biancos
🧑‍🦲	adulta, adultu, ispilidu, manna, mannu, persone, persone: ispilidu
🧑🏻‍🦲	adulta, adultu, ispilidu, manna, mannu, pedde crara, persone, persone: pedde crara e ispilidu
🧑🏼‍🦲	adulta, adultu, ispilidu, manna, mannu, pedde bastante crara, persone, persone: pedde bastante crara e ispilidu
🧑🏽‍🦲	adulta, adultu, ispilidu, manna, mannu, pedde de colore mèdiu, persone, persone: pedde de colore mèdiu e ispilidu
🧑🏾‍🦲	adulta, adultu, ispilidu, manna, mannu, pedde bastante iscura, persone, persone: pedde bastante iscura e ispilidu
🧑🏿‍🦲	adulta, adultu, ispilidu, manna, mannu, pedde iscura, persone, persone: pedde iscura e ispilidu
👨	adultu, mannu, òmine
👨🏻	adultu, mannu, pedde crara, òmine, òmine: pedde crara
👨🏼	adultu, mannu, pedde bastante crara, òmine, òmine: pedde bastante crara
👨🏽	adultu, mannu, pedde de colore mèdiu, òmine, òmine: pedde de colore mèdiu
👨🏾	adultu, mannu, pedde bastante iscura, òmine, òmine: pedde bastante iscura
👨🏿	adultu, mannu, pedde iscura, òmine, òmine: pedde iscura
🧔	barba, persone barbuda
🧔🏻	barba, pedde crara, persone barbuda, persone barbuda: pedde crara
🧔🏼	barba, pedde bastante crara, persone barbuda, persone barbuda: pedde bastante crara
🧔🏽	barba, pedde de colore mèdiu, persone barbuda, persone barbuda: pedde de colore mèdiu
🧔🏾	barba, pedde bastante iscura, persone barbuda, persone barbuda: pedde bastante iscura
🧔🏿	barba, pedde iscura, persone barbuda, persone barbuda: pedde iscura
🧔‍♂	barba, òmine, òmine barbudu
🧔🏻‍♂	barba, pedde crara, òmine, òmine barbudu, òmine barbudu: pedde crara
🧔🏼‍♂	barba, pedde bastante crara, òmine, òmine barbudu, òmine barbudu: pedde bastante crara
🧔🏽‍♂	barba, pedde de colore mèdiu, òmine, òmine barbudu, òmine barbudu: pedde de colore mèdiu
🧔🏾‍♂	barba, pedde bastante iscura, òmine, òmine barbudu, òmine barbudu: pedde bastante iscura
🧔🏿‍♂	barba, pedde iscura, òmine, òmine barbudu, òmine barbudu: pedde iscura
👨🏻‍❤‍💋‍👨🏻	basu, basu: òmine, òmine e pedde crara, croba, còpia, pedde crara, òmine
👨🏻‍❤‍💋‍👨🏼	basu, basu: òmine, òmine, pedde crara e pedde bastante crara, croba, còpia, pedde bastante crara, pedde crara, òmine
👨🏻‍❤‍💋‍👨🏽	basu, basu: òmine, òmine, pedde crara e pedde de colore mèdiu, croba, còpia, pedde crara, pedde de colore mèdiu, òmine
👨🏻‍❤‍💋‍👨🏾	basu, basu: òmine, òmine, pedde crara e pedde bastante iscura, croba, còpia, pedde bastante iscura, pedde crara, òmine
👨🏻‍❤‍💋‍👨🏿	basu, basu: òmine, òmine, pedde crara e pedde iscura, croba, còpia, pedde crara, pedde iscura, òmine
👨🏼‍❤‍💋‍👨🏻	basu, basu: òmine, òmine, pedde bastante crara e pedde crara, croba, còpia, pedde bastante crara, pedde crara, òmine
👨🏼‍❤‍💋‍👨🏼	basu, basu: òmine, òmine e pedde bastante crara, croba, còpia, pedde bastante crara, òmine
👨🏼‍❤‍💋‍👨🏽	basu, basu: òmine, òmine, pedde bastante crara e pedde de colore mèdiu, croba, còpia, pedde bastante crara, pedde de colore mèdiu, òmine
