🏻	odos atspalvis, šviesios odos
👾	ateivis, fantazija, kūrinys, monstras ateivis, nežemiška būtybė, pabaisa, veidas
🤖	monstras, robotas, roboto veidas, veidas
💩	išmatos, išmatų krūvelė, kakoti, komiksas, monstras, mėšlas, veidas
😺	besišypsančios katės snukutis, burna, išsižiojęs, katė, veidas, šypsena
😸	akys, išsišiepusios katės snukutis su besišypsančiomis akimis, katė, vaipytis, veidas, šypsena
😹	ašara, džiaugsmas, katė, katės snukutis su džiaugsmo ašaromis, veidas
😻	akis, besišypsančios katės snukutis su širdelės formos akimis, katė, meilė, veidas, šypsena
😼	ironija, katė, nuvargusios besišypsančios katės snukutis, nuvargęs, veidas, šypsena
😽	akys, bučinys, bučiuojančios katės snukutis, katė, veidas
🙀	katė, nustebusios katės snukutis, nustebęs, oi, veidas
😿	ašara, katė, liūdesys, veidas, verkiančios katės snukutis, verkti
😾	katė, susiraukusios katės snukutis, susiraukęs, veidas
🙈	beždžionė, blogis, draudžiama, matyti, uždrausta, užsidengusi akis beždžionė, veidas
🙉	beždžionė, blogis, draudžiama, klausyti, uždrausta, užsidengusi ausis beždžionė, veidas
🙊	beždžionė, blogis, uždrausta, užsidengusi burną beždžionė, veidas
👶	jaunas, kūdikis
🧒	jaunas, neutrali lytis, vaikas
👦	berniukas, jaunas
👧	jauna, mergaitė, mergelė, zodiakas
🧑	neutrali lytis, suaugusysis
👱	šviesiaplaukis, šviesiaplaukis žmogus
👨	vyras
👱‍♂	blondinas, vyras
🧔	barzda, barzdotas žmogus
👩	moteris
👱‍♀	blondinė, moteris
🧓	kitas suaugusysis, neutrali lytis, senas
👴	senas, senas vyras, vyras
👵	moteris, sena, sena moteris
👨‍⚕	gydytojas, medikas, slaugytojas, sveikata, terapeutas, vyras
👩‍⚕	gydytoja, medikė, moteris, seselė, sveikata, terapeutė
👨‍🎓	absolventas, studentas, vyras
👩‍🎓	absolventė, moteris, studentė
👨‍🏫	dėstytojas, mokytojas, profesorius, vyras
👩‍🏫	dėstytoja, mokytoja, moteris, profesorė
👨‍⚖	svarstyklės, teisingumas, teisėjas, vyras
👩‍⚖	moteris, svarstyklės, teisingumas, teisėja
👨‍🌾	darbininkas, sodininkas, vyras, ūkininkas
👩‍🌾	darbininkė, moteris, sodininkė, ūkininkė
👨‍🍳	virėjas, vyras, šefas
👩‍🍳	moteris, virėja, šefė
👨‍🔧	elektrikas, mechanikas, prekybininkas, santechnikas, vyras
👩‍🔧	elektrikė, mechanikė, moteris, prekybininkė, santechnikė
👨‍🏭	darbuotojas, fabrikas, fabriko darbininkas, gamyba, susirinkimas, vyras
👩‍🏭	darbuotoja, fabrikas, fabriko darbininkė, gamyba, moteris, susirinkimas
👨‍💼	architektas, biuras, biuro darbuotojas, darbas įstaigoje, vadybininkas, verslas, vyras
👩‍💼	architektė, biuro darbuotoja, darbas įstaigoje, moteris, vadybininkė, verslas
👨‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, vyras
👩‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, moteris
👨‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, vyras
👩‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė
👨‍🎤	aktorius, dainininkas, rokas, vyras, žvaigždė
👩‍🎤	aktorė, dainininkė, moteris, rokas, žvaigždė
👨‍🎨	dailininkas, paletė, vyras
👩‍🎨	dailininkė, moteris, paletė
👨‍✈	lėktuvas, pilotas, vyras
👩‍✈	lėktuvas, moteris, pilotė
👨‍🚀	astronautas, raketa, vyras
👩‍🚀	astronautė, moteris, raketa
👨‍🚒	gaisrininkas, gaisrininkų automobilis, vyras
👩‍🚒	gaisrininkė, gaisrininkų automobilis, moteris
👮	pareigūnas, policija, policininkas
👮‍♂	pareigūnas, policija, policininkas, vyras, vyras policininkas
👮‍♀	moteris, moteris policininkė, pareigūnė, policija, policininkė
🕵‍♂	detektyvas, seklas, seklys, vyras, šnipas
🕵‍♀	detektyvė, moteris, seklė, šnipė
💂	sargyba, sargybinis
💂‍♂	sargybinis, vyras, vyras sargybinis
💂‍♀	moteris, sargybinė
👷	darbuotojas, kepurė, statyba, statybininkas
👷‍♂	darbininkas, statybininkas, vyras, vyras statybininkas
👷‍♀	darbininkė, moteris, statybininkė
🤴	princas
👸	fantazija, pasaka, princesė
👳	turbanas, vyras su turbanu
👳‍♂	turbanas, vyras, vyriškis su turbanu
👳‍♀	moteris, moteris su turbanu, turbanas
👲	kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle
🧕	moteris su skarele, skarelė
🤵	jaunikis, smokingas, vyras, vyras su smokingu
👰	nuotaka, nuotaka su veliumu, veliumas, vestuvės
🤰	moteris, neščia, nėščia moteris
🤱	krūtinė, kūdikis, maitinimas krūtimi, priežiūra
👼	angelas, angeliukas, fantazija, kūdikis, pasaka, veidas
🎅	Kalėdos, Kalėdų senelis, senelis, tėvas, šventė
🤶	Kalėdos, mama, ponia, ponia Claus, šventė
🦸	geras, herojus, herojė, supergalia, superherojus
🦸‍♀	geras, herojus, herojė, moteris, moteris superherojė, supergalia
🦸‍♂	geras, herojus, supergalia, vyras, vyras superherojus
🦹	blogas, nusikaltėlis, piktadarys, supergalia, superpiktadarys
🦹‍♀	bloga, moteris, moteris piktadarė, nusikaltėlė, piktadarė, supergalia
🦹‍♂	blogas, nusikaltėlis, piktadarys, supergalia, vyras, vyras piktadarys
🧙	burtininkas, kerėtoja, kerėtojas, magas, ragana
🧙‍♀	kerėtoja, magė, ragana
🧙‍♂	burtininkas, kerėtojas, vyras magas
🧚	Oberon, Puck, Titania, fėja
🧚‍♀	Titania, moteris fėja
🧚‍♂	Oberon, Puck, burtininkas
🧛	Drakula, nemirtingas, vampyras
🧛‍♀	nemirtingas, vampyrė
🧛‍♂	Drakula, nemirtingas, vampyras vyras
🧜	undinius, undinė, undinėlė
🧜‍♀	undinėlė
🧜‍♂	Tritonas, vandenis/undinius
🧝	elfas, magiškas
🧝‍♀	elfė, magiška
🧝‍♂	elfas vyras, magiškas
🧞	dvasia, džinas
🧞‍♀	džinė
🧞‍♂	džinas
🧟	nemirtingas, vaikštantis numirėlis, zombis
🧟‍♀	nemirtinga, vaikštanti numirėlė, zombė
🧟‍♂	nemirtingas, vaikštantis numirėlis, zombis vyras
🙍	gestas, paniuręs žmogus, raukytis
🙍‍♂	gestas, paniuręs, paniuręs vyras, vyras
🙍‍♀	gestas, moteris, paniurusi, paniurusi moteris
🙎	gestas, raukymasis, susiraukęs žmogus
🙎‍♂	gestas, susiraukęs, susiraukęs vyras, vyras
🙎‍♀	gestas, moteris, susiraukusi, susiraukusi moteris
🙅	draudžiama, gestas, ne, neigiamas gestas, ranka
🙅‍♂	draudžiama, draudžiantis vyras, gestas, neleistina, vyras
