‾	kan layi
∩	alamar mahaɗa, mahaɗa, saita
∪	saita, tari, ƙungiya
≈	kimani, kusan daidai, kusanci
≡	daidai, daidai yake da, iri ɗaya, sau uku
≤	daidai, rashin daidaito, ya yi daidai, ƙasa da ko kuma daidai, ƙasa-da
≥	daidai, mafi girma, mafi girma ko daidai, rashin daidaito, ya yi daidai
⊂	rukuni, rukuni na, saita
▲	alwatika, cika, cika alwatika mai nunawa sama, kibiya, sama
▼	alwatika, cika, cika alwatika mai nunawa ƙasa, kibiya, ƙasa
◊	alawa, alewa, daiman, rhombus
○	daʼira, daʼira buɗaɗɗiya, zobe
●	daʼira, daʼira cike
◯	babbar daʼira buɗaɗɗiya, daʼira, zobe
♪	alama, alama ta kiɗa, kiɗa, takwas
♭	alama, bemolle, lebur, waƙa
♯	alamar kiɗa, bayanin kula, diesis, dièse, waƙa
😀	fuska, fuska mai murmushin baki har kunne, mai murmushi baki har kunne
😃	a buɗe, baki, fuska, fuska mai murmushi tare da baki a buɗe, fuska mai murmushi tare da manyan idanu, murmushi
😄	a buɗe, baki, fuska, fuska mai murmushi tare da baki a buɗe & idanu masu murmushi, fuska mai murmushi tare da idanu, ido, murmushi
😁	fuska, fuska mai murmushi tare da idanuu, fuska mai murmushin baki har kunne tare da idanu masu murmushi, ido, murmushi, murmushi na baki har kunne
😆	a buɗe, baki, dariya, fuska, fuska mai murmushi tare da baki a buɗe & idanu a rufe, gamsu, murmushi, murmushin yaƙe tare da lumshe ido
😅	a buɗe, fuska, fuska mai murmushi tare da baki a buɗe & gumi mai sanyi, fuska mai murmushi tare da gumi mai sanyi, gumi, murmushi, sanyi
🤣	dariya, daɓe, fuska, mirgina, mirgina a daɓe da dariya
😂	dariya, fuska, fuska mai hawayen murna, hawaye, murna
🙂	fuska, fuska mai murmushi kaɗan, murmushi
🙃	a birkice, fuska, fuska a birkice
🫠	fuska narke, narke, ruwa, ɓace
😉	fuska, fuska mai yin ƙifta, yi ƙifta
😊	fuska, fuska mai murmushi haɗe da idanu, fuska mai murmushi tare da idanu mai murmushi, ido, ji kunya, murmushi
😇	fuska, fuska mai murmushi tare da da’irar haske, labarin aljana, malaika, maras laifi, murmushi, tatsuniya
🥰	cikin soyayya, fuska mai dariya da zukata, murmushi murmushi tare da zukata, murƙushe, zukata, ƙauna
😍	fuska, fuska mai murmushi tare da idanun zuciya, ido, murmushi, ƙauna
🤩	buga-tauraro, cikin soyayya, fuska, idanu, tauraro, yin dariya har kunne
😘	fuska, fuska mai ba da wani sumba, sumba
😗	Fuska mai yin sumba, fuska, sumba
☺️	fuska, fuska mai murmushi, mai shaci, mai walwala, murmushi
😚	a rufe, fuska, fuska mai yin sumba tare da rufaffen Idanu, ido, sumba
😙	fuska, fuska mai sumba da idanu masu murmushi, fuska mai yin sumba tare da idanu masu murmushi, ido, murmushi, sumba
🥲	fuska mai murmushi ɗauke da hawaye, godiya, hawaye, mai alfahari, murmushi, sami sauƙi, shafar
😋	fuska, fuska da take ɗanɗana abinci mai daɗi, mai daɗi, murmushi, um, yum, ɗanɗano
😛	fuska, fuska tare da harshe a waje, harshe
😜	abin dariya, fuska, fuska tare da harshe a waje da ido mai ƙifta, harshe, ido, ƙifta
🤪	babba, fuska mai masifar so, ido, ƙarami
😝	fuska, fuska da harshe waje da rufaffun idanu, fuska tare da harshe a waje da rufaffun idanu, harshe, ido, maƙetaci, ɗanɗano
🤑	baki, fuska, fuska mai bakin-kuɗi, kuɗi
🤗	fuska, fuska mai runguma, mai runguma, runguma
🤭	fuska tare da hannu bisa baki, nunin baƙin ciki
🫢	fuska da buɗe idanu da miƙa baki, kunya, mamaki, rashin yarda, tsorata, tsoro
🫣	fuska tare da leƙo ido ɗaya, kame, leƙa ido ɗaya, zura ido
🤫	fuska mai shiru, mai shiru, shiru
🤔	fuska, fuska mai tunani, tunani
🫡	eh, fuska mai sarawa, rana, sarawa, sojoji, to
🤐	baki, fuska, fuskar baki mai zif, zif
🤨	fuska tare da ɗagaggiyar gira, mai shakka, maras aminci
😐️	fuska, fuska mai tsaka-tsakanci, mai tsaka-tsakanci, mara shige
😑	fuska, fuska mara shige, mara shige, maras shige
😶	baki, fuska, fuska ban da baki, mai shiru, shiru
