🧑🏼	fullorðinn, húðtegund 3, kynhlutlaust, manneskja, manneskja: húðtegund 3
🧑🏽	fullorðinn, húðtegund 4, kynhlutlaust, manneskja, manneskja: húðtegund 4
🧑🏾	fullorðinn, húðtegund 5, kynhlutlaust, manneskja, manneskja: húðtegund 5
🧑🏿	fullorðinn, húðtegund 6, kynhlutlaust, manneskja, manneskja: húðtegund 6
👨🏻	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2, maður
👨🏼	fólk, húðtegund 3, karl, karl: húðtegund 3, maður
👨🏽	fólk, húðtegund 4, karl, karl: húðtegund 4, maður
👨🏾	fólk, húðtegund 5, karl, karl: húðtegund 5, maður
👨🏿	fólk, húðtegund 6, karl, karl: húðtegund 6, maður
👨‍🦰	fólk, karl, karl: rautt hár, maður, rautt hár
👨🏻‍🦰	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2 og rautt hár, maður, rautt hár
👨🏼‍🦰	fólk, húðtegund 3, karl, karl: húðtegund 3 og rautt hár, maður, rautt hár
👨🏽‍🦰	fólk, húðtegund 4, karl, karl: húðtegund 4 og rautt hár, maður, rautt hár
👨🏾‍🦰	fólk, húðtegund 5, karl, karl: húðtegund 5 og rautt hár, maður, rautt hár
👨🏿‍🦰	fólk, húðtegund 6, karl, karl: húðtegund 6 og rautt hár, maður, rautt hár
👨‍🦱	fólk, karl, karl: krullur, krullur, maður
👨🏻‍🦱	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2 og krullur, krullur, maður
👨🏼‍🦱	fólk, húðtegund 3, karl, karl: húðtegund 3 og krullur, krullur, maður
👨🏽‍🦱	fólk, húðtegund 4, karl, karl: húðtegund 4 og krullur, krullur, maður
👨🏾‍🦱	fólk, húðtegund 5, karl, karl: húðtegund 5 og krullur, krullur, maður
👨🏿‍🦱	fólk, húðtegund 6, karl, karl: húðtegund 6 og krullur, krullur, maður
👨‍🦲	fólk, karl, karl: skalli, maður, skalli
👨🏻‍🦲	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2 og skalli, maður, skalli
👨🏼‍🦲	fólk, húðtegund 3, karl, karl: húðtegund 3 og skalli, maður, skalli
👨🏽‍🦲	fólk, húðtegund 4, karl, karl: húðtegund 4 og skalli, maður, skalli
👨🏾‍🦲	fólk, húðtegund 5, karl, karl: húðtegund 5 og skalli, maður, skalli
👨🏿‍🦲	fólk, húðtegund 6, karl, karl: húðtegund 6 og skalli, maður, skalli
👨‍🦳	fólk, hvítt hár, karl, karl: hvítt hár, maður
👨🏻‍🦳	fólk, hvítt hár, húðtegund 1–2, karl, karl: húðtegund 1–2 og hvítt hár, maður
👨🏼‍🦳	fólk, hvítt hár, húðtegund 3, karl, karl: húðtegund 3 og hvítt hár, maður
👨🏽‍🦳	fólk, hvítt hár, húðtegund 4, karl, karl: húðtegund 4 og hvítt hár, maður
👨🏾‍🦳	fólk, hvítt hár, húðtegund 5, karl, karl: húðtegund 5 og hvítt hár, maður
👨🏿‍🦳	fólk, hvítt hár, húðtegund 6, karl, karl: húðtegund 6 og hvítt hár, maður
👩🏻	fólk, húðtegund 1–2, kona, kona: húðtegund 1–2
👩🏼	fólk, húðtegund 3, kona, kona: húðtegund 3
👩🏽	fólk, húðtegund 4, kona, kona: húðtegund 4
👩🏾	fólk, húðtegund 5, kona, kona: húðtegund 5
👩🏿	fólk, húðtegund 6, kona, kona: húðtegund 6
👩‍🦰	fólk, kona, kona: rautt hár, rautt hár
👩🏻‍🦰	fólk, húðtegund 1–2, kona, kona: húðtegund 1–2 og rautt hár, rautt hár
👩🏼‍🦰	fólk, húðtegund 3, kona, kona: húðtegund 3 og rautt hár, rautt hár
👩🏽‍🦰	fólk, húðtegund 4, kona, kona: húðtegund 4 og rautt hár, rautt hár
👩🏾‍🦰	fólk, húðtegund 5, kona, kona: húðtegund 5 og rautt hár, rautt hár
👩🏿‍🦰	fólk, húðtegund 6, kona, kona: húðtegund 6 og rautt hár, rautt hár
👩‍🦱	fólk, kona, kona: krullur, krullur
👩🏻‍🦱	fólk, húðtegund 1–2, kona, kona: húðtegund 1–2 og krullur, krullur
👩🏼‍🦱	fólk, húðtegund 3, kona, kona: húðtegund 3 og krullur, krullur
👩🏽‍🦱	fólk, húðtegund 4, kona, kona: húðtegund 4 og krullur, krullur
👩🏾‍🦱	fólk, húðtegund 5, kona, kona: húðtegund 5 og krullur, krullur
👩🏿‍🦱	fólk, húðtegund 6, kona, kona: húðtegund 6 og krullur, krullur
👩‍🦲	fólk, kona, kona: skalli, skalli
👩🏻‍🦲	fólk, húðtegund 1–2, kona, kona: húðtegund 1–2 og skalli, skalli
👩🏼‍🦲	fólk, húðtegund 3, kona, kona: húðtegund 3 og skalli, skalli
👩🏽‍🦲	fólk, húðtegund 4, kona, kona: húðtegund 4 og skalli, skalli
👩🏾‍🦲	fólk, húðtegund 5, kona, kona: húðtegund 5 og skalli, skalli
👩🏿‍🦲	fólk, húðtegund 6, kona, kona: húðtegund 6 og skalli, skalli
👩‍🦳	fólk, hvítt hár, kona, kona: hvítt hár
👩🏻‍🦳	fólk, hvítt hár, húðtegund 1–2, kona, kona: húðtegund 1–2 og hvítt hár
👩🏼‍🦳	fólk, hvítt hár, húðtegund 3, kona, kona: húðtegund 3 og hvítt hár
👩🏽‍🦳	fólk, hvítt hár, húðtegund 4, kona, kona: húðtegund 4 og hvítt hár
👩🏾‍🦳	fólk, hvítt hár, húðtegund 5, kona, kona: húðtegund 5 og hvítt hár
👩🏿‍🦳	fólk, hvítt hár, húðtegund 6, kona, kona: húðtegund 6 og hvítt hár
🧓🏻	eldri fullorðinn, eldri fullorðinn: húðtegund 1–2, gamall, húðtegund 1–2, kynhlutlaust
🧓🏼	eldri fullorðinn, eldri fullorðinn: húðtegund 3, gamall, húðtegund 3, kynhlutlaust
🧓🏽	eldri fullorðinn, eldri fullorðinn: húðtegund 4, gamall, húðtegund 4, kynhlutlaust
🧓🏾	eldri fullorðinn, eldri fullorðinn: húðtegund 5, gamall, húðtegund 5, kynhlutlaust
🧓🏿	eldri fullorðinn, eldri fullorðinn: húðtegund 6, gamall, húðtegund 6, kynhlutlaust
👴🏻	eldri maður, eldri maður: húðtegund 1–2, fólk, gamall, húðtegund 1–2, maður
👴🏼	eldri maður, eldri maður: húðtegund 3, fólk, gamall, húðtegund 3, maður
👴🏽	eldri maður, eldri maður: húðtegund 4, fólk, gamall, húðtegund 4, maður
👴🏾	eldri maður, eldri maður: húðtegund 5, fólk, gamall, húðtegund 5, maður
👴🏿	eldri maður, eldri maður: húðtegund 6, fólk, gamall, húðtegund 6, maður
👵🏻	eldri kona, eldri kona: húðtegund 1–2, fólk, gömul, húðtegund 1–2, kona
👵🏼	eldri kona, eldri kona: húðtegund 3, fólk, gömul, húðtegund 3, kona
👵🏽	eldri kona, eldri kona: húðtegund 4, fólk, gömul, húðtegund 4, kona
👵🏾	eldri kona, eldri kona: húðtegund 5, fólk, gömul, húðtegund 5, kona
👵🏿	eldri kona, eldri kona: húðtegund 6, fólk, gömul, húðtegund 6, kona
👨🏻‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 1–2, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: húðtegund 1–2, læknir
👨🏼‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 3, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: húðtegund 3, læknir
👨🏽‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 4, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: húðtegund 4, læknir
👨🏾‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 5, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: húðtegund 5, læknir
👨🏿‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 6, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: húðtegund 6, læknir
👩🏻‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 1–2, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: húðtegund 1–2, læknir
👩🏼‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 3, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: húðtegund 3, læknir
👩🏽‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 4, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: húðtegund 4, læknir
👩🏾‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 5, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: húðtegund 5, læknir
👩🏿‍⚕	heilsa, hjúkrunarfræðingur, húðtegund 6, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: húðtegund 6, læknir
👨🏻‍🎓	húðtegund 1–2, karl, karlkyns námsmaður, karlkyns námsmaður: húðtegund 1–2, nemandi, námsmaður, útskrift
👨🏼‍🎓	húðtegund 3, karl, karlkyns námsmaður, karlkyns námsmaður: húðtegund 3, nemandi, námsmaður, útskrift
👨🏽‍🎓	húðtegund 4, karl, karlkyns námsmaður, karlkyns námsmaður: húðtegund 4, nemandi, námsmaður, útskrift
👨🏾‍🎓	húðtegund 5, karl, karlkyns námsmaður, karlkyns námsmaður: húðtegund 5, nemandi, námsmaður, útskrift
👨🏿‍🎓	húðtegund 6, karl, karlkyns námsmaður, karlkyns námsmaður: húðtegund 6, nemandi, námsmaður, útskrift
👩🏻‍🎓	húðtegund 1–2, kona, kvenkyns námsmaður, kvenkyns námsmaður: húðtegund 1–2, nemandi, námsmaður, útskrift
👩🏼‍🎓	húðtegund 3, kona, kvenkyns námsmaður, kvenkyns námsmaður: húðtegund 3, nemandi, námsmaður, útskrift
👩🏽‍🎓	húðtegund 4, kona, kvenkyns námsmaður, kvenkyns námsmaður: húðtegund 4, nemandi, námsmaður, útskrift
👩🏾‍🎓	húðtegund 5, kona, kvenkyns námsmaður, kvenkyns námsmaður: húðtegund 5, nemandi, námsmaður, útskrift
👩🏿‍🎓	húðtegund 6, kona, kvenkyns námsmaður, kvenkyns námsmaður: húðtegund 6, nemandi, námsmaður, útskrift
👨🏻‍🏫	húðtegund 1–2, karl, karlkyns kennari, karlkyns kennari: húðtegund 1–2, kennari, leiðbeinandi, skóli
👨🏼‍🏫	húðtegund 3, karl, karlkyns kennari, karlkyns kennari: húðtegund 3, kennari, leiðbeinandi, skóli
👨🏽‍🏫	húðtegund 4, karl, karlkyns kennari, karlkyns kennari: húðtegund 4, kennari, leiðbeinandi, skóli
👨🏾‍🏫	húðtegund 5, karl, karlkyns kennari, karlkyns kennari: húðtegund 5, kennari, leiðbeinandi, skóli
👨🏿‍🏫	húðtegund 6, karl, karlkyns kennari, karlkyns kennari: húðtegund 6, kennari, leiðbeinandi, skóli
👩🏻‍🏫	húðtegund 1–2, kennari, kona, kvenkyns kennari, kvenkyns kennari: húðtegund 1–2, leiðbeinandi, skóli
👩🏼‍🏫	húðtegund 3, kennari, kona, kvenkyns kennari, kvenkyns kennari: húðtegund 3, leiðbeinandi, skóli
👩🏽‍🏫	húðtegund 4, kennari, kona, kvenkyns kennari, kvenkyns kennari: húðtegund 4, leiðbeinandi, skóli
