‾	барзиёд
💀	афсона, аъҷуба, косахонаи сар, марг, рӯй
☠️	аъҷуба, косахонаи сар, косахонаи сар ва устухонҳо дар шакли салиб, марг, рӯй, устухонҳо дар шакли салиб
💩	ахлот, аъҷуба, гуҳ, мазҳакавӣ, пору, рӯй, тӯдаи гуҳ
🤡	масхарабоз, рӯи масхарабоз, рӯй
👹	афсона, аъҷуба, махлуқ, одамхӯр, рӯй, тахайюлот
👺	афсона, аъҷуба, аҷинаи хона, махлуқ, рӯй, тахайюлот
👻	афсона, аъҷуба, махлуқ, руҳ, рӯй, тахайюлот
👽️	афсона, аъҷуба, бегона, берун аз Замин, лаълии паррон, махлуқ, рӯй, тахайюлот
👾	афсона, аъҷуба, аъҷубаи бегона, бегона, берун аз Замин, лаълии паррон, махлуқ, рӯй, тахайюлот
🤖	аъҷуба, робот, рӯи робот, рӯй
😺	гурба, даҳон, кушода, рӯи гурбаи хандон бо даҳони кушода, рӯй, табассум
😸	гурба, рӯи писхандакунандаи гурба бо чашмони хандон, рӯй, табассум кардан, фарох табассум кардан
😹	ашк, гурба, рӯи гурба бо ашки хурсандӣ, рӯй, хурсандӣ
😻	гурба, муҳаббат, рӯи хандони гурба бо чашмони дилмонанд, рӯй, табассум, чашм
😼	гурба, истеҳзоомез, каҷ, рӯи гурба бо табассуми каҷ, рӯй, табассум
😽	бӯса, гурба, рӯи бӯсакунандаи гурба бо чашмони пӯшида, рӯй, чашм
🙀	афгор, гурба, оҳ, рӯи афгори гурба, рӯй, ҳайрон
😿	ашк, гиря, гурба, зиқ, рӯи гирёни гурба, рӯй
😾	бадқавоқ, гурба, рӯи бадқавоқи гурба, рӯй
🙈	бад, дидан, имову ишора, маймун, маймуне, ки бадиро намебинад, мамнуъ, манъшуда, не, рӯй
🙉	бад, имову ишора, маймун, маймуне, ки бадиро намешунавад, мамнуъ, манъшуда, не, рӯй, шунидан
🙊	бад, гап задан, имову ишора, маймун, маймуне, ки гапи бад намезанад, мамнуъ, манъшуда, не, рӯй
💌	дил, мактуб, мактуби ошиқӣ, муҳаббат, почта
💘	амур, дил бо тир, тир
💝	валентин, дил бо лента, лента
💖	дили ҷилодор, ҳаяҷон, ҷило додан
💗	асабӣ, дили афзоянда, калон шуда истода, набз, ҳаяҷон
💓	дили тапишзананда, тапидан, тапишзанӣ, тапиши дил
💞	даврзананда, дилҳои даврзананда
💕	ду дил, муҳаббат
💟	дил, ороиши дил
❣️	аломат, аломатҳои китобатӣ, хитоб, хитоби дили вазнин
💔	дили шикаста, шикаста, шикастан
❤️	дил, дили сурх
🧡	дили норанҷӣ, норанҷӣ
💛	дили зард, зард
💚	дили сабз, сабз
💙	дили кабуд, кабуд
💜	арғувонӣ, дили арғувонӣ
🖤	бад, дили сиёҳ, сиёҳ, шарир
💋	бӯса, лабҳо, нишонаи бӯса
💯	100, пурра, сад, сад хол, хол
💢	аломати ғазаб, девона, мазҳакавӣ, хашмгин
💥	бархӯрд, бум, мазҳакавӣ
💫	мазҳакавӣ, сархчархзанӣ, ситора
💦	арақ, мазҳакавӣ, пош хӯрдаистода, қатраҳои арақ
💨	гурехтан, давидаистода, мазҳакавӣ, тез гурехтан
🕳️	сурох
💬	балон, мазҳакавӣ, муколама, нутқ, ҳубоб, ҳубоби нутқ
👁‍🗨	чашм, чашм дар ҳуббоби гуфтугӯ, шоҳид, ҳуббоби гуфтугӯ
🗨️	муколама, нутқ, ҳубоби чапи гуфтугӯ
🗯️	балон, девона, хашмгин, ҳубоб, ҳубоби рости ғазаб
💭	балон, мазҳакавӣ, фикр, ҳубоб, ҳубоби андеша
💤	мазҳакавӣ, хоб кардан, ххх
👋	даст, мавҷ, ҳаракати пешу қафо, ҳаракати пешу қафои даст
👋🏻	даст, мавҷ, ранги равшани пӯст, ҳаракати пешу қафо, ҳаракати пешу қафои даст, ҳаракати пешу қафои даст: ранги равшани пӯст
👋🏼	даст, мавҷ, ранги равшании миёнаи пӯст, ҳаракати пешу қафо, ҳаракати пешу қафои даст, ҳаракати пешу қафои даст: ранги равшании миёнаи пӯст
👋🏽	даст, мавҷ, ранги миёнаи пӯст, ҳаракати пешу қафо, ҳаракати пешу қафои даст, ҳаракати пешу қафои даст: ранги миёнаи пӯст
👋🏾	даст, мавҷ, ранги торики миёнаи пӯст, ҳаракати пешу қафо, ҳаракати пешу қафои даст, ҳаракати пешу қафои даст: ранги торики миёнаи пӯст
👋🏿	даст, мавҷ, ранги торики пӯст, ҳаракати пешу қафо, ҳаракати пешу қафои даст, ҳаракати пешу қафои даст: ранги торики пӯст
