🧒🏻	1–2-teri turi, bola, bola: 1–2-teri turi, bolakay, farzand, neytral jins
🧒🏼	3-teri turi, bola, bola: 3-teri turi, bolakay, farzand, neytral jins
🧒🏽	4-teri turi, bola, bola: 4-teri turi, bolakay, farzand, neytral jins
🧒🏾	5-teri turi, bola, bola: 5-teri turi, bolakay, farzand, neytral jins
🧒🏿	6-teri turi, bola, bola: 6-teri turi, bolakay, farzand, neytral jins
👦🏻	1–2-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 1–2-teri turi
👦🏼	3-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 3-teri turi
👦🏽	4-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 4-teri turi
👦🏾	5-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 5-teri turi
👦🏿	6-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 6-teri turi
👧🏻	1–2-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 1–2-teri turi, sunbula
👧🏼	3-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 3-teri turi, sunbula
👧🏽	4-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 4-teri turi, sunbula
👧🏾	5-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 5-teri turi, sunbula
👧🏿	6-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 6-teri turi, sunbula
🧑🏻	1–2-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 1–2-teri turi
🧑🏼	3-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 3-teri turi
🧑🏽	4-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 4-teri turi
🧑🏾	5-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 5-teri turi
🧑🏿	6-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 6-teri turi
👨🏻	1–2-teri turi, erkak, erkak: 1–2-teri turi, kishi
👨🏼	3-teri turi, erkak, erkak: 3-teri turi, kishi
👨🏽	4-teri turi, erkak, erkak: 4-teri turi, kishi
👨🏾	5-teri turi, erkak, erkak: 5-teri turi, kishi
👨🏿	6-teri turi, erkak, erkak: 6-teri turi, kishi
👨‍🦰	erkak, erkak: malla soch, kishi, malla soch
👨🏻‍🦰	1–2-teri turi, erkak, erkak: 1–2-teri turi malla soch, kishi, malla soch
👨🏼‍🦰	3-teri turi, erkak, erkak: 3-teri turi malla soch, kishi, malla soch
👨🏽‍🦰	4-teri turi, erkak, erkak: 4-teri turi malla soch, kishi, malla soch
👨🏾‍🦰	5-teri turi, erkak, erkak: 5-teri turi malla soch, kishi, malla soch
👨🏿‍🦰	6-teri turi, erkak, erkak: 6-teri turi malla soch, kishi, malla soch
👨‍🦱	erkak, erkak: jingalak soch, jingalak soch, kishi
👨🏻‍🦱	1–2-teri turi, erkak, erkak: 1–2-teri turi jingalak soch, jingalak soch, kishi
👨🏼‍🦱	3-teri turi, erkak, erkak: 3-teri turi jingalak soch, jingalak soch, kishi
👨🏽‍🦱	4-teri turi, erkak, erkak: 4-teri turi jingalak soch, jingalak soch, kishi
👨🏾‍🦱	5-teri turi, erkak, erkak: 5-teri turi jingalak soch, jingalak soch, kishi
👨🏿‍🦱	6-teri turi, erkak, erkak: 6-teri turi jingalak soch, jingalak soch, kishi
👨‍🦲	erkak, erkak: kal, kal, kishi
👨🏻‍🦲	1–2-teri turi, erkak, erkak: 1–2-teri turi kal, kal, kishi
👨🏼‍🦲	3-teri turi, erkak, erkak: 3-teri turi kal, kal, kishi
👨🏽‍🦲	4-teri turi, erkak, erkak: 4-teri turi kal, kal, kishi
👨🏾‍🦲	5-teri turi, erkak, erkak: 5-teri turi kal, kal, kishi
👨🏿‍🦲	6-teri turi, erkak, erkak: 6-teri turi kal, kal, kishi
👨‍🦳	erkak, erkak: oqargan soch, kishi, oqargan soch
👨🏻‍🦳	1–2-teri turi, erkak, erkak: 1–2-teri turi oqargan soch, kishi, oqargan soch
👨🏼‍🦳	3-teri turi, erkak, erkak: 3-teri turi oqargan soch, kishi, oqargan soch
👨🏽‍🦳	4-teri turi, erkak, erkak: 4-teri turi oqargan soch, kishi, oqargan soch
👨🏾‍🦳	5-teri turi, erkak, erkak: 5-teri turi oqargan soch, kishi, oqargan soch
👨🏿‍🦳	6-teri turi, erkak, erkak: 6-teri turi oqargan soch, kishi, oqargan soch
👩🏻	1–2-teri turi, ayol, ayol: 1–2-teri turi, xotin
👩🏼	3-teri turi, ayol, ayol: 3-teri turi, xotin
👩🏽	4-teri turi, ayol, ayol: 4-teri turi, xotin
👩🏾	5-teri turi, ayol, ayol: 5-teri turi, xotin
👩🏿	6-teri turi, ayol, ayol: 6-teri turi, xotin
👩‍🦰	ayol, ayol: malla soch, malla soch, xotin
👩🏻‍🦰	1–2-teri turi, ayol, ayol: 1–2-teri turi malla soch, malla soch, xotin
👩🏼‍🦰	3-teri turi, ayol, ayol: 3-teri turi malla soch, malla soch, xotin
👩🏽‍🦰	4-teri turi, ayol, ayol: 4-teri turi malla soch, malla soch, xotin
👩🏾‍🦰	5-teri turi, ayol, ayol: 5-teri turi malla soch, malla soch, xotin
👩🏿‍🦰	6-teri turi, ayol, ayol: 6-teri turi malla soch, malla soch, xotin
👩‍🦱	ayol, ayol: jingalak soch, jingalak soch, xotin
👩🏻‍🦱	1–2-teri turi, ayol, ayol: 1–2-teri turi jingalak soch, jingalak soch, xotin
👩🏼‍🦱	3-teri turi, ayol, ayol: 3-teri turi jingalak soch, jingalak soch, xotin
👩🏽‍🦱	4-teri turi, ayol, ayol: 4-teri turi jingalak soch, jingalak soch, xotin
👩🏾‍🦱	5-teri turi, ayol, ayol: 5-teri turi jingalak soch, jingalak soch, xotin
👩🏿‍🦱	6-teri turi, ayol, ayol: 6-teri turi jingalak soch, jingalak soch, xotin
👩‍🦲	ayol, ayol: kal, kal, xotin
👩🏻‍🦲	1–2-teri turi, ayol, ayol: 1–2-teri turi kal, kal, xotin
👩🏼‍🦲	3-teri turi, ayol, ayol: 3-teri turi kal, kal, xotin
👩🏽‍🦲	4-teri turi, ayol, ayol: 4-teri turi kal, kal, xotin
👩🏾‍🦲	5-teri turi, ayol, ayol: 5-teri turi kal, kal, xotin
👩🏿‍🦲	6-teri turi, ayol, ayol: 6-teri turi kal, kal, xotin
👩‍🦳	ayol, ayol: oqargan soch, oqargan soch, xotin
👩🏻‍🦳	1–2-teri turi, ayol, ayol: 1–2-teri turi oqargan soch, oqargan soch, xotin
👩🏼‍🦳	3-teri turi, ayol, ayol: 3-teri turi oqargan soch, oqargan soch, xotin
👩🏽‍🦳	4-teri turi, ayol, ayol: 4-teri turi oqargan soch, oqargan soch, xotin
👩🏾‍🦳	5-teri turi, ayol, ayol: 5-teri turi oqargan soch, oqargan soch, xotin
👩🏿‍🦳	6-teri turi, ayol, ayol: 6-teri turi oqargan soch, oqargan soch, xotin
🧓🏻	1–2-teri turi, keksa, neytral jins, qari odam, qari odam: 1–2-teri turi, qariya
🧓🏼	3-teri turi, keksa, neytral jins, qari odam, qari odam: 3-teri turi, qariya
🧓🏽	4-teri turi, keksa, neytral jins, qari odam, qari odam: 4-teri turi, qariya
🧓🏾	5-teri turi, keksa, neytral jins, qari odam, qari odam: 5-teri turi, qariya
🧓🏿	6-teri turi, keksa, neytral jins, qari odam, qari odam: 6-teri turi, qariya
👴🏻	1–2-teri turi, chol, chol: 1–2-teri turi, erkak kishi, qari
👴🏼	3-teri turi, chol, chol: 3-teri turi, erkak kishi, qari
👴🏽	4-teri turi, chol, chol: 4-teri turi, erkak kishi, qari
👴🏾	5-teri turi, chol, chol: 5-teri turi, erkak kishi, qari
👴🏿	6-teri turi, chol, chol: 6-teri turi, erkak kishi, qari
👵🏻	1–2-teri turi, ayol, kampir, kampir: 1–2-teri turi, qari
👵🏼	3-teri turi, ayol, kampir, kampir: 3-teri turi, qari
👵🏽	4-teri turi, ayol, kampir, kampir: 4-teri turi, qari
👵🏾	5-teri turi, ayol, kampir, kampir: 5-teri turi, qari
👵🏿	6-teri turi, ayol, kampir, kampir: 6-teri turi, qari
👨🏻‍⚕	1–2-teri turi, doktor, erkak shifokor, erkak shifokor: 1–2-teri turi, salomatlik, shifokor, terapevt
👨🏼‍⚕	3-teri turi, doktor, erkak shifokor, erkak shifokor: 3-teri turi, salomatlik, shifokor, terapevt
