🦵🏻	арьсны төрөл-1-2, мөч, хөл, хөл: арьсны төрөл-1-2, өшиглөх
🦹🏾‍♂	арьсны төрөл-5, гэмт хэрэг, ид шидийн хүчтэй эрэгтэй эсрэг дүр, ид шидийн хүчтэй эрэгтэй эсрэг дүр: арьсны төрөл-5, супер хүч, чөтгөр, эрэгтэй, эсрэг гол дүр
🦹🏿‍♂	арьсны төрөл-6, гэмт хэрэг, ид шидийн хүчтэй эрэгтэй эсрэг дүр, ид шидийн хүчтэй эрэгтэй эсрэг дүр: арьсны төрөл-6, супер хүч, чөтгөр, эрэгтэй, эсрэг гол дүр
👶🏻	арьсны төрөл-1-2, нялх, нялх хүүхэд: арьсны төрөл-1-2, хүүхэд
👶🏼	арьсны төрөл-3, нялх, нялх хүүхэд: арьсны төрөл-3, хүүхэд
👶🏽	арьсны төрөл-4, нялх, нялх хүүхэд: арьсны төрөл-4, хүүхэд
👶🏾	арьсны төрөл-5, нялх, нялх хүүхэд: арьсны төрөл-5, хүүхэд
👶🏿	арьсны төрөл-6, нялх, нялх хүүхэд: арьсны төрөл-6, хүүхэд
🧒🏻	арьсны төрөл-1-2, жендер-саармаг, залуу, хүүхэд, хүүхэд: арьсны төрөл-1-2
🧒🏼	арьсны төрөл-3, жендер-саармаг, залуу, хүүхэд, хүүхэд: арьсны төрөл-3
🧒🏽	арьсны төрөл-4, жендер-саармаг, залуу, хүүхэд, хүүхэд: арьсны төрөл-4
🧒🏾	арьсны төрөл-5, жендер-саармаг, залуу, хүүхэд, хүүхэд: арьсны төрөл-5
🧒🏿	арьсны төрөл-6, жендер-саармаг, залуу, хүүхэд, хүүхэд: арьсны төрөл-6
👦🏻	арьсны төрөл-1-2, хүүхэд, эрэгтэй, эрэгтэй хүүхэд: арьсны төрөл-1-2
👦🏼	арьсны төрөл-3, хүүхэд, эрэгтэй, эрэгтэй хүүхэд: арьсны төрөл-3
👦🏽	арьсны төрөл-4, хүүхэд, эрэгтэй, эрэгтэй хүүхэд: арьсны төрөл-4
👦🏾	арьсны төрөл-5, хүүхэд, эрэгтэй, эрэгтэй хүүхэд: арьсны төрөл-5
👦🏿	арьсны төрөл-6, хүүхэд, эрэгтэй, эрэгтэй хүүхэд: арьсны төрөл-6
👧🏻	арьсны төрөл-1-2, хүүхэд, эмэгтэй, эмэгтэй хүүхэд: арьсны төрөл-1-2
👧🏼	арьсны төрөл-3, хүүхэд, эмэгтэй, эмэгтэй хүүхэд: арьсны төрөл-3
👧🏽	арьсны төрөл-4, хүүхэд, эмэгтэй, эмэгтэй хүүхэд: арьсны төрөл-4
👧🏾	арьсны төрөл-5, хүүхэд, эмэгтэй, эмэгтэй хүүхэд: арьсны төрөл-5
👧🏿	арьсны төрөл-6, хүүхэд, эмэгтэй, эмэгтэй хүүхэд: арьсны төрөл-6
🧑🏻	арьсны төрөл-1-2, жендер-саармаг, том хүн, том хүн: арьсны төрөл-1-2
🧑🏼	арьсны төрөл-3, жендер-саармаг, том хүн, том хүн: арьсны төрөл-3
🧑🏽	арьсны төрөл-4, жендер-саармаг, том хүн, том хүн: арьсны төрөл-4
🧑🏾	арьсны төрөл-5, жендер-саармаг, том хүн, том хүн: арьсны төрөл-5
🧑🏿	арьсны төрөл-6, жендер-саармаг, том хүн, том хүн: арьсны төрөл-6
👨🏻	арьсны төрөл-1-2, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-1-2
👨🏼	арьсны төрөл-3, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-3
👨🏽	арьсны төрөл-4, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-4
👨🏾	арьсны төрөл-5, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-5
👨🏿	арьсны төрөл-6, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-6
👨‍🦰	улаан үс, хүн, эрэгтэй, эрэгтэй хүн: улаан үс
👨🏻‍🦰	арьсны төрөл-1-2, улаан үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-1-2, улаан үс
👨🏼‍🦰	арьсны төрөл-3, улаан үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-3, улаан үс
👨🏽‍🦰	арьсны төрөл-4, улаан үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-4, улаан үс
👨🏾‍🦰	арьсны төрөл-5, улаан үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-5, улаан үс
👨🏿‍🦰	арьсны төрөл-6, улаан үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-6, улаан үс
👨‍🦱	буржгар үс, хүн, эрэгтэй, эрэгтэй хүн: буржгар үс
👨🏻‍🦱	арьсны төрөл-1-2, буржгар үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-1-2, буржгар үс
👨🏼‍🦱	арьсны төрөл-3, буржгар үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-3, буржгар үс
👨🏽‍🦱	арьсны төрөл-4, буржгар үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-4, буржгар үс
👨🏾‍🦱	арьсны төрөл-5, буржгар үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-5, буржгар үс
👨🏿‍🦱	арьсны төрөл-6, буржгар үс, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-6, буржгар үс
👨‍🦲	халзан, хүн, эрэгтэй, эрэгтэй хүн: халзан
👨🏻‍🦲	арьсны төрөл-1-2, халзан, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-1-2, халзан
👨🏼‍🦲	арьсны төрөл-3, халзан, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-3, халзан
👨🏽‍🦲	арьсны төрөл-4, халзан, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-4, халзан
👨🏾‍🦲	арьсны төрөл-5, халзан, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-5, халзан
👨🏿‍🦲	арьсны төрөл-6, халзан, хүн, эрэгтэй, эрэгтэй хүн: арьсны төрөл-6, халзан
👨‍🦳	хүн, цагаан үс, эрэгтэй, эрэгтэй хүн: цагаан үс
👨🏻‍🦳	арьсны төрөл-1-2, хүн, цагаан үс, эрэгтэй, эрэгтэй хүн: арьсны төрөл-1-2, цагаан үс
👨🏼‍🦳	арьсны төрөл-3, хүн, цагаан үс, эрэгтэй, эрэгтэй хүн: арьсны төрөл-3, цагаан үс
👨🏽‍🦳	арьсны төрөл-4, хүн, цагаан үс, эрэгтэй, эрэгтэй хүн: арьсны төрөл-4, цагаан үс
👨🏾‍🦳	арьсны төрөл-5, хүн, цагаан үс, эрэгтэй, эрэгтэй хүн: арьсны төрөл-5, цагаан үс
👨🏿‍🦳	арьсны төрөл-6, хүн, цагаан үс, эрэгтэй, эрэгтэй хүн: арьсны төрөл-6, цагаан үс
👩🏻	арьсны төрөл-1-2, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-1-2
👩🏼	арьсны төрөл-3, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-3
👩🏽	арьсны төрөл-4, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-4
👩🏾	арьсны төрөл-5, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-5
👩🏿	арьсны төрөл-6, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-6
👩‍🦰	улаан үс, хүн, эмэгтэй, эмэгтэй хүн: улаан үс
👩🏻‍🦰	арьсны төрөл-1-2, улаан үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-1-2, улаан үс
👩🏼‍🦰	арьсны төрөл-3, улаан үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-3, улаан үс
👩🏽‍🦰	арьсны төрөл-4, улаан үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-4, улаан үс
