🏻	1–2. mota, azalaren tonua
🐇	maskota, untxi, untxia
🦔	eztendun, triku
🦇	animalia, banpiro, saguzar, saguzarra
🐻	aurpegi, hartz, hartz-aurpegia
🐨	hartz, koala
🐼	aurpegi, panda, panda-aurpegia
🦘	Australia, jauzi, kanguru, martsupial, martsupial txiki
🦡	azkonar, azkonar eztijale, gogaitu
🐾	atzapar, atzapar-aztarnak, aztarna, oin
🦃	indioilar, indioilarra
🐔	oilo, oiloa
🐓	oilar, oilarra
🐣	arrautz, arrautzetik irten berri den txita, irten, kume, txita
🐤	kume, txita
🐥	aurrera begira dagoen txita, kume, txita
🐧	pinguino, pinguinoa
🦅	arrano, arranoa, hegazti
🦆	ahate, ahatea, hegazti
🦢	ahatetxo itsusi, txori, zisne, zisne txiki
🦉	hontz, hontza, jakitun
🦚	arranditsu, harro, hegazterren, txori
🦜	hitz egin, loro, pirata, txori
🐸	aurpegi, igel, igel-aurpegia
🐊	krokodilo, krokodiloa
🐢	dortoka, dortokoa
🦎	narrasti, sugandila
🐍	mezulari, ofiuko, suge, sugea, zodiako
🐲	aurpegi, herensuge, herensuge-aurpegia, ipuin
🐉	herensugea, ipuin
🦕	brankiosaurio, brontosaurio, diplodoko, sauropodo
🦖	T-Rex, tiranosaurio rex
🐳	aurpegi, bale, jaurti, ura jaurtitzen ari den balea
🐋	bale, balea
🐬	flipper, izurdea
🐠	arrain, arrain tropikala, tropikal
🐡	arrain, globo-arraina
🦈	arrain, marrazo, marrazoa
🐙	olagarro, olagarroa
🐚	espiral, oskol, oskol espirala
🦀	cancer, karramarroa, zodiako
🦞	itsaski, itsaski-krema, matxarda, otarrain
🦐	ganba, itsaski, janari, txiki
🦑	janari, molusku, txibia
🐌	barraskilo, barraskiloa
🦋	intsektu, pinpilinpauxa, polit
🐛	intsektu, zomorroa
🐜	intsektu, inurria
🐝	erle, erlea, intsektu
🐞	amona, amona mantangorri, intsektu, mantangorri
🦗	kilker, matxinsalto
🦂	eskorpioi, eskorpioia, scorpius, zodiako
🦟	birus, eltxo, gaixotasun, intsektu, malaria, sukar
🦠	ameba, bakterio, birus, mikrobio
💐	lore, lore sorta, sorta
🌸	gereziondo, gereziondo-lorea, landare, lore
💮	lore, lore zuria
🌹	arrosa, landare, lore
🥀	lore, lore zimela, zimel
🌺	hibiskoa, landare, lore
🌻	eguzki, ekilorea, landare, lore
🌼	landare, lore, lorea
🌷	landare, lore, tulipa
🌱	gazte, kimua, landare
🌲	hosto iraukorreko zuhaitza, landare, zuhaitz
🌳	erorkor, hosto, hosto erorkorreko zuhaitza, landare, zuhaitz
🌴	landare, palmondo, palmondoa, zuhaitz
🌵	kaktusa, landare
🌾	arroz, arroz-zurtointxoak, landare, pikor
🌿	belarra, hosto, landare
🍀	hirusta, hosto, landare, lau, lau hostoko hirusta
🍁	astigar, astigarraren hostoa, erori, hosto, landare
🍂	erori, eroritako hostoa, hosto, landare
🍃	haize, haizeaz hegan ari den hostoa, hosto, korronte
🍇	fruitu, landare, mahats, mahatsa
🍈	fruitu, landare, meloia
🍉	fruitu, landare, sandia
🍊	fruitu, landare, laranja, mandarina
🍋	fruitu, landare, limoi, limoia
🍌	banana, fruitu, landare
🍍	anana, fruitu, landare
🥭	fruta, mango, tropikal
🍎	fruitu, gorri, landare, sagar, sagar gorria
🍏	berde, fruitu, landare, sagar, sagar berdea
🍐	fruitu, landare, udarea
🍑	fruitu, landare, muxika
🍒	fruitu, gerezi, gereziak, landare
🍓	baia, fruitu, landare, marrubia
🥝	fruitu, janari, kiwia
🍅	barazki, landare, tomatea
🥥	koko, palmondo, piña colada
🥑	ahuakate, ahuakatea, fruitu, janari
🍆	alberjinia, barazki, landare
🥔	barazki, janari, patata
🥕	azenario, azenarioa, barazki, janari
🌽	artaburua, arto, buru, landare
🥒	barazki, janari, ozpinetako pepino, pepino, pepinoa
🥬	aza, barazki hostodun, bok choy, kale, letxuga
🥦	aza basati, brokoli
🍄	barrengorria, landare
🥜	barazki, intxaur, janari, kakahuete, kakahuetea
🌰	gaztaina, landare
🍞	ogi, xerra
🥐	Frantzia, croissant, croissanta, janari, opil
🥖	Francia, baguette, baguettea, janari, ogi
🥨	biribilki, pretzel
🥯	bagel, okindegi, schmear
🥞	janari, krepe, opil bero, opil txiki, opil txikiak
🧀	gazta, gazta zatia
🍖	haragi, hezur, hezurra haragiarekin
🍗	hanka, hegazti, hezur, izter, izterra, oilasko
🥩	bildots-saiheski, haragi-mozketa, saiheski, txerri-saiheski, xerra
🥓	haragi, hirugihar, hirugiharra, janari
🍔	hanburgesa
🍟	frijitu, patata, patata frijituak
🍕	gazta, pizza, zati
🌭	frankfurt, hot dog, hotdog, saltxitxa
🥪	ogia, ogitartekoa
🌮	mexiko, takoa
🌯	burritoa, mexiko
🥙	falafel, gyro, janari, kebab, ogitarteko bete, ogitarteko betea
🥚	arrautza, janari
🍳	arrautz, frijitu, janaria prestatu, zartagin
🥘	janari, kazola, paella-ontzi, sakonera txikiko zartagin, sakonera txikiko zartagina, zartagin
🍲	eltze, erregosi, janari bete eltzea
🥣	congee, gosari, katilua eta koilara, zereal
🥗	berde, entsalada, entsalada berdea, janari
🍿	krispeta, krispetak
🧂	gatz, gatzontzi, ongailu
🥫	janaria latetan, lata
🍱	bento, bento kutxa, kaxa, kutxa
🍘	arroz, arroz-mokadua, mokadu
🍙	arroz, arroz-bola, bola, japonia
🍚	arroz, arroz egosia, egosi
🍛	arroz, arroza curryarekin, curry
🍜	fideo, katilu, kea, kea darion katilua, ramen
🍝	espagetiak, pasta
🍠	batata, batata errea, erre
🍢	broxeta, itsaski, kebab, makil, oden
🍣	sushi
🍤	frijitu, gabardina-ganba, ganba, langostino, tenpura
🍥	arrain, arrain-pastela zurrunbiloarekin, gozogintza, pastel, zurrunbilo
🥮	ilargi-pastel, jaialdi, udazken, yuèbǐng
🍡	dango, gozo, japonia, makila, postre
🥟	dumpling, enpanada, gyōza, jiaozi, pierogi, potsticker
🥠	prophecy, zortearen gaileta
🥡	eramateko kaxa, janari txinatarra eramateko ontzi
🍦	esne, gozo, izotz, izozki, izozki krematsua, postre
🍧	arraspatu, gozo, izotz, izotz arraspatua, postre
🍨	esne, gozo, izotz, izozkia, postre
🍩	donut, donuta, gozo, postre
🍪	gaileta, gozo, postre
🎂	ospakizun, pastel, postre, tarta, urtebetetze, urtebetetze-tarta
🍰	gozo, opiltxo, opiltxoa, postre, tarta, zati
🧁	cupcake, gozo, okindegi
🥧	betegarri, hostore, tarta
🍫	gozo, postre, txokolate, txokolatina, zati
🍬	gozo, gozokia, postre
🍭	gozo, gozoki, piruleta, postre
🍮	budin, gozo, natillak, postre
🍯	ezti, ezti-potoa, gozo, poto
🍼	biberoia, botila, edan, esne, haurtxo
🥛	edalontzi, edalontzi bat esne, edan, esne
🍵	edari, giderrik gabeko kikara, kikara, kopa, te
🍶	botila, edari, kopa, sake, taberna
🍾	bar, botila, edari, kortxo, kortxoa kanpoan duen botila
🍷	ardo, ardo-kopa, edari, kopa, taberna
🍹	edan, edari, edari tropikala, taberna, tropikal
🍺	edari, garagardo, garagardo-pitxer, garagardo-pitxerra, pitxer, taberna
🍻	edari, garagardo, pitxer, taberna, topa, topa egiten ari diren garagardo-pitxerrak
🥂	edalontzi, edan, kopak topa egiten, ospatu, topa
🥃	alkohol, edalontzi, edalontzi zabala, txupito, whiski, zabal
🥤	kopa eta lastotxoa, soda, zuku
🥢	hashi, zotzak
🍴	janari, labana, prestatu, sardeska, sardeska eta labana
🥄	koilara, mahai-tresneria
🔪	arma, hocho, janari, labana, sukaldeko labana
🏺	anfora, aquarius, edari, janari, pitxer
🌍	afrika, europa, europa eta afrika ikusgai dituen lur-globoa, globo, lur, mundu
🌏	asia, asia eta australia ikusgai dituen lur-globoa, australia, globo, lur, mundu
🌐	globo, globoa eta meridianoak, lur, meridiano, mundu
🗾	japonia, japoniako mapa, mapa
🧭	iparrorratz, magnetiko, nabigazio, orientazio
🌋	eguraldi, erupzio, mendi, sumendia
🗻	fuji, fuji mendia, mendi
🧱	adreilu, buztin, horma, mortero
🏡	eraikin, etxe, etxea eta lorategia, lorategi
🏢	bulego-eraikina, eraikin
🏣	eraikin, japonia, japoniako postetxea, posta
🏤	eraikin, europa, posta, postetxea
🏥	eraikin, medikuntza, ospitala, sendagile
🏦	bankua, eraikin
🏨	eraikin, hotela
🏩	eraikin, hotel, maitasun, maitasun-hotela
🏪	denda, eraikin, supermerkatu, supermerkatua
🏫	eraikin, eskola
🏬	eraikin, gune, merkataritza, merkataritza-zentroa, zentro
🏯	eraikin, gaztelu japoniarra, gaztu, japoniar
🏰	eraikin, europa, gaztelua
💒	erromantze, ezkontza, kapera
🗼	dorre, tokio, tokioko dorrea
🗽	askatasun, askatasunaren estatua, estatua
🕌	erlijio, islam, meskita, musulman
🕍	erlijio, judu, judutar, sinagoga, tenplu
🕋	erlijio, islam, kaaba, musulman
🌁	eguraldi, laino, lainotu
🌃	eguraldi, gau, gaua eta izarrak, izar
🌄	egunsenti, egunsentia mendien artean, eguraldi, eguzki, goiz, mendi
🌅	egunsentia, eguraldi, eguzki, goiz
🌆	arratsalde, eguraldi, eguzki, eraikin, hiri, hiri-paisaia ilunabarrean, ilunabar, paisaia
🌇	eguraldi, eguzki, eraikin, ilunabar, ilunabarra
🌉	eguraldi, gau, zubi, zubia gauez
🌌	eguraldi, esne-bidea, espazio
🎠	karrusel, karrusela, zaldi
🎡	gurpil, jolas, noria, parke
🎢	errusiar, errusiar mendia, jolas, mendi, parke
💈	adierazle, bizar, bizargin, bizarginaren adierazle birakaria, moztu
🎪	karpa, zirko, zirkoaren karpa
🚂	ibilgailu, lurrun, motor, tren, tren-makina, trenbide
🚃	bagoi, bagoia, elektriko, ibilgailu, tranbia, tren, trenbide
🚄	abiadura, abiadura handiko trena, ibilgailu, shinkansen, tren, trenbide
🚅	abiadura, abiadura handiko trena mutur biribilduarekin, biribildu, ibilgailu, shinkansen, tren, trenbide
🚆	ibilgailu, trena, trenbide
🚈	ibilgailu, tren arina, trenbide
🚉	geltokia, ibilgailu, trenbide
🚊	ibilgailu, tranbia, trolebus
🚝	ibilgailu, monoraila
🚞	auto, ibilgailu, mendi, mendiko trenbidea, trenbide
🚋	auto, ibilgailu, tranbia, tranbiaren bagoi, trolebus
🚌	autobusa, ibilgailu
🚎	autobus, ibilgailu, tranbia, trolebus, trolebusa
🚐	autobus, ibilgailu, minibusa
🚒	ibilgailu, kamioi, su, suhiltzaileen kamioia
🚓	auto, ibilgailu, polizia, poliziaren autoa
🚕	ibilgailu, taxia
🚖	heldu, heldu den taxia, ibilgailu, taxi
🚗	auto, autoa, ibilgailu
🚙	aisia, aisiarako ibilgailua, ibilgailu
🚚	garraiatzeko kamioia, garraio, ibilgailu, kamioi
🚛	ibilgailu, kamioi, kamioi artikulatua, semi
🚜	ibilgailu, traktorea
🛴	kick, patinetea, scooter
🛹	patinete, skateboard
🛵	moto, motoa, scooter
🚏	autobus, autobus-geltokia, geltoki, stop
🚨	argi, auto, birakari, ibilgailu, polizia, poliziaren autoko argia
🚥	argi, seinale, semaforo horizontala, trafiko
🚦	argi, seinale, semaforo bertikala, trafiko
🛑	ikur, oktogonal, stop, stop ikurra
🚧	hesi, lanak
🛶	kanoa, ontzi
🚤	abiadura handiko txalupa, ibilgailu, itsasontzi
🚢	ibilgailu, itsasontzia
🛫	aireratu, aireratzen ari den hegazkina, check-in, fakturazio, hegazkin, ibilgailu, irteera, irteerak
🛬	hegazkin, ibilgailu, iritsiera, iritsierak, lur hartu, lur hartzen ari den hegazkina, lurreratu
💺	aulki, eserlekua
🚁	helikopteroa, ibilgailu
🚟	eseki, ibilgailu, monorrail esekia, trenbide
🚠	bagoi, ibilgailu, kable, mendi, teleferikoa
🚡	auto, bagoi, ibilgailu, kable, mendiko teleferikoa, soka, teleferiko, tranbia
🚀	espazio, ibilgailu, suziria
🛸	OHE, plater hegalari
🧳	bidaia, ekipaje, ekipajea prestatze
⏰	alarma, erloju
🕧	12, 12:30, 30, erloju, hamabi, hamabi eta erdiak, hogeita hamar
🕜	1, 1:30, 30, bat, erloju, hogeita hamar, ordu bat eta erdiak
🕝	2, 2:30, 30, bi, erloju, hogeita hamar, ordu bi eta erdiak
🕞	3, 30, 3:30, erloju, hiru, hiru eta erdiak, hogeita hamar
🕟	30, 4, 4:30, erloju, hogeita hamar, lau, lau eta erdiak
🕠	30, 5, 5:30, bost, bost eta erdiak, erloju, hogeita hamar
🕡	30, 6, 6:30, erloju, hobeita hamar, sei, sei eta erdiak
🕢	30, 7, 7:30, erloju, hogeita hamar, zazpi, zazpi eta erdiak
🕣	30, 8, 8:30, erloju, hogeita hamar, zortzi, zortzi eta erdiak
🕤	30, 9, 9:30, bederatzi, bederatzi eta erdiak, erloju, hogeita hamar
🕥	10, 10:30, 30, erloju, hamar, hamar eta erdiak, hogeita hamar
🕦	11, 11:30, 30, erloju, hamaika, hamaika eta erdiak, hogeita hamar
🌑	eguraldi, espazio, ilargi, ilargi berria, ilun
🌒	eguraldi, espazio, handitu, ilargi, ilgora
🌓	eguraldi, espazio, ilargi, ilgora-erdia
🌔	eguraldi, espazio, handitu, ilargi, ilbehera, ilgora-bukaera
🌖	eguraldi, espazio, ilargi, ilbehera, ilbehera-hasiera, txikitu
🌗	eguraldi, espazio, ilargi, ilbehera-erdia
🌘	eguraldi, espazio, ilargi, ilbehera, ilbehera-bukaera, txikitu
🌙	eguraldi, espazio, ilargi, ilargi-adarra, ilgora
🌚	aurpegi, eguraldi, espazio, ilargi, ilargi berriaren aurpegia
🌛	aurpegi, eguraldi, espazio, ilargi, ilargi-laurdena ezkerrera begira
🌝	argi, aurpegi, bete, eguraldi, espazio, ilargi, ilargi betea aurpegiarekin
🌞	argi, aurpegi, eguraldi, eguzki, eguzkia aurpegiarekin, espazio
🌟	distira, distiratsu, izar, izar distiratsua, txinparta
🌠	espazio, iheskor, izar, izar-uxoa, uxo
🌀	eguraldi, tifoi, tornado, zikloia, zorabio
🌈	eguraldi, euri, ortzadarra
🌂	arropa, aterki, aterki itxia, eguraldi, euri
🔥	sua, sugar, tresna
💧	eguraldi, hotz, izerdi, komiki, tanta, tantatxoa
🌊	eguraldi, olatu, olatua, ozeano, ur
🎃	halloween, halloweeneko kuia, kuia, ospakizun
🎄	gabonak, gabonetako zuhaitza, ospakizun, zuhaitz
🎆	ospakizun, su artifizialak
🎇	bengala, ospakizun, su artifizialak
🧨	dinamita, lehergai, petardo, su artifizial
✨	distira, izar
🎈	ospakizun, puxika
🎉	aire, aire-serpentina, festa, ospakizun, serpentina
🎊	bola, konfeti, konfetiz betetako bola, ospakizun
🎋	japonia, ospakizun, paper, tanabata zuhaitza, zuhaitz
🎍	banbu, japonia, ospakizun, pinu, pinurako dekorazioa
🎎	ospakizun, pan, panpin japoniarrak
🎏	banderatxo, haizea neurtzeko karpa itxurako banderatxoak, karpa, karpa-itxurako banderatxoak, ospakizun
🎐	haize, haize-kanpaia, kanpai, ospakizun
🎑	ilargi, ilargiaren ospakizuna, ospakizun, zeremonia
🧧	diru, gutun-azal gorri, hóngbāo, lai see, opari, zorte on
🎀	begizta, ospakizun
🎁	inguratuta, kaxa, opari, ospakizun, paperez inguratutako oparia
🎫	sarrera, txartela
🏅	domina, kirol-domina
🥇	1. postuaren domina, domina, lehen, urre
🥈	2. postuaren domina, bigarren, domina, zilar
🥉	3. postuaren domina, brontze, domina, hirugarren
🥎	eskularru, jaurtiketa baxu, pilota, sofbol-pilota
🏀	baloi, saskibaloia, uztai
🏐	baloi, boleibola, joko
🏈	amerikar, baloi, futbol, futbol amerikarra
🏉	baloi, errugbi, errugbia, futbol
🎾	erraketa, pilota, tenisa
🥏	frisbee, ultimate
🎳	bola, boloak, joko
🏏	bate, joko, kriketa, pilota
🏑	belar, belar-hockeya, hockey, joko, makila, pilota
🏒	hockey, izotz, izotz-hockeyko makila eta pilota, joko, makila
🥍	baloi, gol, lacrosse, makila
🏓	bola, erraketa, joko, ping-pong, tenis
🏸	badmintona, erraketa, hegalari, joko, pilota
🥊	boxeo, boxeoko eskularrua, eskularru, kirol
🥋	arte martzial, arte martzialetako kimonoa, judo, karate, kimono, taekwondo
🥅	ate, ateko sarea, kirol, sare
🎣	arrain, arrantza egiteko kanabera, kanabera
🎽	bizkarraldeko, dortsala, elastiko, korrika
🎿	elur, eski, eskiak
🛷	lera
🥌	curling-eko harri, eskalada
🎯	dardo, diana, helburu, itu, itua, joko
🎱	8, billar, billarra, bola, joko, zortzi
🔮	bola, fantasia, ipuin, kristal, kristalezko bola, zorte
🧿	begizko, bihi, nazar, sorginkeria, talisman
🎰	joko, txanpon, txanpon-makina
🎲	dado, dadoa, joko
🧩	arrasto, buru-hausgarri, lotura, pieza
🧸	hartzatxo, jostailu, peluxe
🃏	joko, jolastu, karta, komodina
🎴	japonia, joko, karta, lore, loreak dituzten kartak
🎨	arte, margo, margolari-paleta, museo, paleta
🧵	hari, haril, joste, lokarri, orratz
🧶	bola, harilko, kakorratz, puntu
🔇	audio, bolumen, borgorailu, bozgorailua itzalita, desaktibatu, isilarazi, isilik
🔉	baxu, bolumen, bozgorailu, bozgorailua piztuta, uhin
🔊	3, altu, bolumen, bozgorailu, bozgorailua ozen, hiru
📢	altu, bozgorailu, publiko
📣	animatu, megafonoa
📯	adar, adarra, posta
🔔	kanpai, kanpaia
🔕	debekatu, ez, galarazi, isilarazi, isilik, isiltasun, kanpai, kanpai marratua
🎼	musika, notazio, notazio musikala
🎵	musika, nota, nota musikala
🎶	musika, nota, nota musikalak, notak
🎤	karaoke, mikrofono, mikrofonoa
🎷	musika, saxofoi, saxofoia, tresna
🎸	gitarra, musika, tresna
🎹	musika, musika-teklatua, piano, tresna
🎺	musika, tresna, tronpeta
🎻	biolina, musika, tresna
🥁	danbor, danborra, makilak, musika
📱	mugikor, sare, telefono, telefono mugikorra
📲	dei, gezi, jaso, mugikor, sare, telefono, telefono mugikorra gezi batekin
📞	hargailu, telefono, telefono-hargailua
📠	fax, faxa
🔋	bateria
🔌	argindar, elektriko, entxufe, entxufea
💽	disko, minidisc-a, minidisk, optiko, ordenagailu
💾	diskete, disketea, disko, ordenagailu
📀	DVD, blu-ray, cd, disko, optiko, ordenagailu
🧮	abakoa, kalkulua
🎥	bideokamera profesionala, film, kamera, zinema
📸	bideo, flash, kamera, kamera flasharekin
📼	bideo, bideo-kasetea, vhs, zinta
🔍	beira, bilatu, ezkerrera begira dagoen lupa, lupa, tresna
🔎	beira, bilatu, eskuinera begira dagoen lupa, lupa, tresna
💡	argi, bonbilla, elektriko, ideia, komiki
🔦	argi, elektriko, linterna, tresna
🏮	argi, faroltxo, gorri, japonia, paper gorrizko faroltxoa, taberna
📔	apaindu, estalki, estalki apaingarria duen koadernoa, koaderno, liburu
📕	itxita, liburu, liburu itxia
📖	irekita, liburu, liburu irekia
📗	berde, liburu, liburu berdea
📘	liburu, liburu urdina, urdin
📙	laranja, liburu, liburu laranja
📓	koaderno, koadernoa
📒	koaderno, kontabilitate-liburua
📃	dokumentu, orri, orri tolestua, tolestu
📜	paper, paper-biribilkia
📄	dokumentu, gora begira dagoen orria, orri
📰	albisteak, egunkari, egunkaria
🗞	albisteak, bildu, egunkari, egunkari bildua
📑	laster, laster-markak, marka, markatu, markatzaile
🔖	laster-marka, marka
💴	banku, billete, diru, faktura, moneta, yen, yen billetea
💵	banku, billete, diru, dolar, dolar billetea, faktura, moneta
💶	banku, billete, diru, euro, euro billetea, faktura, moneta
💷	banku, billete, diru, faktura, libera, libera billetea, moneta
💸	banku, billete, diru, dirua hegoekin, dolar, faktura, hegan, hego
🧾	froga, kontabilitate, ordainagiri
💹	banku, diagrama, diagrama gorakorra yen-ikurrarekin, diru, gora, grafiko, hakuntza, igoera, joera, merkatu, moneta, yen
💱	banku, diru, moneta, truke, truke-tasa
💲	diru, dolar, dolar-ikur lodia, moneta
📧	elektroniko, mezu, mezu elektronikoa, posta
📨	elektroniko, gutun, gutun-azal, jaso, mezu, posta, sarrerako, sarrerako gutun-azala
📩	behera, bidalitako, elektroniko, gezi, gutun-azala gezi batekin, irteerako, mezu, posta
📮	posta, postontzi, postontzia
📝	bolaluma, oharra
💼	maleta
📁	fitxategi, fitxategi-sailkatzailea, sailkatzaile
📂	fitxategi, fitxategi-sailkatzaile irekia, irekita, karpeta
📅	data, egutegi
📆	egutegi, orriak kentzeko egutegia
📇	euskarri, txartel, txartel-euskarria
📈	diagrama, diagrama gorakorra, gora, grafiko, hazkuntza, joera
📉	behera, diagrama, diagrama beherakorra, grafiko, joera
📊	barra, barra-diagrama, diagrama, grafiko
📌	txintxeta
📍	biribil, txintxeta, txintxeta biribila
📎	klip, klipa
📏	erregela, erregela zuzena, zuzen
📐	erregela, kartaboi, kartaboia, triangelu
🔏	giltzarrapo, giltzarrapoa lumarekin, luma, pribatutasun, tinta
🔐	giltz, giltzarrapo, giltzarrapo itxia giltzarekin, itxita, seguru
🔑	blokeo, giltza, pasahitza
🔨	mailua, tresna
🔫	arma, errebolber, pistola, tresna
🏹	arku, arkua eta gezia, arkulari, arma, gezi, sagittarius, tresna, zodiako
🔧	giltza ingelesa, tresna
🔩	azkoin, torloju, torloju eta azkoina, trsna
🔗	kate-maila
🧰	erreminta, erreminta-kutxa, kutxa, mekaniko
🧲	erakarpen, ferra, iman, magnetiko
🧪	esperimentu, kimika, kimikari, laborategi, saio-hodi, zientzia
🧫	Petriren kaxa, bakterio, biologia, biologo, kultura, laborategi
🧬	DNA, biologo, bizitza, eboluzio, gene, genetika
🔬	mikroskopioa, tresna
🔭	teleskopioa, tresna
📡	antena, paraboliko, satelite bidezko antena
💉	gaixo, medikuntza, orratz, sendagile, tresna, xiringa, ziztada
💊	gaixo, medikuntza, pilula, sendagile
🚪	ate, atea
🚽	bainugela, komuna
🚿	dutxa, ur
🛁	bainu, bainuontzia
🧴	eguzki-babes, hidratatzaile, lozio, lozio-botila, xanpu
🧷	kateorratz, pixoihal, punk
🧹	erratz, errazte, garbitze, sorgin
🧺	gobada, nekazaritza, piknik, saski
🧻	komuneko paper, paper-bilkari, paperezko zapi
🧼	apar, bainu, garbitze, pastilla, xaboi, xaboi-ontzi
🧽	belaki, garbitze, porotsu, xurgatze
🧯	amatatu, itzali, su, su-itzalgailu
🛒	erosi, erosketa, erosketa-orga, orga, orgatxo
🚬	erre
🗿	aurpegi, estatua, moai, moyai
🏧	automatiko, banku, kutxazain, kutxazainaren seinalea
🚮	zabor, zaborra ontzira botatzeko seinalea, zaborrontzi, zakarrontzi
🚰	edan, edateko, edateko ura, ur
🚻	komun, komuna, wc
🚾	komun, komunak, ur, wc
🛂	kontrol, pasaporte, pasaporte-kontrola
🛃	aduanak
🛄	ekipaje, jaso, maleta, maletak jasotzeko eremua
🛅	ahaztutako maletak, ekipaje, maleta
🚸	haur, haurrek zeharkatzen duten errepidea, oinezko, trafiko, zeharkatu
🚫	debekatuta, ez, sarrera
🚳	bizikleta, bizikletarik ez, debekatuta, ez, galarazita, ibilgailu, txirringa
🚯	debekatuta, ez, ezin da bota zaborra lurrera, galarazita, zabor
🚱	debekatuta, edan, edateko, edateko ez den ura, ez, galarazita, ur
🚷	debekatuta, ez, galarazita, oinezko, oinezkorik ez
📵	debekatuta, ez, galarazita, mugikor, sare, telefono, telefono mugikorrik ez
🔞	18, adin-muga, adingabe, adingaberik ez, debekatuta, ez, galarazita, hemezortzi
🔃	berriro, eskuinera, eskuinera gezi bertikalak, gezi, kargatu
🔄	ezkerrera, ezkerrera gezien botoia, gezi
🔙	atzera, atzera gezia, gezi
🔚	amaiera, amaiera gezia, gezi
🔛	gezi, markatu, on, “on” testua duen gezia
🔜	gezi, soon, “soon” testua duen gezia
🔝	gezi, gora, top, “top” testua duen gezia
🛐	erlijio, otoitz, otoizlekua
🕎	erlijio, menorah, zutargi
🔯	erdian puntu bat duen sei puntako izarra, izar, zorte
⛎	berri-ekarle, ofiuko, suge, zodiako
🔀	abestiak ausaz erreproduzitzeko botoia, gezi, gurutzatu
🔁	errepikatu, errepikatzeko botoia, eskuinera, gezi
🔂	behin, behin errepikatzeko botoia, eskuinera, gezi
▶	erreproduzitu, erreproduzitzeko botoia, eskuin, gezi, hiruki, triangelu
⏩	aurrera, aurrera egiteko botoia, bikoitz, bizkor, gezi
⏭	gezi, hiruki, hurrengo abestia, hurrengo abestira joateko botoia, hurrengo eszena, triangelu
⏯	erreproduzitu, erreproduzitzeko edo pausatzeko botoia, eskuin, gezi, hiruki, pausatu, triangelu
◀	alderantziz erreproduzitzeko botoia, atzera, ezker, gezi, hiruki, triangelu
⏪	atzera, atzera egiteko botoia, bikoitz, gezi
⏮	aurreko abestia, aurreko eszena, azken abestia erreproduzitzeko botoia, gezi, hiruki, triangelu
🔼	botoi, gezi, gora egiteko botoia, gorri
⏫	bikoitz, gezi, gora bizkor egiteko botoia
🔽	behera, behera egiteko botoia, botoi, gezi, gorri
⏬	behera, behera bizkor egiteko botoia, bikoitz, gezi
🎦	film, kamera, zinema
🔅	ahul, argitasun, argitasuna ahultzeko botoia, txiki
🔆	argi, argitasun, argitasuna igotzeko botoia
📶	antena, antenen barrak, barra, mugikor, sare, seinale, telefono
📳	bibrazio, bibrazio modua, modu, mugikor, sare, telefono
📴	itzali, mugikor, sare, telefono, telefono mugikorra itzalita
⚜	lis-lore
🔱	aingura, enblema, hiruhortz, hiruhortza, itsasontzi, tresna
📛	bereizgarri, izen, izen-bereizgarria
🔰	berde, hasiberri, hasiberria irudikatzen duen japonierako ikurra, hori, hosto, japoniera, komatxo, tresna
✅	markatu, tilet, tilet zuri lodia
❌	bider, biderketa, gurutze-ikurra, markatu, utzi, utzi bertan behera, x
❎	gurutze-ikurraren botoia, karratu, markatu
➕	matematika, plus, plus zeinu lodia
➖	matematika, minus, minus ikur lodia
➗	matematika, zatiketa, zatiketa-ikur lodia
➰	malguki, malgukia
➿	bikoitz, malguki, malguki bikoitza
❔	galdera, galdera-marka zuria, marka, nabarmendu, puntuazio
❕	harridura, harridura-marka zuria, marka, nabarmendu, puntuazio
💯	100, ehun, ehun puntu, oso, puntuazio
🔠	alfabeto, alfabeto latindarra maiuskulaz, hizki, latindar, letra, maiuskula
🔡	abcd, alfabeto, alfabeto latindarra minuskulaz, hizki, latindar, letra, minuskula
🔢	1234, zenbakiak
🔣	idazketa, ikurrak
🔤	abc, alfabeto, hizki, hizki latindarrak, idazketa, latindar, letra
🆎	ab, ab botoia, odol
🆑	cl, “cl” testua karratu batean
🆒	cool, eder, “cool” hitza karratu batean
🆓	doan, free, libre, “free” hitza karratu batean
🆔	id, identitate, nortasun, “id” testua karratu batean
🆕	berri, new, “new” hitza zirkulu batean
🆖	ng, “ng” testua karratu batean
🆗	ados, ok, “ok” testua karratu batean
🆘	laguntza, sos, “sos” hitza karratu batean
🆙	gora, markatu, up, “up!” botoia
🆚	versus, vs, “vs” testua karratu batean
🈁	japoniera, katakana koko karratu batean
🈷	ilargia irudikatzen duen ideograma karratu batean, japoniera
🈶	existentzia irudikatzen duen ideograma karratu batean, japoniera
🈯	hatz bat irudikatzen duen ideograma karratu batean, japoniera
🉐	abantaila bat irudikatzen duen ideograma zirkulu batean, japoniera
🈹	japoniera, zatiketa irudikatzen duen ideograma karratu batean
🈚	ezeztapena irudikatzen duen ideograma karratu batean, japoniera
🈲	debekua irudikatzen duen ideograma karratu batean, japoniera
🉑	onarpena irudikatzen duen ideograma zirkulu batean, txinera
🈸	inprimaki bat irudikatzen duen ideograma karratu batean, txinera
🈴	elkarrekin egotea irudikatzen duen ideograma karratu batean, txinera
🈳	hutsa irudikatzen duen ideograma karratu batean, txinera
🈺	txinera, zerbait abian dela irudikatzen duen ideograma karratu batean
