‾	siqisqa, takay, vinculum
🧑🏽‍❤‍🧑🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, tunpa qara niraq, yana qara niraq, runa, tunpa qara niraq, yana qara niraq
🧑🏾‍❤‍🧑🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, chuya qara niraq, runa, tunpa yana qara niraq
🧑🏾‍❤‍🧑🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, tunpa chuya qara niraq, runa, tunpa chuya qara niraq, tunpa yana qara niraq
🧑🏾‍❤‍🧑🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, tunpa qara niraq, runa, tunpa qara niraq, tunpa yana qara niraq
🧑🏾‍❤‍🧑🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, yana qara niraq, runa, tunpa yana qara niraq, yana qara niraq
🧑🏿‍❤‍🧑🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, yana qara niraq, chuya qara niraq, runa, yana qara niraq
🧑🏿‍❤‍🧑🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa chuya qara niraq, runa, tunpa chuya qara niraq, yana qara niraq
🧑🏿‍❤‍🧑🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa qara niraq, runa, tunpa qara niraq, yana qara niraq
🧑🏿‍❤‍🧑🏾	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa yana qara niraq, runa, tunpa yana qara niraq, yana qara niraq
🧑‍🦰	genero neutral, mana akllasqa genero, puka chukcha, puriq runa, runa, runa: puka chukcha
🧑🏻‍🦰	chuya qara niraq, genero neutral, mana akllasqa genero, puka chukcha, puriq runa, runa, runa: chuya qara niraq, puka chukcha
🧑🏼‍🦰	genero neutral, mana akllasqa genero, puka chukcha, puriq runa, runa, runa: tunpa chuya qara niraq, puka chukcha, tunpa chuya qara niraq
🧑🏽‍🦰	genero neutral, mana akllasqa genero, puka chukcha, puriq runa, runa, runa: tunpa qara niraq, puka chukcha, tunpa qara niraq
🧑🏾‍🦰	genero neutral, mana akllasqa genero, puka chukcha, puriq runa, runa, runa: tunpa yana qara niraq, puka chukcha, tunpa yana qara niraq
🧑🏿‍🦰	genero neutral, mana akllasqa genero, puka chukcha, puriq runa, runa, runa: yana qara niraq, puka chukcha, yana qara niraq
🧑‍🦱	genero neutral, mana akllasqa genero, puriq runa, qaspa chukcha, runa, runa: qaspa chukcha
🧑🏻‍🦱	chuya qara niraq, genero neutral, mana akllasqa genero, puriq runa, qaspa chukcha, runa, runa: chuya qara niraq, qaspa chukcha
🧑🏼‍🦱	genero neutral, mana akllasqa genero, puriq runa, qaspa chukcha, runa, runa: tunpa chuya qara niraq, qaspa chukcha, tunpa chuya qara niraq
🧑🏽‍🦱	genero neutral, mana akllasqa genero, puriq runa, qaspa chukcha, runa, runa: tunpa qara niraq, qaspa chukcha, tunpa qara niraq
🧑🏾‍🦱	genero neutral, mana akllasqa genero, puriq runa, qaspa chukcha, runa, runa: tunpa yana qara niraq, qaspa chukcha, tunpa yana qara niraq
🧑🏿‍🦱	genero neutral, mana akllasqa genero, puriq runa, qaspa chukcha, runa, runa: yana qara niraq, qaspa chukcha, yana qara niraq
🧑‍🦳	genero neutral, mana akllasqa genero, puriq runa, runa, runa: yuraq chukcha, yuraq chukcha
🧑🏻‍🦳	chuya qara niraq, genero neutral, mana akllasqa genero, puriq runa, runa, runa: chuya qara niraq, yuraq chukcha, yuraq chukcha
🧑🏼‍🦳	genero neutral, mana akllasqa genero, puriq runa, runa, runa: tunpa chuya qara niraq, yuraq chukcha, tunpa chuya qara niraq, yuraq chukcha
🧑🏽‍🦳	genero neutral, mana akllasqa genero, puriq runa, runa, runa: tunpa qara niraq, yuraq chukcha, tunpa qara niraq, yuraq chukcha
🧑🏾‍🦳	genero neutral, mana akllasqa genero, puriq runa, runa, runa: tunpa yana qara niraq, yuraq chukcha, tunpa yana qara niraq, yuraq chukcha
🧑🏿‍🦳	genero neutral, mana akllasqa genero, puriq runa, runa, runa: yana qara niraq, yuraq chukcha, yana qara niraq, yuraq chukcha
🧑‍🦲	genero neutral, mana akllasqa genero, paqla, puriq runa, runa, runa: paqla
🧑🏻‍🦲	chuya qara niraq, genero neutral, mana akllasqa genero, paqla, puriq runa, runa, runa: chuya qara niraq, paqla
🧑🏼‍🦲	genero neutral, mana akllasqa genero, paqla, puriq runa, runa, runa: tunpa chuya qara niraq, paqla, tunpa chuya qara niraq
🧑🏽‍🦲	genero neutral, mana akllasqa genero, paqla, puriq runa, runa, runa: tunpa qara niraq, paqla, tunpa qara niraq
🧑🏾‍🦲	genero neutral, mana akllasqa genero, paqla, puriq runa, runa, runa: tunpa yana qara niraq, paqla, tunpa yana qara niraq
🧑🏿‍🦲	genero neutral, mana akllasqa genero, paqla, puriq runa, runa, runa: yana qara niraq, paqla, yana qara niraq
👨	puriq runa, tata
👨🏻	chuya qara niraq, puriq runa, tata, tata: chuya qara niraq
👨🏼	puriq runa, tata, tata: tunpa chuya qara niraq, tunpa chuya qara niraq
👨🏽	puriq runa, tata, tata: tunpa qara niraq, tunpa qara niraq
👨🏾	puriq runa, tata, tata: tunpa yana qara niraq, tunpa yana qara niraq
👨🏿	puriq runa, tata, tata: yana qara niraq, yana qara niraq
🧔	kʼaki, runa, runa: kʼaki
🧔🏻	chuya qara niraq, kʼaki, runa, runa: chuya qara niraq, kʼaki, runa: kʼaki
🧔🏼	kʼaki, runa, runa: kʼaki, runa: tunpa chuya qara niraq, kʼaki, tunpa chuya qara niraq
🧔🏽	kʼaki, runa, runa: kʼaki, runa: tunpa qara niraq, kʼaki, tunpa qara niraq
🧔🏾	kʼaki, runa, runa: kʼaki, runa: tunpa yana qara niraq, kʼaki, tunpa yana qara niraq
🧔🏿	kʼaki, runa, runa: kʼaki, runa: yana qara niraq, kʼaki, yana qara niraq
🧔‍♂	kaki, runa, runa: kaki
🧔🏻‍♂	chuya qara niraq, kaki, runa, runa: chuya qara niraq, kaki, runa: kaki
🧔🏼‍♂	kaki, runa, runa: kaki, runa: tunpa chuya qara niraq, kaki, tunpa chuya qara niraq
🧔🏽‍♂	kaki, runa, runa: kaki, runa: tunpa qara niraq, kaki, tunpa qara niraq
🧔🏾‍♂	kaki, runa, runa: kaki, runa: tunpa yana qara niraq, kaki, tunpa yana qara niraq
🧔🏿‍♂	kaki, runa, runa: kaki, runa: yana qara niraq, kaki, yana qara niraq
👱‍♂	chukcha, qʼillu, runa, runa: qillu chukcha, runa:qillu chukcha
👱🏻‍♂	chukcha, chuya qara niraq, qillu chukcha, qʼillu, runa, runa: chuya qara niraq, qillu chukcha, runa: qillu chukcha, runa:qillu chukcha
👱🏼‍♂	chukcha, qillu chukcha, qʼillu, runa, runa: qillu chukcha, runa: tunpa chuya qara niraq, qillu chukcha, runa:qillu chukcha, tunpa chuya qara niraq
👱🏽‍♂	chukcha, qillu chukcha, qʼillu, runa, runa: qillu chukcha, runa: tunpa qara niraq, qillu chukcha, runa:qillu chukcha, tunpa qara niraq
👱🏾‍♂	chukcha, qillu chukcha, qʼillu, runa, runa: qillu chukcha, runa: tunpa yana qara niraq, qillu chukcha, runa:qillu chukcha, tunpa yana qara niraq
👱🏿‍♂	chukcha, qillu chukcha, qʼillu, runa, runa: qillu chukcha, runa: yana qara niraq, qillu chukcha, runa:qillu chukcha, yana qara niraq
👨🏻‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: tata, tata, chuya qara niraq, pitu runakuna, tata
👨🏻‍❤‍💋‍👨🏼	chuya qara niraq, much’a, much’a: tata, tata, chuya qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq
👨🏻‍❤‍💋‍👨🏽	chuya qara niraq, much’a, much’a: tata, tata, chuya qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq
👨🏻‍❤‍💋‍👨🏾	chuya qara niraq, much’a, much’a: tata, tata, chuya qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq
👨🏻‍❤‍💋‍👨🏿	chuya qara niraq, much’a, much’a: tata, tata, chuya qara niraq, yana qara niraq, pitu runakuna, tata, yana qara niraq
👨🏼‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: tata, tata, tunpa chuya qara niraq, chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq
👨🏼‍❤‍💋‍👨🏼	much’a, much’a: tata, tata, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq
👨🏼‍❤‍💋‍👨🏽	much’a, much’a: tata, tata, tunpa chuya qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa qara niraq
👨🏼‍❤‍💋‍👨🏾	much’a, much’a: tata, tata, tunpa chuya qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa yana qara niraq
👨🏼‍❤‍💋‍👨🏿	much’a, much’a: tata, tata, tunpa chuya qara niraq, yana qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, yana qara niraq
👨🏽‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: tata, tata, tunpa qara niraq, chuya qara niraq, pitu runakuna, tata, tunpa qara niraq
👨🏽‍❤‍💋‍👨🏼	much’a, much’a: tata, tata, tunpa qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa qara niraq
👨🏽‍❤‍💋‍👨🏽	much’a, much’a: tata, tata, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq
👨🏽‍❤‍💋‍👨🏾	much’a, much’a: tata, tata, tunpa qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa qara niraq, tunpa yana qara niraq
👨🏽‍❤‍💋‍👨🏿	much’a, much’a: tata, tata, tunpa qara niraq, yana qara niraq, pitu runakuna, tata, tunpa qara niraq, yana qara niraq
👨🏾‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: tata, tata, tunpa yana qara niraq, chuya qara niraq, pitu runakuna, tata, tunpa yana qara niraq
👨🏾‍❤‍💋‍👨🏼	much’a, much’a: tata, tata, tunpa yana qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa yana qara niraq
👨🏾‍❤‍💋‍👨🏽	much’a, much’a: tata, tata, tunpa yana qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq, tunpa yana qara niraq
👨🏾‍❤‍💋‍👨🏾	much’a, much’a: tata, tata, tunpa yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq
👨🏾‍❤‍💋‍👨🏿	much’a, much’a: tata, tata, tunpa yana qara niraq, yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq, yana qara niraq
👨🏿‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: tata, tata, yana qara niraq, chuya qara niraq, pitu runakuna, tata, yana qara niraq
👨🏿‍❤‍💋‍👨🏼	much’a, much’a: tata, tata, yana qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, yana qara niraq
👨🏿‍❤‍💋‍👨🏽	much’a, much’a: tata, tata, yana qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq, yana qara niraq
👨🏿‍❤‍💋‍👨🏾	much’a, much’a: tata, tata, yana qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq, yana qara niraq
👨🏿‍❤‍💋‍👨🏿	much’a, much’a: tata, tata, yana qara niraq, pitu runakuna, tata, yana qara niraq
👨🏻‍❤‍👨🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, chuya qara niraq, tata
👨🏻‍❤‍👨🏼	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, chuya qara niraq, tunpa chuya qara niraq, tata, tunpa chuya qara niraq
👨🏻‍❤‍👨🏽	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, chuya qara niraq, tunpa qara niraq, tata, tunpa qara niraq
👨🏻‍❤‍👨🏾	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, chuya qara niraq, tunpa yana qara niraq, tata, tunpa yana qara niraq
👨🏻‍❤‍👨🏿	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, chuya qara niraq, yana qara niraq, tata, yana qara niraq
👨🏼‍❤‍👨🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa chuya qara niraq, chuya qara niraq, tata, tunpa chuya qara niraq
👨🏼‍❤‍👨🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa chuya qara niraq, tata, tunpa chuya qara niraq
👨🏼‍❤‍👨🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa chuya qara niraq, tunpa qara niraq, tata, tunpa chuya qara niraq, tunpa qara niraq
👨🏼‍❤‍👨🏾	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa chuya qara niraq, tunpa yana qara niraq, tata, tunpa chuya qara niraq, tunpa yana qara niraq
👨🏼‍❤‍👨🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa chuya qara niraq, yana qara niraq, tata, tunpa chuya qara niraq, yana qara niraq
👨🏽‍❤‍👨🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa qara niraq, chuya qara niraq, tata, tunpa qara niraq
👨🏽‍❤‍👨🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa qara niraq, tunpa chuya qara niraq, tata, tunpa chuya qara niraq, tunpa qara niraq
👨🏽‍❤‍👨🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa qara niraq, tata, tunpa qara niraq
👨🏽‍❤‍👨🏾	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa qara niraq, tunpa yana qara niraq, tata, tunpa qara niraq, tunpa yana qara niraq
👨🏽‍❤‍👨🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa qara niraq, yana qara niraq, tata, tunpa qara niraq, yana qara niraq
👨🏾‍❤‍👨🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa yana qara niraq, chuya qara niraq, tata, tunpa yana qara niraq
👨🏾‍❤‍👨🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa yana qara niraq, tunpa chuya qara niraq, tata, tunpa chuya qara niraq, tunpa yana qara niraq
👨🏾‍❤‍👨🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa yana qara niraq, tunpa qara niraq, tata, tunpa qara niraq, tunpa yana qara niraq
👨🏾‍❤‍👨🏾	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa yana qara niraq, tata, tunpa yana qara niraq
👨🏾‍❤‍👨🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tunpa yana qara niraq, yana qara niraq, tata, tunpa yana qara niraq, yana qara niraq
👨🏿‍❤‍👨🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, yana qara niraq, chuya qara niraq, tata, yana qara niraq
👨🏿‍❤‍👨🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, yana qara niraq, tunpa chuya qara niraq, tata, tunpa chuya qara niraq, yana qara niraq
👨🏿‍❤‍👨🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, yana qara niraq, tunpa qara niraq, tata, tunpa qara niraq, yana qara niraq
👨🏿‍❤‍👨🏾	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, yana qara niraq, tunpa yana qara niraq, tata, tunpa yana qara niraq, yana qara niraq
👨🏿‍❤‍👨🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, yana qara niraq, tata, yana qara niraq
👨‍🦰	puka chukcha, puriq runa, tata, tata: puka chukcha
👨🏻‍🦰	chuya qara niraq, puka chukcha, puriq runa, tata, tata: chuya qara niraq, puka chukcha
👨🏼‍🦰	puka chukcha, puriq runa, tata, tata: tunpa chuya qara niraq, puka chukcha, tunpa chuya qara niraq
👨🏽‍🦰	puka chukcha, puriq runa, tata, tata: tunpa qara niraq, puka chukcha, tunpa qara niraq
👨🏾‍🦰	puka chukcha, puriq runa, tata, tata: tunpa yana qara niraq, puka chukcha, tunpa yana qara niraq
👨🏿‍🦰	puka chukcha, puriq runa, tata, tata: yana qara niraq, puka chukcha, yana qara niraq
👨‍🦱	puriq runa, qaspa chukcha, tata, tata: qaspa chukcha
👨🏻‍🦱	chuya qara niraq, puriq runa, qaspa chukcha, tata, tata: chuya qara niraq, qaspa chukcha
👨🏼‍🦱	puriq runa, qaspa chukcha, tata, tata: tunpa chuya qara niraq, qaspa chukcha, tunpa chuya qara niraq
👨🏽‍🦱	puriq runa, qaspa chukcha, tata, tata: tunpa qara niraq, qaspa chukcha, tunpa qara niraq
👨🏾‍🦱	puriq runa, qaspa chukcha, tata, tata: tunpa yana qara niraq, qaspa chukcha, tunpa yana qara niraq
👨🏿‍🦱	puriq runa, qaspa chukcha, tata, tata: yana qara niraq, qaspa chukcha, yana qara niraq
👨‍🦳	puriq runa, tata, tata: yuraq chukcha, yuraq chukcha
👨🏻‍🦳	chuya qara niraq, puriq runa, tata, tata: chuya qara niraq, yuraq chukcha, yuraq chukcha
👨🏼‍🦳	puriq runa, tata, tata: tunpa chuya qara niraq, yuraq chukcha, tunpa chuya qara niraq, yuraq chukcha
👨🏽‍🦳	puriq runa, tata, tata: tunpa qara niraq, yuraq chukcha, tunpa qara niraq, yuraq chukcha
👨🏾‍🦳	puriq runa, tata, tata: tunpa yana qara niraq, yuraq chukcha, tunpa yana qara niraq, yuraq chukcha
👨🏿‍🦳	puriq runa, tata, tata: yana qara niraq, yuraq chukcha, yana qara niraq, yuraq chukcha
👨‍🦲	paqla, puriq runa, tata, tata: paqla
👨🏻‍🦲	chuya qara niraq, paqla, puriq runa, tata, tata: chuya qara niraq, paqla
👨🏼‍🦲	paqla, puriq runa, tata, tata: tunpa chuya qara niraq, paqla, tunpa chuya qara niraq
👨🏽‍🦲	paqla, puriq runa, tata, tata: tunpa qara niraq, paqla, tunpa qara niraq
👨🏾‍🦲	paqla, puriq runa, tata, tata: tunpa yana qara niraq, paqla, tunpa yana qara niraq
👨🏿‍🦲	paqla, puriq runa, tata, tata: yana qara niraq, paqla, yana qara niraq
👩	puriq runa, warmi
👩🏻	chuya qara niraq, puriq runa, warmi, warmi: chuya qara niraq
👩🏼	puriq runa, tunpa chuya qara niraq, warmi, warmi: tunpa chuya qara niraq
👩🏽	puriq runa, tunpa qara niraq, warmi, warmi: tunpa qara niraq
👩🏾	puriq runa, tunpa yana qara niraq, warmi, warmi: tunpa yana qara niraq
👩🏿	puriq runa, warmi, warmi: yana qara niraq, yana qara niraq
🧔‍♀	kʼaki, warmi, warmi: kʼaki
🧔🏻‍♀	chuya qara niraq, kʼaki, warmi, warmi: chuya qara niraq, kʼaki, warmi: kʼaki
🧔🏼‍♀	kʼaki, tunpa chuya qara niraq, warmi, warmi: kʼaki, warmi: tunpa chuya qara niraq, kʼaki
🧔🏽‍♀	kʼaki, tunpa qara niraq, warmi, warmi: kʼaki, warmi: tunpa qara niraq, kʼaki
🧔🏾‍♀	kʼaki, tunpa yana qara niraq, warmi, warmi: kʼaki, warmi: tunpa yana qara niraq, kʼaki
🧔🏿‍♀	kʼaki, warmi, warmi: kʼaki, warmi: yana qara niraq, kʼaki, yana qara niraq
👱‍♀	chukcha, qʼillo chukcha warmi, qʼillu, warmi, warmi: qʼillu chukcha
👱🏻‍♀	chukcha, chuya qara niraq, qʼillo chukcha warmi, qʼillu, warmi, warmi: chuya qara niraq, qʼillu chukcha, warmi: qʼillu chukcha
👱🏼‍♀	chukcha, qʼillo chukcha warmi, qʼillu, tunpa chuya qara niraq, warmi, warmi: qʼillu chukcha, warmi: tunpa chuya qara niraq, qʼillu chukcha
👱🏽‍♀	chukcha, qʼillo chukcha warmi, qʼillu, tunpa qara niraq, warmi, warmi: qʼillu chukcha, warmi: tunpa qara niraq, qʼillu chukcha
👱🏾‍♀	chukcha, qʼillo chukcha warmi, qʼillu, tunpa yana qara niraq, warmi, warmi: qʼillu chukcha, warmi: tunpa yana qara niraq, qʼillu chukcha
👱🏿‍♀	chukcha, qʼillo chukcha warmi, qʼillu, warmi, warmi: qʼillu chukcha, warmi: yana qara niraq, qʼillu chukcha, yana qara niraq
👩🏻‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: warmi, tata, chuya qara niraq, pitu runakuna, tata, warmi
👩🏻‍❤‍💋‍👨🏼	chuya qara niraq, much’a, much’a: warmi, tata, chuya qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, warmi
👩🏻‍❤‍💋‍👨🏽	chuya qara niraq, much’a, much’a: warmi, tata, chuya qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq, warmi
👩🏻‍❤‍💋‍👨🏾	chuya qara niraq, much’a, much’a: warmi, tata, chuya qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq, warmi
👩🏻‍❤‍💋‍👨🏿	chuya qara niraq, much’a, much’a: warmi, tata, chuya qara niraq, yana qara niraq, pitu runakuna, tata, warmi, yana qara niraq
👩🏼‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: warmi, tata, tunpa chuya qara niraq, chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, warmi
👩🏼‍❤‍💋‍👨🏼	much’a, much’a: warmi, tata, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, warmi
👩🏼‍❤‍💋‍👨🏽	much’a, much’a: warmi, tata, tunpa chuya qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa qara niraq, warmi
👩🏼‍❤‍💋‍👨🏾	much’a, much’a: warmi, tata, tunpa chuya qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa yana qara niraq, warmi
👩🏼‍❤‍💋‍👨🏿	much’a, much’a: warmi, tata, tunpa chuya qara niraq, yana qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, warmi, yana qara niraq
👩🏽‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: warmi, tata, tunpa qara niraq, chuya qara niraq, pitu runakuna, tata, tunpa qara niraq, warmi
👩🏽‍❤‍💋‍👨🏼	much’a, much’a: warmi, tata, tunpa qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa qara niraq, warmi
👩🏽‍❤‍💋‍👨🏽	much’a, much’a: warmi, tata, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq, warmi
👩🏽‍❤‍💋‍👨🏾	much’a, much’a: warmi, tata, tunpa qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa qara niraq, tunpa yana qara niraq, warmi
👩🏽‍❤‍💋‍👨🏿	much’a, much’a: warmi, tata, tunpa qara niraq, yana qara niraq, pitu runakuna, tata, tunpa qara niraq, warmi, yana qara niraq
👩🏾‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: warmi, tata, tunpa yana qara niraq, chuya qara niraq, pitu runakuna, tata, tunpa yana qara niraq, warmi
👩🏾‍❤‍💋‍👨🏼	much’a, much’a: warmi, tata, tunpa yana qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, tunpa yana qara niraq, warmi
👩🏾‍❤‍💋‍👨🏽	much’a, much’a: warmi, tata, tunpa yana qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq, tunpa yana qara niraq, warmi
👩🏾‍❤‍💋‍👨🏾	much’a, much’a: warmi, tata, tunpa yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq, warmi
👩🏾‍❤‍💋‍👨🏿	much’a, much’a: warmi, tata, tunpa yana qara niraq, yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq, warmi, yana qara niraq
👩🏿‍❤‍💋‍👨🏻	chuya qara niraq, much’a, much’a: warmi, tata, yana qara niraq, chuya qara niraq, pitu runakuna, tata, warmi, yana qara niraq
👩🏿‍❤‍💋‍👨🏼	much’a, much’a: warmi, tata, yana qara niraq, tunpa chuya qara niraq, pitu runakuna, tata, tunpa chuya qara niraq, warmi, yana qara niraq
👩🏿‍❤‍💋‍👨🏽	much’a, much’a: warmi, tata, yana qara niraq, tunpa qara niraq, pitu runakuna, tata, tunpa qara niraq, warmi, yana qara niraq
👩🏿‍❤‍💋‍👨🏾	much’a, much’a: warmi, tata, yana qara niraq, tunpa yana qara niraq, pitu runakuna, tata, tunpa yana qara niraq, warmi, yana qara niraq
👩🏿‍❤‍💋‍👨🏿	much’a, much’a: warmi, tata, yana qara niraq, pitu runakuna, tata, warmi, yana qara niraq
👩🏻‍❤‍💋‍👩🏻	chuya qara niraq, much’a, much’a: warmi, warmi, chuya qara niraq, pitu runakuna, warmi
👩🏻‍❤‍💋‍👩🏼	chuya qara niraq, much’a, much’a: warmi, warmi, chuya qara niraq, tunpa chuya qara niraq, pitu runakuna, tunpa chuya qara niraq, warmi
👩🏻‍❤‍💋‍👩🏽	chuya qara niraq, much’a, much’a: warmi, warmi, chuya qara niraq, tunpa qara niraq, pitu runakuna, tunpa qara niraq, warmi
👩🏻‍❤‍💋‍👩🏾	chuya qara niraq, much’a, much’a: warmi, warmi, chuya qara niraq, tunpa yana qara niraq, pitu runakuna, tunpa yana qara niraq, warmi
👩🏻‍❤‍💋‍👩🏿	chuya qara niraq, much’a, much’a: warmi, warmi, chuya qara niraq, yana qara niraq, pitu runakuna, warmi, yana qara niraq
👩🏼‍❤‍💋‍👩🏻	chuya qara niraq, much’a, much’a: warmi, warmi, tunpa chuya qara niraq, chuya qara niraq, pitu runakuna, tunpa chuya qara niraq, warmi
👩🏼‍❤‍💋‍👩🏼	much’a, much’a: warmi, warmi, tunpa chuya qara niraq, pitu runakuna, tunpa chuya qara niraq, warmi
👩🏼‍❤‍💋‍👩🏽	much’a, much’a: warmi, warmi, tunpa chuya qara niraq, tunpa qara niraq, pitu runakuna, tunpa chuya qara niraq, tunpa qara niraq, warmi
👩🏼‍❤‍💋‍👩🏾	much’a, much’a: warmi, warmi, tunpa chuya qara niraq, tunpa yana qara niraq, pitu runakuna, tunpa chuya qara niraq, tunpa yana qara niraq, warmi
👩🏼‍❤‍💋‍👩🏿	much’a, much’a: warmi, warmi, tunpa chuya qara niraq, yana qara niraq, pitu runakuna, tunpa chuya qara niraq, warmi, yana qara niraq
