🦵🏻	kick, limb, uhlobo-1-2, umlenze, umlenze: uhlobo-1-2
👨‍🦰	indoda, indoda: izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba
👨🏻‍🦰	indoda, indoda: uhlobo-1-2, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦰	indoda, indoda: uhlobo-3, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-3
👨🏽‍🦰	indoda, indoda: uhlobo-4, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-4
👨🏾‍🦰	indoda, indoda: uhlobo-5, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-5
👨🏿‍🦰	indoda, indoda: uhlobo-6, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-6
👨‍🦱	curly hair, indoda, indoda: curly hair, owesilisa, ubaba
👨🏻‍🦱	curly hair, indoda, indoda: uhlobo-1-2, curly hair, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦱	curly hair, indoda, indoda: uhlobo-3, curly hair, owesilisa, ubaba, uhlobo-3
👨🏽‍🦱	curly hair, indoda, indoda: uhlobo-4, curly hair, owesilisa, ubaba, uhlobo-4
👨🏾‍🦱	curly hair, indoda, indoda: uhlobo-5, curly hair, owesilisa, ubaba, uhlobo-5
👨🏿‍🦱	curly hair, indoda, indoda: uhlobo-6, curly hair, owesilisa, ubaba, uhlobo-6
👨‍🦲	imbungculu, indoda, indoda: imbungculu, owesilisa, ubaba
👨🏻‍🦲	imbungculu, indoda, indoda: uhlobo-1-2, imbungculu, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦲	imbungculu, indoda, indoda: uhlobo-3, imbungculu, owesilisa, ubaba, uhlobo-3
👨🏽‍🦲	imbungculu, indoda, indoda: uhlobo-4, imbungculu, owesilisa, ubaba, uhlobo-4
👨🏾‍🦲	imbungculu, indoda, indoda: uhlobo-5, imbungculu, owesilisa, ubaba, uhlobo-5
👨🏿‍🦲	imbungculu, indoda, indoda: uhlobo-6, imbungculu, owesilisa, ubaba, uhlobo-6
👨‍🦳	indoda, indoda: izinwele ezimhlophe, izinwele ezimhlophe, owesilisa, ubaba
👨🏻‍🦳	indoda, indoda: uhlobo-1-2, izinwele ezimhlophe, izinwele ezimhlophe, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦳	indoda, indoda: uhlobo-3, izinwele ezimhlophe, izinwele ezimhlophe, owesilisa, ubaba, uhlobo-3
👨🏽‍🦳	indoda, indoda: uhlobo-4, izinwele ezimhlophe, izinwele ezimhlophe, owesilisa, ubaba, uhlobo-4
