🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
👶🏻	բաց գույնի մաշկ, երեխա, մանուկ, մանուկ՝ բաց գույնի մաշկ, նորածին
👶🏼	երեխա, մանուկ, մանուկ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, նորածին
👶🏽	երեխա, մանուկ, մանուկ՝ միջին գույնի մաշկ, միջին գույնի մաշկ, նորածին
👶🏾	երեխա, մանուկ, մանուկ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, նորածին
👶🏿	երեխա, մանուկ, մանուկ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, նորածին
🧒🏻	բաց գույնի մաշկ, երեխա, երեխա՝ բաց գույնի մաշկ, փոքրիկ
🧒🏼	երեխա, երեխա՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, փոքրիկ
🧒🏽	երեխա, երեխա՝ միջին գույնի մաշկ, միջին գույնի մաշկ, փոքրիկ
🧒🏾	երեխա, երեխա՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, փոքրիկ
🧒🏿	երեխա, երեխա՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, փոքրիկ
👦🏻	բաց գույնի մաշկ, տղա, տղա՝ բաց գույնի մաշկ
👦🏼	միջին բաց գույնի մաշկ, տղա, տղա՝ միջին բաց գույնի մաշկ
👦🏽	միջին գույնի մաշկ, տղա, տղա՝ միջին գույնի մաշկ
👦🏾	միջին մուգ գույնի մաշկ, տղա, տղա՝ միջին մուգ գույնի մաշկ
👦🏿	մուգ գույնի մաշկ, տղա, տղա՝ մուգ գույնի մաշկ
👧🏻	աղջիկ, աղջիկ՝ բաց գույնի մաշկ, բաց գույնի մաշկ, կենդանակերպ, կույս, օրիորդ
👧🏼	աղջիկ, աղջիկ՝ միջին բաց գույնի մաշկ, կենդանակերպ, կույս, միջին բաց գույնի մաշկ, օրիորդ
👧🏽	աղջիկ, աղջիկ՝ միջին գույնի մաշկ, կենդանակերպ, կույս, միջին գույնի մաշկ, օրիորդ
👧🏾	աղջիկ, աղջիկ՝ միջին մուգ գույնի մաշկ, կենդանակերպ, կույս, միջին մուգ գույնի մաշկ, օրիորդ
👧🏿	աղջիկ, աղջիկ՝ մուգ գույնի մաշկ, կենդանակերպ, կույս, մուգ գույնի մաշկ, օրիորդ
🧑🏻	բաց գույնի մաշկ, մեծահասակ, մեծահասակ՝ բաց գույնի մաշկ, չափահաս, չեզոք սեռ
🧑🏼	մեծահասակ, մեծահասակ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, չափահաս, չեզոք սեռ
🧑🏽	մեծահասակ, մեծահասակ՝ միջին գույնի մաշկ, միջին գույնի մաշկ, չափահաս, չեզոք սեռ
🧑🏾	մեծահասակ, մեծահասակ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, չափահաս, չեզոք սեռ
🧑🏿	մեծահասակ, մեծահասակ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, չափահաս, չեզոք սեռ
👨🏻	բաց գույնի մաշկ, տղամարդ, տղամարդ՝ բաց գույնի մաշկ
👨🏼	միջին բաց գույնի մաշկ, տղամարդ, տղամարդ՝ միջին բաց գույնի մաշկ
👨🏽	միջին գույնի մաշկ, տղամարդ, տղամարդ՝ միջին գույնի մաշկ
👨🏾	միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ միջին մուգ գույնի մաշկ
👨🏿	մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ մուգ գույնի մաշկ
👨‍🦰	կարմրահեր, տղամարդ, տղամարդ՝ կարմրահեր
👨🏻‍🦰	բաց գույնի մաշկ, կարմրահեր, տղամարդ, տղամարդ՝ բաց գույնի մաշկ և կարմրահեր
👨🏼‍🦰	կարմրահեր, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ՝ միջին բաց գույնի մաշկ և կարմրահեր
👨🏽‍🦰	կարմրահեր, միջին գույնի մաշկ, տղամարդ, տղամարդ՝ միջին գույնի մաշկ և կարմրահեր
👨🏾‍🦰	կարմրահեր, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ միջին մուգ գույնի մաշկ և կարմրահեր
👨🏿‍🦰	կարմրահեր, մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ մուգ գույնի մաշկ և կարմրահեր
👨‍🦱	գանգուր մազեր, տղամարդ, տղամարդ՝ գանգուր մազեր
👨🏻‍🦱	բաց գույնի մաշկ, գանգուր մազեր, տղամարդ, տղամարդ՝ բաց գույնի մաշկ և գանգուր մազեր
👨🏼‍🦱	գանգուր մազեր, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ՝ միջին բաց գույնի մաշկ և գանգուր մազեր
👨🏽‍🦱	գանգուր մազեր, միջին գույնի մաշկ, տղամարդ, տղամարդ՝ միջին գույնի մաշկ և գանգուր մազեր
👨🏾‍🦱	գանգուր մազեր, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ միջին մուգ գույնի մաշկ և գանգուր մազեր
👨🏿‍🦱	գանգուր մազեր, մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ մուգ գույնի մաշկ և գանգուր մազեր
👨‍🦲	ճաղատ, տղամարդ, տղամարդ՝ ճաղատ
👨🏻‍🦲	բաց գույնի մաշկ, ճաղատ, տղամարդ, տղամարդ՝ բաց գույնի մաշկ և ճաղատ
👨🏼‍🦲	ճաղատ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ՝ միջին բաց գույնի մաշկ և ճաղատ
👨🏽‍🦲	ճաղատ, միջին գույնի մաշկ, տղամարդ, տղամարդ՝ միջին գույնի մաշկ և ճաղատ
👨🏾‍🦲	ճաղատ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ միջին մուգ գույնի մաշկ և ճաղատ
👨🏿‍🦲	ճաղատ, մուգ գույնի մաշկ, տղամարդ, տղամարդ՝ մուգ գույնի մաշկ և ճաղատ
👨‍🦳	սպիտակ մազեր, տղամարդ, տղամարդ՝ սպիտակ մազեր
👨🏻‍🦳	բաց գույնի մաշկ, սպիտակ մազեր, տղամարդ, տղամարդ՝ բաց գույնի մաշկ և սպիտակ մազեր
👨🏼‍🦳	միջին բաց գույնի մաշկ, սպիտակ մազեր, տղամարդ, տղամարդ՝ միջին բաց գույնի մաշկ և սպիտակ մազեր
👨🏽‍🦳	միջին գույնի մաշկ, սպիտակ մազեր, տղամարդ, տղամարդ՝ միջին գույնի մաշկ և սպիտակ մազեր
👨🏾‍🦳	միջին մուգ գույնի մաշկ, սպիտակ մազեր, տղամարդ, տղամարդ՝ միջին մուգ գույնի մաշկ և սպիտակ մազեր
👨🏿‍🦳	մուգ գույնի մաշկ, սպիտակ մազեր, տղամարդ, տղամարդ՝ մուգ գույնի մաշկ և սպիտակ մազեր
👩🏻	բաց գույնի մաշկ, կին, կին՝ բաց գույնի մաշկ
👩🏼	կին, կին՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
👩🏽	կին, կին՝ միջին գույնի մաշկ, միջին գույնի մաշկ
👩🏾	կին, կին՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
👩🏿	կին, կին՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
👩‍🦰	կարմրահեր, կին, կին՝ կարմրահեր
👩🏻‍🦰	բաց գույնի մաշկ, կարմրահեր, կին, կին՝ բաց գույնի մաշկ և կարմրահեր
👩🏼‍🦰	կարմրահեր, կին, կին՝ միջին բաց գույնի մաշկ և կարմրահեր, միջին բաց գույնի մաշկ
👩🏽‍🦰	կարմրահեր, կին, կին՝ միջին գույնի մաշկ և կարմրահեր, միջին գույնի մաշկ
👩🏾‍🦰	կարմրահեր, կին, կին՝ միջին մուգ գույնի մաշկ և կարմրահեր, միջին մուգ գույնի մաշկ
👩🏿‍🦰	կարմրահեր, կին, կին՝ մուգ գույնի մաշկ և կարմրահեր, մուգ գույնի մաշկ
👩‍🦱	գանգուր մազեր, կին, կին՝ գանգուր մազեր
