👦🏻	1 ir 2 odos tipai, berniukas, berniukas: 1 ir 2 odos tipai, jaunas
👦🏼	3 odos tipas, berniukas, berniukas: 3 odos tipas, jaunas
👦🏽	4 odos tipas, berniukas, berniukas: 4 odos tipas, jaunas
👦🏾	5 odos tipas, berniukas, berniukas: 5 odos tipas, jaunas
👦🏿	6 odos tipas, berniukas, berniukas: 6 odos tipas, jaunas
👧🏻	1 ir 2 odos tipai, jauna, mergaitė, mergaitė: 1 ir 2 odos tipai, mergelė, zodiakas
👧🏼	3 odos tipas, jauna, mergaitė, mergaitė: 3 odos tipas, mergelė, zodiakas
👧🏽	4 odos tipas, jauna, mergaitė, mergaitė: 4 odos tipas, mergelė, zodiakas
👧🏾	5 odos tipas, jauna, mergaitė, mergaitė: 5 odos tipas, mergelė, zodiakas
👧🏿	6 odos tipas, jauna, mergaitė, mergaitė: 6 odos tipas, mergelė, zodiakas
🧑🏻	1 ir 2 odos tipai, neutrali lytis, suaugusysis, suaugusysis: 1 ir 2 odos tipai
🧑🏼	3 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 3 odos tipas
🧑🏽	4 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 4 odos tipas
🧑🏾	5 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 5 odos tipas
🧑🏿	6 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 6 odos tipas
👨🏻	1 ir 2 odos tipai, vyras, vyras: 1 ir 2 odos tipai
👨🏼	3 odos tipas, vyras, vyras: 3 odos tipas
👨🏽	4 odos tipas, vyras, vyras: 4 odos tipas
👨🏾	5 odos tipas, vyras, vyras: 5 odos tipas
👨🏿	6 odos tipas, vyras, vyras: 6 odos tipas
👨‍🦰	raudoni plaukai, vyras, vyras: raudoni plaukai
👨🏻‍🦰	1 ir 2 odos tipai, raudoni plaukai, vyras, vyras: 1 ir 2 odos tipai raudoni plaukai
👨🏼‍🦰	3 odos tipas, raudoni plaukai, vyras, vyras: 3 odos tipas raudoni plaukai
👨🏽‍🦰	4 odos tipas, raudoni plaukai, vyras, vyras: 4 odos tipas raudoni plaukai
👨🏾‍🦰	5 odos tipas, raudoni plaukai, vyras, vyras: 5 odos tipas raudoni plaukai
👨🏿‍🦰	6 odos tipas, raudoni plaukai, vyras, vyras: 6 odos tipas raudoni plaukai
👨‍🦱	garbanoti plaukai, vyras, vyras: garbanoti plaukai
👨🏻‍🦱	1 ir 2 odos tipai, garbanoti plaukai, vyras, vyras: 1 ir 2 odos tipai garbanoti plaukai
👨🏼‍🦱	3 odos tipas, garbanoti plaukai, vyras, vyras: 3 odos tipas garbanoti plaukai
👨🏽‍🦱	4 odos tipas, garbanoti plaukai, vyras, vyras: 4 odos tipas garbanoti plaukai
👨🏾‍🦱	5 odos tipas, garbanoti plaukai, vyras, vyras: 5 odos tipas garbanoti plaukai
👨🏿‍🦱	6 odos tipas, garbanoti plaukai, vyras, vyras: 6 odos tipas garbanoti plaukai
👨‍🦲	plikas, vyras, vyras: plikas
👨🏻‍🦲	1 ir 2 odos tipai, plikas, vyras, vyras: 1 ir 2 odos tipai plikas
👨🏼‍🦲	3 odos tipas, plikas, vyras, vyras: 3 odos tipas plikas
👨🏽‍🦲	4 odos tipas, plikas, vyras, vyras: 4 odos tipas plikas
👨🏾‍🦲	5 odos tipas, plikas, vyras, vyras: 5 odos tipas plikas
👨🏿‍🦲	6 odos tipas, plikas, vyras, vyras: 6 odos tipas plikas
👨‍🦳	vyras, vyras: žili plaukai, žili plaukai
👨🏻‍🦳	1 ir 2 odos tipai, vyras, vyras: 1 ir 2 odos tipai žili plaukai, žili plaukai
👨🏼‍🦳	3 odos tipas, vyras, vyras: 3 odos tipas žili plaukai, žili plaukai
👨🏽‍🦳	4 odos tipas, vyras, vyras: 4 odos tipas žili plaukai, žili plaukai
👨🏾‍🦳	5 odos tipas, vyras, vyras: 5 odos tipas žili plaukai, žili plaukai
👨🏿‍🦳	6 odos tipas, vyras, vyras: 6 odos tipas žili plaukai, žili plaukai
👩🏻	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai
👩🏼	3 odos tipas, moteris, moteris: 3 odos tipas
👩🏽	4 odos tipas, moteris, moteris: 4 odos tipas
👩🏾	5 odos tipas, moteris, moteris: 5 odos tipas
👩🏿	6 odos tipas, moteris, moteris: 6 odos tipas
👩‍🦰	moteris, moteris: raudoni plaukai, raudoni plaukai
👩🏻‍🦰	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai raudoni plaukai, raudoni plaukai
👩🏼‍🦰	3 odos tipas, moteris, moteris: 3 odos tipas raudoni plaukai, raudoni plaukai
👩🏽‍🦰	4 odos tipas, moteris, moteris: 4 odos tipas raudoni plaukai, raudoni plaukai
👩🏾‍🦰	5 odos tipas, moteris, moteris: 5 odos tipas raudoni plaukai, raudoni plaukai
👩🏿‍🦰	6 odos tipas, moteris, moteris: 6 odos tipas raudoni plaukai, raudoni plaukai
👩‍🦱	garbanoti plaukai, moteris, moteris: garbanoti plaukai
👩🏻‍🦱	1 ir 2 odos tipai, garbanoti plaukai, moteris, moteris: 1 ir 2 odos tipai garbanoti plaukai
👩🏼‍🦱	3 odos tipas, garbanoti plaukai, moteris, moteris: 3 odos tipas garbanoti plaukai
👩🏽‍🦱	4 odos tipas, garbanoti plaukai, moteris, moteris: 4 odos tipas garbanoti plaukai
👩🏾‍🦱	5 odos tipas, garbanoti plaukai, moteris, moteris: 5 odos tipas garbanoti plaukai
👩🏿‍🦱	6 odos tipas, garbanoti plaukai, moteris, moteris: 6 odos tipas garbanoti plaukai
👩‍🦲	moteris, moteris: plikas, plikas
👩🏻‍🦲	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai plikas, plikas
👩🏼‍🦲	3 odos tipas, moteris, moteris: 3 odos tipas plikas, plikas
👩🏽‍🦲	4 odos tipas, moteris, moteris: 4 odos tipas plikas, plikas
👩🏾‍🦲	5 odos tipas, moteris, moteris: 5 odos tipas plikas, plikas
👩🏿‍🦲	6 odos tipas, moteris, moteris: 6 odos tipas plikas, plikas
👩‍🦳	moteris, moteris: žili plaukai, žili plaukai
👩🏻‍🦳	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai žili plaukai, žili plaukai
👩🏼‍🦳	3 odos tipas, moteris, moteris: 3 odos tipas žili plaukai, žili plaukai
👩🏽‍🦳	4 odos tipas, moteris, moteris: 4 odos tipas žili plaukai, žili plaukai
👩🏾‍🦳	5 odos tipas, moteris, moteris: 5 odos tipas žili plaukai, žili plaukai
👩🏿‍🦳	6 odos tipas, moteris, moteris: 6 odos tipas žili plaukai, žili plaukai
🧓🏻	1 ir 2 odos tipai, kitas suaugusysis, kitas suaugusysis: 1 ir 2 odos tipai, neutrali lytis, senas
🧓🏼	3 odos tipas, kitas suaugusysis, kitas suaugusysis: 3 odos tipas, neutrali lytis, senas
🧓🏽	4 odos tipas, kitas suaugusysis, kitas suaugusysis: 4 odos tipas, neutrali lytis, senas
🧓🏾	5 odos tipas, kitas suaugusysis, kitas suaugusysis: 5 odos tipas, neutrali lytis, senas
🧓🏿	6 odos tipas, kitas suaugusysis, kitas suaugusysis: 6 odos tipas, neutrali lytis, senas
👴🏻	1 ir 2 odos tipai, senas, senas vyras: 1 ir 2 odos tipai, vyras
👴🏼	3 odos tipas, senas, senas vyras: 3 odos tipas, vyras
👴🏽	4 odos tipas, senas, senas vyras: 4 odos tipas, vyras
👴🏾	5 odos tipas, senas, senas vyras: 5 odos tipas, vyras
👴🏿	6 odos tipas, senas, senas vyras: 6 odos tipas, vyras
👵🏻	1 ir 2 odos tipai, moteris, sena, sena moteris: 1 ir 2 odos tipai
👵🏼	3 odos tipas, moteris, sena, sena moteris: 3 odos tipas
👵🏽	4 odos tipas, moteris, sena, sena moteris: 4 odos tipas
👵🏾	5 odos tipas, moteris, sena, sena moteris: 5 odos tipas
👵🏿	6 odos tipas, moteris, sena, sena moteris: 6 odos tipas
👨🏻‍⚕	1 ir 2 odos tipai, gydytojas, medikas, medikas: 1 ir 2 odos tipai, slaugytojas, sveikata, terapeutas, vyras
👨🏼‍⚕	3 odos tipas, gydytojas, medikas, medikas: 3 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👨🏽‍⚕	4 odos tipas, gydytojas, medikas, medikas: 4 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👨🏾‍⚕	5 odos tipas, gydytojas, medikas, medikas: 5 odos tipas, slaugytojas, sveikata, terapeutas, vyras
