🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🦹🏾‍♂	برائی, جلد کی درمیانی سیاہ رنگت, سپر پاور, مجرم, مرد, مرد سپر ولن, مرد سپر ولن: جلد کی درمیانی سیاہ رنگت, ولن
🦹🏿‍♂	برائی, جلد کی سیاہ رنگت, سپر پاور, مجرم, مرد, مرد سپر ولن, مرد سپر ولن: جلد کی سیاہ رنگت, ولن
👶🏻	انسان, بچہ, جلد کی ہلکی رنگت, طفل, طفل: جلد کی ہلکی رنگت
👶🏼	انسان, بچہ, جلد کی درمیانی -ہلکی رنگت, طفل, طفل: جلد کی درمیانی -ہلکی رنگت
👶🏽	انسان, بچہ, جلد کی درمیانی رنگت, طفل, طفل: جلد کی درمیانی رنگت
👶🏾	انسان, بچہ, جلد کی درمیانی سیاہ رنگت, طفل, طفل: جلد کی درمیانی سیاہ رنگت
👶🏿	انسان, بچہ, جلد کی سیاہ رنگت, طفل, طفل: جلد کی سیاہ رنگت
🧒🏻	بچہ, بچہ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, صنفی غیر جانبدار, نوجوان
🧒🏼	بچہ, بچہ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, صنفی غیر جانبدار, نوجوان
🧒🏽	بچہ, بچہ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, صنفی غیر جانبدار, نوجوان
🧒🏾	بچہ, بچہ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, صنفی غیر جانبدار, نوجوان
🧒🏿	بچہ, بچہ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, صنفی غیر جانبدار, نوجوان
👦🏻	انسان, جلد کی ہلکی رنگت, لڑکا, لڑکا: جلد کی ہلکی رنگت
👦🏼	انسان, جلد کی درمیانی -ہلکی رنگت, لڑکا, لڑکا: جلد کی درمیانی -ہلکی رنگت
👦🏽	انسان, جلد کی درمیانی رنگت, لڑکا, لڑکا: جلد کی درمیانی رنگت
👦🏾	انسان, جلد کی درمیانی سیاہ رنگت, لڑکا, لڑکا: جلد کی درمیانی سیاہ رنگت
👦🏿	انسان, جلد کی سیاہ رنگت, لڑکا, لڑکا: جلد کی سیاہ رنگت
👧🏻	انسان, جلد کی ہلکی رنگت, لڑکی, لڑکی: جلد کی ہلکی رنگت
👧🏼	انسان, جلد کی درمیانی -ہلکی رنگت, لڑکی, لڑکی: جلد کی درمیانی -ہلکی رنگت
👧🏽	انسان, جلد کی درمیانی رنگت, لڑکی, لڑکی: جلد کی درمیانی رنگت
👧🏾	انسان, جلد کی درمیانی سیاہ رنگت, لڑکی, لڑکی: جلد کی درمیانی سیاہ رنگت
👧🏿	انسان, جلد کی سیاہ رنگت, لڑکی, لڑکی: جلد کی سیاہ رنگت
🧑🏻	بالغ, بالغ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, صنفی غیر جانبدار
🧑🏼	بالغ, بالغ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, صنفی غیر جانبدار
🧑🏽	بالغ, بالغ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, صنفی غیر جانبدار
🧑🏾	بالغ, بالغ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, صنفی غیر جانبدار
🧑🏿	بالغ, بالغ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, صنفی غیر جانبدار
👨🏻	انسان, جلد کی ہلکی رنگت, مرد, مرد: جلد کی ہلکی رنگت
👨🏼	انسان, جلد کی درمیانی -ہلکی رنگت, مرد, مرد: جلد کی درمیانی -ہلکی رنگت
👨🏽	انسان, جلد کی درمیانی رنگت, مرد, مرد: جلد کی درمیانی رنگت
👨🏾	انسان, جلد کی درمیانی سیاہ رنگت, مرد, مرد: جلد کی درمیانی سیاہ رنگت
👨🏿	انسان, جلد کی سیاہ رنگت, مرد, مرد: جلد کی سیاہ رنگت
👨‍🦰	انسان, سرخ بال, مرد, مرد: سرخ بال
👨🏻‍🦰	انسان, جلد کی ہلکی رنگت, سرخ بال, مرد, مرد: جلد کی ہلکی رنگت اور سرخ بال
👨🏼‍🦰	انسان, جلد کی درمیانی -ہلکی رنگت, سرخ بال, مرد, مرد: جلد کی درمیانی -ہلکی رنگت اور سرخ بال
👨🏽‍🦰	انسان, جلد کی درمیانی رنگت, سرخ بال, مرد, مرد: جلد کی درمیانی رنگت اور سرخ بال
👨🏾‍🦰	انسان, جلد کی درمیانی سیاہ رنگت, سرخ بال, مرد, مرد: جلد کی درمیانی سیاہ رنگت اور سرخ بال
👨🏿‍🦰	انسان, جلد کی سیاہ رنگت, سرخ بال, مرد, مرد: جلد کی سیاہ رنگت اور سرخ بال
👨‍🦱	انسان, مرد, مرد: گھنگھریالے بال, گھنگھریالے بال
👨🏻‍🦱	انسان, جلد کی ہلکی رنگت, مرد, مرد: جلد کی ہلکی رنگت اور گھنگھریالے بال, گھنگھریالے بال
👨🏼‍🦱	انسان, جلد کی درمیانی -ہلکی رنگت, مرد, مرد: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال, گھنگھریالے بال
👨🏽‍🦱	انسان, جلد کی درمیانی رنگت, مرد, مرد: جلد کی درمیانی رنگت اور گھنگھریالے بال, گھنگھریالے بال
👨🏾‍🦱	انسان, جلد کی درمیانی سیاہ رنگت, مرد, مرد: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال, گھنگھریالے بال
👨🏿‍🦱	انسان, جلد کی سیاہ رنگت, مرد, مرد: جلد کی سیاہ رنگت اور گھنگھریالے بال, گھنگھریالے بال
👨‍🦲	انسان, مرد, مرد: گنجا, گنجا
👨🏻‍🦲	انسان, جلد کی ہلکی رنگت, مرد, مرد: جلد کی ہلکی رنگت اور گنجا, گنجا
👨🏼‍🦲	انسان, جلد کی درمیانی -ہلکی رنگت, مرد, مرد: جلد کی درمیانی -ہلکی رنگت اور گنجا, گنجا
👨🏽‍🦲	انسان, جلد کی درمیانی رنگت, مرد, مرد: جلد کی درمیانی رنگت اور گنجا, گنجا
👨🏾‍🦲	انسان, جلد کی درمیانی سیاہ رنگت, مرد, مرد: جلد کی درمیانی سیاہ رنگت اور گنجا, گنجا
👨🏿‍🦲	انسان, جلد کی سیاہ رنگت, مرد, مرد: جلد کی سیاہ رنگت اور گنجا, گنجا
👨‍🦳	انسان, سفید بال, مرد, مرد: سفید بال
👨🏻‍🦳	انسان, جلد کی ہلکی رنگت, سفید بال, مرد, مرد: جلد کی ہلکی رنگت اور سفید بال
👨🏼‍🦳	انسان, جلد کی درمیانی -ہلکی رنگت, سفید بال, مرد, مرد: جلد کی درمیانی -ہلکی رنگت اور سفید بال
