👧🏼	Jomfruen, hudtype 3, jente, jente: hudtype 3, menneske, stjernebilde, stjernetegn, ung
👧🏽	Jomfruen, hudtype 4, jente, jente: hudtype 4, menneske, stjernebilde, stjernetegn, ung
👧🏾	Jomfruen, hudtype 5, jente, jente: hudtype 5, menneske, stjernebilde, stjernetegn, ung
👧🏿	Jomfruen, hudtype 6, jente, jente: hudtype 6, menneske, stjernebilde, stjernetegn, ung
🧑🏻	hudtype 1–2, kjønnsnøytral, menneske, voksen, voksen: hudtype 1–2
🧑🏼	hudtype 3, kjønnsnøytral, menneske, voksen, voksen: hudtype 3
🧑🏽	hudtype 4, kjønnsnøytral, menneske, voksen, voksen: hudtype 4
🧑🏾	hudtype 5, kjønnsnøytral, menneske, voksen, voksen: hudtype 5
🧑🏿	hudtype 6, kjønnsnøytral, menneske, voksen, voksen: hudtype 6
👨🏻	hudtype 1–2, mann, mann: hudtype 1–2, menneske
👨🏼	hudtype 3, mann, mann: hudtype 3, menneske
👨🏽	hudtype 4, mann, mann: hudtype 4, menneske
👨🏾	hudtype 5, mann, mann: hudtype 5, menneske
👨🏿	hudtype 6, mann, mann: hudtype 6, menneske
👨‍🦰	mann, mann: rødt hår, menneske, rødt hår
👨🏻‍🦰	hudtype 1–2, mann, mann: hudtype 1–2, rødt hår, menneske, rødt hår
👨🏼‍🦰	hudtype 3, mann, mann: hudtype 3, rødt hår, menneske, rødt hår
👨🏽‍🦰	hudtype 4, mann, mann: hudtype 4, rødt hår, menneske, rødt hår
👨🏾‍🦰	hudtype 5, mann, mann: hudtype 5, rødt hår, menneske, rødt hår
👨🏿‍🦰	hudtype 6, mann, mann: hudtype 6, rødt hår, menneske, rødt hår
👨‍🦱	kruset hår, mann, mann: kruset hår, menneske
👨🏻‍🦱	hudtype 1–2, kruset hår, mann, mann: hudtype 1–2, kruset hår, menneske
👨🏼‍🦱	hudtype 3, kruset hår, mann, mann: hudtype 3, kruset hår, menneske
👨🏽‍🦱	hudtype 4, kruset hår, mann, mann: hudtype 4, kruset hår, menneske
👨🏾‍🦱	hudtype 5, kruset hår, mann, mann: hudtype 5, kruset hår, menneske
👨🏿‍🦱	hudtype 6, kruset hår, mann, mann: hudtype 6, kruset hår, menneske
👨‍🦲	mann, mann: skallet, menneske, skallet
👨🏻‍🦲	hudtype 1–2, mann, mann: hudtype 1–2, skallet, menneske, skallet
👨🏼‍🦲	hudtype 3, mann, mann: hudtype 3, skallet, menneske, skallet
👨🏽‍🦲	hudtype 4, mann, mann: hudtype 4, skallet, menneske, skallet
👨🏾‍🦲	hudtype 5, mann, mann: hudtype 5, skallet, menneske, skallet
👨🏿‍🦲	hudtype 6, mann, mann: hudtype 6, skallet, menneske, skallet
👨‍🦳	grått hår, mann, mann: grått hår, menneske
👨🏻‍🦳	grått hår, hudtype 1–2, mann, mann: hudtype 1–2, grått hår, menneske
👨🏼‍🦳	grått hår, hudtype 3, mann, mann: hudtype 3, grått hår, menneske
👨🏽‍🦳	grått hår, hudtype 4, mann, mann: hudtype 4, grått hår, menneske
👨🏾‍🦳	grått hår, hudtype 5, mann, mann: hudtype 5, grått hår, menneske
👨🏿‍🦳	grått hår, hudtype 6, mann, mann: hudtype 6, grått hår, menneske
👩🏻	hudtype 1–2, kvinne, kvinne: hudtype 1–2, menneske
👩🏼	hudtype 3, kvinne, kvinne: hudtype 3, menneske
👩🏽	hudtype 4, kvinne, kvinne: hudtype 4, menneske
👩🏾	hudtype 5, kvinne, kvinne: hudtype 5, menneske
👩🏿	hudtype 6, kvinne, kvinne: hudtype 6, menneske
👩‍🦰	kvinne, kvinne: rødt hår, menneske, rødt hår
👩🏻‍🦰	hudtype 1–2, kvinne, kvinne: hudtype 1–2, rødt hår, menneske, rødt hår
👩🏼‍🦰	hudtype 3, kvinne, kvinne: hudtype 3, rødt hår, menneske, rødt hår
👩🏽‍🦰	hudtype 4, kvinne, kvinne: hudtype 4, rødt hår, menneske, rødt hår
👩🏾‍🦰	hudtype 5, kvinne, kvinne: hudtype 5, rødt hår, menneske, rødt hår
👩🏿‍🦰	hudtype 6, kvinne, kvinne: hudtype 6, rødt hår, menneske, rødt hår
👩‍🦱	kruset hår, kvinne, kvinne: kruset hår, menneske
👩🏻‍🦱	hudtype 1–2, kruset hår, kvinne, kvinne: hudtype 1–2, kruset hår, menneske
👩🏼‍🦱	hudtype 3, kruset hår, kvinne, kvinne: hudtype 3, kruset hår, menneske
👩🏽‍🦱	hudtype 4, kruset hår, kvinne, kvinne: hudtype 4, kruset hår, menneske
👩🏾‍🦱	hudtype 5, kruset hår, kvinne, kvinne: hudtype 5, kruset hår, menneske
👩🏿‍🦱	hudtype 6, kruset hår, kvinne, kvinne: hudtype 6, kruset hår, menneske
👩‍🦲	kvinne, kvinne: skallet, menneske, skallet
👩🏻‍🦲	hudtype 1–2, kvinne, kvinne: hudtype 1–2, skallet, menneske, skallet
👩🏼‍🦲	hudtype 3, kvinne, kvinne: hudtype 3, skallet, menneske, skallet
👩🏽‍🦲	hudtype 4, kvinne, kvinne: hudtype 4, skallet, menneske, skallet
👩🏾‍🦲	hudtype 5, kvinne, kvinne: hudtype 5, skallet, menneske, skallet
👩🏿‍🦲	hudtype 6, kvinne, kvinne: hudtype 6, skallet, menneske, skallet
